"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989527812","Andreaea nivalis","Herbarium record",1986-09-13,"1986","49.41667","-121.16667"
"1988987881","Andreaea nivalis","Herbarium record",1961-09-07,"1961","49.4","-122.95"
"1931181929","Andreaea nivalis","Herbarium record",1941-05-25,"1941","48.15","-121.5"
"1927897771","Andreaea nivalis","Herbarium record",1969-08-28,"1969","46.88333","-121.88333"
"1928940474","Andreaea nivalis","Herbarium record",1969-08-31,"1969","47.189875","-122.112752"
"1931127990","Andreaea nivalis","Herbarium record",1963-08-20,"1963","46.49972","-122.37111"
"1928600946","Andreaea nivalis","Herbarium record",1962-09-12,"1962","47.36139","-122.01917"
"1928944127","Andreaea nivalis","Herbarium record",1960-10-02,"1960","48.90833","-121.7"
"1930872058","Andreaea nivalis","Herbarium record",1924-08-31,"1924","47.36139","-121.46056"
"1929737483","Andreaea nivalis","Herbarium record",1962-07-30,"1962","48.26667","-124.675"
"1930511577","Andreaea nivalis","Herbarium record",1941-05-25,"1941","48.15","-121.5"
"1927808418","Andreaea nivalis","Herbarium record",1924-07-05,"1924","48.26611","-122.165"
"1928127227","Andreaea nivalis","Herbarium record",2000-08-25,"2000","52.83","172.83"
"1930592824","Andreaea nivalis","Herbarium record",1945-09-09,"1945","48.85194","-121.68389"
"1930788141","Andreaea nivalis","Herbarium record",1924-07-05,"1924","48.26611","-122.165"
"1931136291","Andreaea nivalis","Herbarium record",2002-09-18,"2002","52.88","173.15"
"1929246617","Andreaea nivalis","Herbarium record",1963-08-29,"1963","48.26611","-122.165"
"1929854606","Andreaea nivalis","Herbarium record",1959-08-24,"1959","48.118146","-123.430741"
"1929381843","Andreaea nivalis","Herbarium record",1963-07-02,"1963","48.037069","-121.809278"
"1929041308","Andreaea nivalis","Herbarium record",1962-07-28,"1962","48.26667","-124.675"
"1930556310","Andreaea nivalis","Herbarium record",1924-07-05,"1924","48.26611","-122.165"
"1930312854","Andreaea nivalis","Herbarium record",1986-09-13,"1986","49.42","-121.17"
"1927867125","Andreaea nivalis","Herbarium record",2000-08-06,"2000","52.83","173.15"
"2005591809","Andreaea nivalis","Herbarium record",1961-09-07,"1961","49.316667","-123.066667"
"2005591349","Andreaea nivalis","Herbarium record",1986-09-13,"1986","49.617497","-121.106349"
