"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989471699","Bazzania tricrenata","Herbarium record",1932-09-14,"1932","47.7","-121.316667"
"1988646284","Bazzania tricrenata","Herbarium record",1970-04-13,"1970","51.666667","-127.766667"
"1928478255","Bazzania tricrenata","Herbarium record",1887-05-03,"1887","49.673542","-124.92829"
"1930181555","Bazzania tricrenata","Herbarium record",1990-04-21,"1990","57.7806","-135.2167"
"1931126475","Bazzania tricrenata","Herbarium record",1891-07-21,"1891","55.6025","-131.636111"
"1927986797","Bazzania tricrenata","Herbarium record",1996-07-20,"1996","54.92","-159.25"
"1929447543","Bazzania tricrenata","Herbarium record",1996-07-25,"1996","54.92","-159.25"
"1931348699","Bazzania tricrenata","Herbarium record",1950-07-10,"1950","46.64278","-118.94167"
"1929892611","Bazzania tricrenata","Herbarium record",1990-04-21,"1990","57.7806","-135.2167"
"1929402546","Bazzania tricrenata","Herbarium record",1887-05-03,"1887","49.673542","-124.92829"
"1929633306","Bazzania tricrenata","Herbarium record",1986-08-12,"1986","53.72","-130.1"
"1929530284","Bazzania tricrenata","Herbarium record",1897-08-30,"1897","57.053056","-135.33"
"1928072387","Bazzania tricrenata","Herbarium record",1953-06-07,"1953","48.37806","-124.61306"
"1930247269","Bazzania tricrenata","Herbarium record",1895-03-18,"1895","46.758441","-122.030941"
"1930516091","Bazzania tricrenata","Herbarium record",1898-06-07,"1898","46.98139","-123.60139"
"1931223015","Bazzania tricrenata","Herbarium record",1905-01-21,"1905","48.5215","-121.989315"
"1929840605","Bazzania tricrenata","Herbarium record",1900-05-01,"1900","46.758441","-122.030941"
"1928237896","Bazzania tricrenata","Herbarium record",1898-06-07,"1898","46.98139","-123.60139"
"1928904181","Bazzania tricrenata","Herbarium record",1979-06-27,"1979","54.28","-130.32"
"1928777267","Bazzania tricrenata","Herbarium record",2002-08-22,"2002","53.45","-166.87"
"1928013234","Bazzania tricrenata","Herbarium record",,"1891","47.70778","-122.0875"
"1930761314","Bazzania tricrenata","Herbarium record",1950-07-10,"1950","47.23833","-122.4"
"1930349986","Bazzania tricrenata","Herbarium record",1891-07-21,"1891","55.6025","-131.636111"
"1930365327","Bazzania tricrenata","Herbarium record",1996-07-13,"1996","54.92","-159.25"
"1928652390","Bazzania tricrenata","Herbarium record",2000-08-09,"2000","52.8394","173.1367"
"1927788751","Bazzania tricrenata","Herbarium record",2000-08-21,"2000","52.85","173.17"
"1927824618","Bazzania tricrenata","Herbarium record",1905-03-18,"1905","45.67528","-122.62889"
"1930200089","Bazzania tricrenata","Herbarium record",1966-07-02,"1966","53.58","-132.92"
"1930844357","Bazzania tricrenata","Herbarium record",2005-08-10,"2005","51.56617","-178.81775"
