"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988653819","Brachythecium turgidum","Herbarium record",1977-08-04,"1977","57.81667","-126.38333"
"1989032840","Brachythecium turgidum","Herbarium record",1976-07-10,"1976","59.983333","-136.916667"
"4039057283","Brachythecium turgidum","MATERIAL_SAMPLE",1970-07-09,"1970","50.35","-125.883"
"1930173708","Brachythecium turgidum","Herbarium record",1961-07-19,"1961","68.87","-158.37"
"1930622897","Brachythecium turgidum","Herbarium record",1952-07-13,"1952","68.72","-156.5"
"1930171296","Brachythecium turgidum","Herbarium record",1972-07-26,"1972","69.32","-145.03"
"1928935708","Brachythecium turgidum","Herbarium record",1961-07-10,"1961","68.08","-145.0"
"1927863621","Brachythecium turgidum","Herbarium record",1961-07-10,"1961","68.08","-145.0"
"1931299327","Brachythecium turgidum","Herbarium record",1976-07-10,"1976","59.98","-136.92"
"1929683004","Brachythecium turgidum","Herbarium record",1951-07-12,"1951","70.38","-157.33"
"1930087890","Brachythecium turgidum","Herbarium record",1961-07-19,"1961","68.87","-158.37"
"1931214978","Brachythecium turgidum","Herbarium record",1951-07-09,"1951","69.8","-155.38"
"1930135071","Brachythecium turgidum","Herbarium record",1963-07-10,"1963","68.78","-160.0"
"1931092215","Brachythecium turgidum","Herbarium record",1973-06-19,"1973","71.321347","-156.658123"
"1931343657","Brachythecium turgidum","Herbarium record",1951-07-12,"1951","70.38","-157.33"
"1928300886","Brachythecium turgidum","Herbarium record",1961-07-10,"1961","68.08","-145.0"
"1929470681","Brachythecium turgidum","Herbarium record",1961-07-19,"1961","68.87","-158.37"
"1929705498","Brachythecium turgidum","Herbarium record",1960-07-14,"1960","68.88","-164.58"
"1929355546","Brachythecium turgidum","Herbarium record",1951-07-23,"1951","69.47","-151.5"
"1927981706","Brachythecium turgidum","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1930528773","Brachythecium turgidum","Herbarium record",1997-08-16,"1997","54.92","-162.33"
"1929733746","Brachythecium turgidum","Herbarium record",1961-08-02,"1961","68.28","-158.33"
"1929728700","Brachythecium turgidum","Herbarium record",1974-07-12,"1974","68.13","-145.53"
"1930113117","Brachythecium turgidum","Herbarium record",1961-07-19,"1961","68.87","-158.37"
"1930926103","Brachythecium turgidum","Herbarium record",1951-07-11,"1951","70.38","-157.33"
"1930545514","Brachythecium turgidum","Herbarium record",1972-08-06,"1972","71.321347","-156.658123"
"1929440835","Brachythecium turgidum","Herbarium record",1952-07-13,"1952","68.72","-156.5"
"1928183091","Brachythecium turgidum","Herbarium record",1977-08-04,"1977","57.82","-126.38"
"1928894945","Brachythecium turgidum","Herbarium record",1982-08-01,"1982","70.25","-148.67"
"1928042575","Brachythecium turgidum","Herbarium record",1978-06-19,"1978","49.024811","-116.575619"
"1929990951","Brachythecium turgidum","Herbarium record",1951-07-08,"1951","69.8","-155.38"
"1930368072","Brachythecium turgidum","Herbarium record",1973-07-03,"1973","68.1","-165.75"
"1930689413","Brachythecium turgidum","Herbarium record",1974-07-16,"1974","68.13","-145.53"
"1930961296","Brachythecium turgidum","Herbarium record",1951-07-03,"1951","69.8","-155.38"
"1928512385","Brachythecium turgidum","Herbarium record",1960-07-10,"1960","68.92","-161.17"
"2251705550","Brachythecium turgidum","Herbarium record",2006-08-12,"2006","52.12","177.58"
"1928428247","Brachythecium turgidum","Herbarium record",1961-07-10,"1961","68.08","-145.0"
"1928294583","Brachythecium turgidum","Herbarium record",1980-08-23,"1980","67.5","-154.5"
"1928602257","Brachythecium turgidum","Herbarium record",1987-08-20,"1987","64.77","-154.43"
"1928037430","Brachythecium turgidum","Herbarium record",1951-07-13,"1951","70.38","-157.33"
"1927780914","Brachythecium turgidum","Herbarium record",1963-07-10,"1963","68.78","-160.0"
"1929762479","Brachythecium turgidum","Herbarium record",1983-08-16,"1983","66.5","-151.25"
"1931143234","Brachythecium turgidum","Herbarium record",1961-07-10,"1961","68.13","-145.0"
"1928512030","Brachythecium turgidum","Herbarium record",1951-07-23,"1951","69.47","-151.5"
"1930147453","Brachythecium turgidum","Herbarium record",1972-08-07,"1972","70.2","-148.83"
"1928401077","Brachythecium turgidum","Herbarium record",1951-08-06,"1951","68.88","-161.17"
"1930798356","Brachythecium turgidum","Herbarium record",1972-07-07,"1972","68.9","-161.33"
"1930587581","Brachythecium turgidum","Herbarium record",1960-07-27,"1960","69.33","-145.0"
"1927928246","Brachythecium turgidum","Herbarium record",1961-07-15,"1961","68.13","-145.0"
"1930744438","Brachythecium turgidum","Herbarium record",1992-07-24,"1992","60.37","-172.65"
"1930952455","Brachythecium turgidum","Herbarium record",1963-07-11,"1963","68.78","-160.0"
"1930038005","Brachythecium turgidum","Herbarium record",1961-07-10,"1961","68.08","-145.0"
"1929463235","Brachythecium turgidum","Herbarium record",1956-07-24,"1956","63.42","-150.42"
"1929397836","Brachythecium turgidum","Herbarium record",2003-08-06,"2003","51.83","-176.67"
"1928070360","Brachythecium turgidum","Herbarium record",1973-07-03,"1973","68.13","-165.75"
"1929010973","Brachythecium turgidum","Herbarium record",1956-07-24,"1956","63.42","-150.42"
"1929812181","Brachythecium turgidum","Herbarium record",1975-07-15,"1975","70.25","-148.58"
"1929033058","Brachythecium turgidum","Herbarium record",1953-08-12,"1953","68.22","-151.62"
"1928701360","Brachythecium turgidum","Herbarium record",1951-07-11,"1951","70.38","-157.33"
"1929218044","Brachythecium turgidum","Herbarium record",1972-07-26,"1972","69.32","-145.03"
"1929518672","Brachythecium turgidum","Herbarium record",1976-07-19,"1976","68.25","-149.4"
"1930486612","Brachythecium turgidum","Herbarium record",1972-08-18,"1972","65.48","-145.42"
"1929502839","Brachythecium turgidum","Herbarium record",1951-07-11,"1951","70.38","-157.33"
"1929456001","Brachythecium turgidum","Herbarium record",1961-07-19,"1961","68.87","-158.37"
"2239553105","Brachythecium turgidum","Herbarium record",1994-08-09,"1994","51.8392","-176.715"
"1930785812","Brachythecium turgidum","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1929122045","Brachythecium turgidum","Herbarium record",1972-08-07,"1972","70.2","-148.83"
"2515715968","Brachythecium turgidum","Herbarium record",1976-07-10,"1976","59.98333","-136.91667"
"2005528237","Brachythecium turgidum","Herbarium record",1910-08-31,"1910","50.572222","-120.35"
"2005528219","Brachythecium turgidum","Herbarium record",1974-06-29,"1974","58.786585","-125.324417"
"2005528307","Brachythecium turgidum","Herbarium record",1976-07-10,"1976","59.983333","-136.916667"
"2005528188","Brachythecium turgidum","Herbarium record",1976-07-17,"1976","54.283333","-122.633333"
"2005528205","Brachythecium turgidum","Herbarium record",1977-08-06,"1977","57.849444","-126.4625"
"2005528218","Brachythecium turgidum","Herbarium record",1958-07-20,"1958","71.218443","-156.78861"
"2517634606","Brachythecium turgidum","Herbarium record",1977-08-06,"1977","57.83333","-126.45"
"2515480481","Brachythecium turgidum","Herbarium record",1976-07-17,"1976","58.66667","-124.66667"
"1426516224","Brachythecium turgidum","Herbarium record",1994-08-09,"1994","51.839167","-176.715"
"1987895764","Brachythecium turgidum","Herbarium record",1976-07-10,"1976","60.0","-136.9"
"1987794479","Brachythecium turgidum","Herbarium record",1998-06-16,"1998","56.76722","-129.945801"
"1987843823","Brachythecium turgidum","Herbarium record",2005-07-30,"2005","56.943359","-128.5849"
"1987735905","Brachythecium turgidum","Herbarium record",1982-08-01,"1982","70.3","-148.7"
"1987891398","Brachythecium turgidum","Herbarium record",,"2014","57.07515","-122.87985"
"1987915092","Brachythecium turgidum","Herbarium record",2005-07-04,"2005","66.481","-158.478"
"1987840979","Brachythecium turgidum","Herbarium record",1981-07-20,"1981","58.3","-129.5"
"1987774130","Brachythecium turgidum","Herbarium record",2014-07-21,"2014","69.2","-143.8"
"1987744142","Brachythecium turgidum","Herbarium record",1987-07-05,"1987","60.1","-152.6"
"1987782374","Brachythecium turgidum","Herbarium record",1970-06-24,"1970","58.61","-124.7"
"1987726016","Brachythecium turgidum","Herbarium record",1996-09-13,"1996","58.993061","-132.337494"
"1987918931","Brachythecium turgidum","Herbarium record",2000-07-20,"2000","57.3","-157.3"
"1987875043","Brachythecium turgidum","Herbarium record",2001-07-10,"2001","57.5","-156.2"
"1987900362","Brachythecium turgidum","Herbarium record",1995-07-15,"1995","54.9","-159.3"
"1987867268","Brachythecium turgidum","Herbarium record",1980-09-21,"1980","52.0","-120.0"
"1987930970","Brachythecium turgidum","Herbarium record",2013-07-23,"2013","64.71","-164.33"
"1987726668","Brachythecium turgidum","Herbarium record",2010-07-09,"2010","55.014","-127.329"
"1987779891","Brachythecium turgidum","Herbarium record",1994-08-09,"1994","51.84","-176.72"
"1987930948","Brachythecium turgidum","Herbarium record",1999-09-07,"1999","55.77","-155.63"
"1987766400","Brachythecium turgidum","Herbarium record",1983-08-16,"1983","66.5","-151.3"
"1987787218","Brachythecium turgidum","Herbarium record",2013-08-01,"2013","52.0322","-173.491"
"1987732362","Brachythecium turgidum","Herbarium record",1968-08-23,"1968","59.0","-125.8"
"1987720845","Brachythecium turgidum","Herbarium record",1992-07-28,"1992","59.7","-136.6"
"4513895228","Brachythecium turgidum","Herbarium record",1974-06-29,"1974","58.616667","-124.716667"
"1987767255","Brachythecium turgidum","Herbarium record",1967-09-01,"1967","59.6","-126.6"
"1987738175","Brachythecium turgidum","Herbarium record",2005-06-30,"2005","57.45","-154.641"
"1987893508","Brachythecium turgidum","Herbarium record",2013-06-26,"2013","69.0","-152.0"
"1987847080","Brachythecium turgidum","Herbarium record",2005-07-26,"2005","56.82317","-128.582397"
"1987817192","Brachythecium turgidum","Herbarium record",2000-07-05,"2000","56.2","-160.2"
"1987776264","Brachythecium turgidum","Herbarium record",2000-08-02,"2000","52.8","173.1"
"1987815259","Brachythecium turgidum","Herbarium record",2002-08-16,"2002","52.0","-176.1"
"1987757373","Brachythecium turgidum","Herbarium record",2014-07-21,"2014","69.2","-143.8"
"3467353582","Brachythecium turgidum","Herbarium record",1951-07-11,"1951","70.38","-157.33"
"2900348502","Brachythecium turgidum","Herbarium record",1977-08-06,"1977","57.83","-126.45"
"1052497414","Brachythecium turgidum","Herbarium record",2002-09-12,"2002","52.833333","173.15"
"1052523931","Brachythecium turgidum","Herbarium record",1976-07-10,"1976","59.983333","-136.916667"
"1052523941","Brachythecium turgidum","Herbarium record",1977-08-05,"1977","57.816667","-126.383333"
"1052492022","Brachythecium turgidum","Herbarium record",1994-08-04,"1994","51.833333","-176.666667"
"1805298926","Brachythecium turgidum","Herbarium record",1890-08-14,"1890","51.45","-116.3"
"5196005187","Brachythecium turgidum","Herbarium record",1976-07-19,"1976","68.25","-149.4"
"5196005234","Brachythecium turgidum","Herbarium record",1984-08-01,"1984","68.616667","-149.316667"
"5196005275","Brachythecium turgidum","Herbarium record",2000-08-15,"2000","52.833333","173.166667"
"5196012873","Brachythecium turgidum","Herbarium record",1976-07-25,"1976","69.833333","-148.75"
"5196012876","Brachythecium turgidum","Herbarium record",1962-08-02,"1962","63.883333","-147.333333"
"5196012877","Brachythecium turgidum","Herbarium record",1956-07-24,"1956","63.416667","-150.416667"
"5196012889","Brachythecium turgidum","Herbarium record",1965-08-12,"1965","64.833333","-146.95"
"5196012892","Brachythecium turgidum","Herbarium record",1965-06-13,"1965","64.95","-146.283333"
"5196017321","Brachythecium turgidum","Herbarium record",2003-08-06,"2003","51.833333","-176.666667"
"5196017325","Brachythecium turgidum","Herbarium record",2001-07-10,"2001","57.483333","-156.233333"
"5196017330","Brachythecium turgidum","Herbarium record",2001-08-07,"2001","60.271667","-143.271383"
"5196017332","Brachythecium turgidum","Herbarium record",2001-08-06,"2001","60.139583","-143.6196"
"5196017838","Brachythecium turgidum","Herbarium record",2000-08-06,"2000","52.833333","173.15"
"5196017837","Brachythecium turgidum","Herbarium record",2000-08-02,"2000","52.833333","173.066667"
"5196017844","Brachythecium turgidum","Herbarium record",1992-07-24,"1992","66.333333","-164.116667"
"5196017843","Brachythecium turgidum","Herbarium record",1995-07-15,"1995","54.916667","-159.25"
"5196017840","Brachythecium turgidum","Herbarium record",2000-08-24,"2000","52.9","172.9"
"5196017886","Brachythecium turgidum","Herbarium record",1992-07-11,"1992","65.65","-164.333333"
"5196017887","Brachythecium turgidum","Herbarium record",1993-07-16,"1993","65.333333","-163.45"
"5196017888","Brachythecium turgidum","Herbarium record",1973-08-25,"1973","68.783333","-145.533333"
"5196017889","Brachythecium turgidum","Herbarium record",1972-08-18,"1972","65.483333","-145.416667"
"5196017890","Brachythecium turgidum","Herbarium record",1993-07-23,"1993","64.983333","-164.833333"
"5196021426","Brachythecium turgidum","Herbarium record",2008-06-23,"2008","63.745633","-149.012981"
"5196091662","Brachythecium turgidum","Herbarium record",2008-07-18,"2008","63.512368","-150.242527"
"5196162296","Brachythecium turgidum","Herbarium record",2009-07-03,"2009","63.570267","-149.426651"
"5196181945","Brachythecium turgidum","Herbarium record",2010-08-06,"2010","63.140267","-151.327436"
"5196181947","Brachythecium turgidum","Herbarium record",2010-08-09,"2010","63.140267","-151.327436"
"2252141519","Brachythecium turgidum","Herbarium record",1976-07-10,"1976","59.983333","-136.916667"
"2252141839","Brachythecium turgidum","Herbarium record",1974-06-29,"1974","58.786585","-125.324417"
"2252142366","Brachythecium turgidum","Herbarium record",1962-08-02,"1962","63.883333","-147.333333"
"2252141472","Brachythecium turgidum","Herbarium record",1956-07-24,"1956","63.416667","-150.416667"
"2252140632","Brachythecium turgidum","Herbarium record",1976-07-17,"1976","58.666667","-124.666667"
"2252141029","Brachythecium turgidum","Herbarium record",1997-08-10,"1997","69.033333","-148.833333"
"2252143160","Brachythecium turgidum","Herbarium record",1976-07-17,"1976","58.666667","-124.666667"
"5895556861","Brachythecium turgidum","Herbarium record",1956-07-24,"1956","63.416667","-150.416667"
"3416731417","Brachythecium turgidum","Herbarium record",1910-08-31,"1910","50.556738","-120.346395"
"4076847408","Brachythecium turgidum","Herbarium record",1977-08-06,"1977","57.833333","-126.45"
"4076848676","Brachythecium turgidum","Herbarium record",1904-10-04,"1904","48.49686","-122.692449"
"2266043011","Brachythecium turgidum","Herbarium record",1910-08-31,"1910","50.556738","-120.346395"
"2849166303","Brachythecium turgidum","Herbarium record",2018-07-06,"2018","68.0605","-162.9392"
"5076391995","Brachythecium turgidum","Herbarium record",1976-07-10,"1976","59.666667","-136.666667"
"5076391996","Brachythecium turgidum","Herbarium record",1977-08-07,"1977","57.866667","-126.416667"
"1987911634","Brachythecium turgidum","Herbarium record",1976-07-05,"1976","56.9","-120.8"
"1987843273","Brachythecium turgidum","Herbarium record",2005-07-16,"2005","66.889","-160.69"
"1987853040","Brachythecium turgidum","Herbarium record",1976-07-05,"1976","57.5","-122.9"
"1987866885","Brachythecium turgidum","Herbarium record",2013-07-29,"2013","52.8848","-169.747"
"1987807689","Brachythecium turgidum","Herbarium record",1960-07-05,"1960","71.3","-156.7"
"1987729598","Brachythecium turgidum","Herbarium record",2005-07-11,"2005","66.461","-158.644"
"1987745117","Brachythecium turgidum","Herbarium record",1993-07-24,"1993","55.1","-162.8"
"1987914062","Brachythecium turgidum","Herbarium record",2005-07-05,"2005","66.481","-158.476"
"1987911893","Brachythecium turgidum","Herbarium record",1994-08-03,"1994","51.87","-176.66"
"1987877179","Brachythecium turgidum","Herbarium record",1979-06-05,"1979","49.8","-115.8"
"1987856403","Brachythecium turgidum","Herbarium record",2003-08-06,"2003","51.8","-176.7"
"1987845625","Brachythecium turgidum","Herbarium record",1978-08-21,"1978","50.7","-116.8"
"1987799947","Brachythecium turgidum","Herbarium record",2005-07-16,"2005","66.889","-160.687"
"1987893120","Brachythecium turgidum","Herbarium record",1976-07-21,"1976","55.2","-129.0"
"1987738788","Brachythecium turgidum","Herbarium record",2010-07-09,"2010","55.014","-127.329"
"1987737419","Brachythecium turgidum","Herbarium record",1988-06-23,"1988","52.7","-119.0"
"4513901365","Brachythecium turgidum","Herbarium record",1977-07-19,"1977","58.233333","-129.483333"
"1987827247","Brachythecium turgidum","Herbarium record",2003-07-15,"2003","66.47","-157.2"
"1987758702","Brachythecium turgidum","Herbarium record",1997-08-16,"1997","54.9","-162.3"
"1987900551","Brachythecium turgidum","Herbarium record",2014-07-19,"2014","69.2","-143.8"
"1987884037","Brachythecium turgidum","Herbarium record",1982-07-29,"1982","68.5","-149.3"
"1987880566","Brachythecium turgidum","Herbarium record",2013-07-25,"2013","51.4961","-116.5077"
"4513890467","Brachythecium turgidum","Herbarium record",1977-07-19,"1977","58.25","-129.483333"
"1987838485","Brachythecium turgidum","Herbarium record",1980-08-13,"1980","65.8","-160.6"
"1987825959","Brachythecium turgidum","Herbarium record",2005-07-11,"2005","66.462","-158.642"
"1987808572","Brachythecium turgidum","Herbarium record",2005-06-30,"2005","57.45","-154.645"
"1987796715","Brachythecium turgidum","Herbarium record",1977-08-04,"1977","57.8","-126.4"
"4513894768","Brachythecium turgidum","Herbarium record",1974-06-29,"1974","58.616667","-124.716667"
"4849626217","Brachythecium turgidum","Herbarium record",1890-08-14,"1890","51.440877","-116.341312"
"2028211188","Brachythecium turgidum","Herbarium record",1994-08-03,"1994","51.869722","-176.663889"
"2005528273","Brachythecium turgidum","Herbarium record",1974-06-29,"1974","58.786585","-125.324417"
"2005528257","Brachythecium turgidum","Herbarium record",1976-07-10,"1976","59.416667","-133.916667"
"2005528240","Brachythecium turgidum","Herbarium record",2009-08-06,"2009","51.88","-176.65806"
"3898295283","Brachythecium turgidum","Herbarium record",1957-08-19,"1957","69.38333","-144.06667"
"4079500231","Brachythecium turgidum","Herbarium record",2016-08-02,"2016","70.263235","-151.00712"
"4079500979","Brachythecium turgidum","Herbarium record",2019-07-18,"2019","70.306439","-151.116961"
"4079501309","Brachythecium turgidum","Herbarium record",2016-07-21,"2016","70.280933","-151.036076"
"4079502130","Brachythecium turgidum","Herbarium record",2013-08-05,"2013","70.257317","-150.973295"
"4079502477","Brachythecium turgidum","Herbarium record",2013-08-01,"2013","70.316162","-151.071851"
"4079503314","Brachythecium turgidum","Herbarium record",2016-07-29,"2016","70.26084","-151.008697"
"4079503551","Brachythecium turgidum","Herbarium record",2019-07-17,"2019","70.310875","-151.045017"
"4079504524","Brachythecium turgidum","Herbarium record",2016-07-30,"2016","70.310874","-151.045015"
"4079504550","Brachythecium turgidum","Herbarium record",2019-07-18,"2019","70.306439","-151.116961"
"4079504576","Brachythecium turgidum","Herbarium record",2016-07-21,"2016","70.277593","-151.0137"
"4079505402","Brachythecium turgidum","Herbarium record",2013-07-18,"2013","70.345545","-151.040419"
"4079505424","Brachythecium turgidum","Herbarium record",2013-07-29,"2013","70.297738","-151.010791"
"4079505951","Brachythecium turgidum","Herbarium record",2019-08-02,"2019","70.041137","-145.543357"
"4079506898","Brachythecium turgidum","Herbarium record",2019-07-19,"2019","70.310153","-151.040156"
"4079507631","Brachythecium turgidum","Herbarium record",2019-08-02,"2019","70.280933","-151.036075"
"4079507725","Brachythecium turgidum","Herbarium record",2013-07-25,"2013","70.302445","-151.116163"
"4079508632","Brachythecium turgidum","Herbarium record",2019-07-20,"2019","70.302444","-151.116164"
"4079509059","Brachythecium turgidum","Herbarium record",2018-08-01,"2018","70.330141","-152.312138"
"4079509202","Brachythecium turgidum","Herbarium record",2016-07-30,"2016","70.304879","-151.038501"
"4079513178","Brachythecium turgidum","Herbarium record",2013-08-08,"2013","70.282198","-151.016082"
"4079513649","Brachythecium turgidum","Herbarium record",2013-07-25,"2013","70.302445","-151.116163"
"4079513798","Brachythecium turgidum","Herbarium record",2019-08-01,"2019","69.860481","-145.245058"
"4079515271","Brachythecium turgidum","Herbarium record",2013-07-23,"2013","70.299822","-151.032913"
"1269731883","Brachythecium turgidum","Herbarium record",1910-08-31,"1910","50.556738","-120.346395"
"4436338739","Brachythecium turgidum","iNat record",2023-06-26,"2023","57.193475","-126.949837"
"4436105645","Brachythecium turgidum","iNat record",2022-07-31,"2022","50.601236","-122.296355"
"4436370648","Brachythecium turgidum","iNat record",2022-07-30,"2022","50.599088","-122.308598"
"4436258517","Brachythecium turgidum","iNat record",2019-07-12,"2019","51.847806","-125.206056"
"1261646536","Brachythecium turgidum","Herbarium record",1971-08-11,"1971","71.283333","-156.666667"
"1261740837","Brachythecium turgidum","Herbarium record",1977-08-07,"1977","57.86666","-126.41666"
"2028185979","Brachythecium turgidum","Herbarium record",2000-08-02,"2000","52.833333","173.066667"
"2028321068","Brachythecium turgidum","Herbarium record",1994-08-09,"1994","51.839167","-176.715"
"2028284918","Brachythecium turgidum","Herbarium record",2002-09-12,"2002","52.833333","173.15"
"2028294764","Brachythecium turgidum","Herbarium record",2000-08-06,"2000","52.833333","173.15"
"2028320737","Brachythecium turgidum","Herbarium record",2003-08-06,"2003","51.833333","-176.666667"
"2028232188","Brachythecium turgidum","Herbarium record",1995-07-15,"1995","54.916667","-159.25"
"2028228884","Brachythecium turgidum","Herbarium record",2003-08-06,"2003","51.833333","-176.666667"
"2028260272","Brachythecium turgidum","Herbarium record",2000-08-24,"2000","52.9","172.9"
"2028261786","Brachythecium turgidum","Herbarium record",1997-08-16,"1997","54.916667","-162.333333"
"2028317944","Brachythecium turgidum","Herbarium record",1999-09-07,"1999","55.7675","-155.634722"
"2028291917","Brachythecium turgidum","Herbarium record",2000-08-15,"2000","52.833333","173.166667"
"2028165116","Brachythecium turgidum","Herbarium record",1994-08-04,"1994","51.833333","-176.666667"
"2028173884","Brachythecium turgidum","Herbarium record",1994-08-05,"1994","51.830278","-176.631944"
"3467302047","Brachythecium turgidum","Herbarium record",1977-08-05,"1977","57.82","-126.38"
"3467354862","Brachythecium turgidum","Herbarium record",1951-07-12,"1951","70.38","-157.33"
"3467161184","Brachythecium turgidum","Herbarium record",1951-07-12,"1951","70.38","-157.33"
