"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1931059325","Bucklandiella obesa","Herbarium record",1995-08-01,"1995","43.0744","-122.9944"
"1930307088","Bucklandiella obesa","Herbarium record",2013-07-24,"2013","42.1031","-123.39853"
"2382911671","Bucklandiella obesa","Herbarium record",2017-11-18,"2017","47.245569","-121.195119"
"1930807337","Bucklandiella obesa","Herbarium record",2013-04-19,"2013","42.3317","-122.4489"
"5103540385","Bucklandiella obesa","Herbarium record",2013-07-24,"2013","42.105","-123.383333"
"4173708480","Bucklandiella obesa","Herbarium record",2022-05-16,"2022","42.3189","-123.165024"
"3971229356","Bucklandiella obesa","Herbarium record",2021-06-04,"2021","42.394004","-122.442536"
"3986764337","Bucklandiella obesa","Herbarium record",2021-07-04,"2021","42.442164","-122.416441"
"3746412339","Bucklandiella obesa","Herbarium record",2020-06-12,"2020","42.258257","-122.220474"
"3743478348","Bucklandiella obesa","Herbarium record",2020-08-12,"2020","43.534091","-122.481577"
"4880005424","Bucklandiella obesa","Herbarium record",2023-10-08,"2023","42.55543","-122.19936"
"4880005430","Bucklandiella obesa","Herbarium record",2023-10-07,"2023","42.69176","-122.15633"
"3746429336","Bucklandiella obesa","Herbarium record",2020-06-12,"2020","42.258257","-122.220474"
"3746430337","Bucklandiella obesa","Herbarium record",2020-06-25,"2020","42.223301","-122.440623"
"3746414332","Bucklandiella obesa","Herbarium record",2020-04-16,"2020","43.711395","-122.65712"
"3713170327","Bucklandiella obesa","Herbarium record",2021-08-21,"2021","42.727747","-123.336178"
"3019674303","Bucklandiella obesa","Herbarium record",1995-08-01,"1995","43.074444","-122.994444"
"1986652162","Bucklandiella obesa","Herbarium record",2000-08-10,"2000","45.225","-121.7"
"3356868316","Bucklandiella obesa","Herbarium record",2020-06-11,"2020","42.0695","-122.396278"
"3706486327","Bucklandiella obesa","Herbarium record",2020-04-16,"2020","43.710908","-122.657048"
"4880005899","Bucklandiella obesa","Herbarium record",2023-10-08,"2023","42.55151","-122.1938"
"4999584525","Bucklandiella obesa","Herbarium record",2023-09-17,"2023","45.983112","-121.795655"
"1426514693","Bucklandiella obesa","Herbarium record",2015-05-22,"2015","44.15","-122.2125"
"3019672304","Bucklandiella obesa","Herbarium record",1995-08-01,"1995","43.074444","-122.994444"
"3019682303","Bucklandiella obesa","Herbarium record",2013-04-19,"2013","42.331667","-122.448889"
"3746419337","Bucklandiella obesa","Herbarium record",2020-06-12,"2020","42.258257","-122.220474"
"3019681304","Bucklandiella obesa","Herbarium record",2013-07-24,"2013","42.105","-123.385867"
"3986762339","Bucklandiella obesa","Herbarium record",2021-07-12,"2021","42.398338","-122.461866"
"2453227287","Bucklandiella obesa","Herbarium record",2019-07-27,"2019","44.632399","-122.322711"
"2453227535","Bucklandiella obesa","Herbarium record",2019-06-24,"2019","44.632399","-122.322711"
"2453227701","Bucklandiella obesa","Herbarium record",2018-07-28,"2018","43.943185","-122.519019"
"3713183328","Bucklandiella obesa","Herbarium record",2021-08-23,"2021","42.732217","-123.29225"
"3886710307","Bucklandiella obesa","Herbarium record",2021-07-04,"2021","42.442164","-122.416441"
"3713173329","Bucklandiella obesa","Herbarium record",2020-05-11,"2020","42.053829","-122.501498"
"3886693305","Bucklandiella obesa","Herbarium record",2021-07-30,"2021","42.408968","-122.418292"
"3750580337","Bucklandiella obesa","Herbarium record",2020-06-12,"2020","42.258257","-122.220474"
"3971225348","Bucklandiella obesa","Herbarium record",2021-06-04,"2021","42.394004","-122.442536"
"3713174328","Bucklandiella obesa","Herbarium record",2020-05-11,"2020","42.053829","-122.501498"
"3697807342","Bucklandiella obesa","Herbarium record",2020-06-05,"2020","45.322949","-121.571848"
"5082631305","Bucklandiella obesa","Herbarium record",2023-06-21,"2023","43.928585","-122.576983"
"3986760352","Bucklandiella obesa","Herbarium record",2021-07-18,"2021","44.349127","-122.091623"
"3746430332","Bucklandiella obesa","Herbarium record",2020-12-07,"2020","42.308795","-122.548413"
"3886697310","Bucklandiella obesa","Herbarium record",2021-09-21,"2021","42.393428","-122.38952"
"4147410328","Bucklandiella obesa","Herbarium record",2019-08-18,"2019","44.600641","-122.189021"
"4147414328","Bucklandiella obesa","Herbarium record",2019-11-13,"2019","42.094305","-122.388152"
"4147411324","Bucklandiella obesa","Herbarium record",2019-11-04,"2019","43.017605","-122.601191"
"3971232337","Bucklandiella obesa","Herbarium record",2021-05-27,"2021","42.471823","-122.539701"
"4147409324","Bucklandiella obesa","Herbarium record",2019-11-04,"2019","43.017605","-122.601191"
"4147413330","Bucklandiella obesa","Herbarium record",2019-10-23,"2019","45.251271","-121.737696"
"4147408329","Bucklandiella obesa","Herbarium record",2019-10-24,"2019","45.25414","-121.730954"
"3986761334","Bucklandiella obesa","Herbarium record",2021-07-05,"2021","42.402971","-122.458789"
"4147415332","Bucklandiella obesa","Herbarium record",2019-11-05,"2019","43.021834","-122.615805"
"3986761353","Bucklandiella obesa","Herbarium record",2021-07-19,"2021","44.341867","-122.068827"
"4147410329","Bucklandiella obesa","Herbarium record",2019-11-04,"2019","43.017605","-122.601191"
"3750591337","Bucklandiella obesa","Herbarium record",2020-06-25,"2020","42.223301","-122.440623"
"3697801340","Bucklandiella obesa","Herbarium record",2020-06-05,"2020","45.323118","-121.574536"
"3886699306","Bucklandiella obesa","Herbarium record",2021-06-16,"2021","44.154612","-122.436133"
"3697806343","Bucklandiella obesa","Herbarium record",2020-06-05,"2020","45.323118","-121.574536"
"4147413331","Bucklandiella obesa","Herbarium record",2019-08-14,"2019","44.611932","-122.215104"
"3713183330","Bucklandiella obesa","Herbarium record",2020-11-14,"2020","42.16214","-122.511834"
"3343218308","Bucklandiella obesa","Herbarium record",2013-07-24,"2013","42.105","-123.383333"
"3343225307","Bucklandiella obesa","Herbarium record",1995-08-01,"1995","43.07445","-122.99445"
"3986767358","Bucklandiella obesa","Herbarium record",2021-07-05,"2021","42.402352","-122.46329"
"4880005663","Bucklandiella obesa","Herbarium record",2023-10-07,"2023","42.6815","-122.18343"
"3697806341","Bucklandiella obesa","Herbarium record",2020-07-08,"2020","44.586318","-122.129244"
"4880005894","Bucklandiella obesa","Herbarium record",2023-10-08,"2023","42.55173","-122.18875"
"4856495544","Bucklandiella obesa","Herbarium record",2001-10-12,"2001","42.066667","-122.766667"
"4856252118","Bucklandiella obesa","Herbarium record",1993-08-25,"1993","44.333333","-122.016667"
"4856485061","Bucklandiella obesa","Herbarium record",1993-08-25,"1993","44.333333","-122.016667"
"4856308864","Bucklandiella obesa","Herbarium record",1996-09-17,"1996","47.866667","-123.033333"
"4856308850","Bucklandiella obesa","Herbarium record",1998-08-08,"1998","47.783333","-123.483333"
"4856564398","Bucklandiella obesa","Herbarium record",1998-08-08,"1998","47.783333","-123.483333"
"4856274331","Bucklandiella obesa","Herbarium record",1988-01-30,"1988","42.716667","-124.433333"
"4856274345","Bucklandiella obesa","Herbarium record",1992-06-19,"1992","44.416667","-122.033333"
"4856504272","Bucklandiella obesa","Herbarium record",1993-02-06,"1993","44.466667","-122.45"
"5895558419","Bucklandiella obesa","Herbarium record",1931-07-14,"1931","47.99556","-123.46528"
"5895563855","Bucklandiella obesa","Herbarium record",2001-09-05,"2001","46.4393303","-121.6600991"
"5895570334","Bucklandiella obesa","Herbarium record",2007-07-17,"2007","47.452405","-121.78556"
"5895582515","Bucklandiella obesa","Herbarium record",1934-08-04,"1934","46.80288","-121.851254"
"5895584544","Bucklandiella obesa","Herbarium record",2013-04-19,"2013","42.331667","-122.448889"
"5895588366","Bucklandiella obesa","Herbarium record",1927-08-27,"1927","48.11833","-123.42944"
"5895601262","Bucklandiella obesa","Herbarium record",2001-07-25,"2001","46.0202325","-121.665391"
"5895604646","Bucklandiella obesa","Herbarium record",1931-03-25,"1931","42.095114","-123.403521"
"5895608890","Bucklandiella obesa","Herbarium record",1912-07-27,"1912","47.52222","-123.25917"
"5895651882","Bucklandiella obesa","Herbarium record",2006-10-28,"2006","47.303082","-121.476372"
"5895669439","Bucklandiella obesa","Herbarium record",1955-08-07,"1955","45.316719","-121.64122"
"1929419359","Bucklandiella obesa","Herbarium record",1962-06-18,"1962","46.75667","-122.05472"
"4070497354","Bucklandiella obesa","Herbarium record",2014-09-19,"2014","45.345278","-121.352778"
"4070497602","Bucklandiella obesa","Herbarium record",2013-09-26,"2013","45.143647","-121.523788"
"4070497969","Bucklandiella obesa","Herbarium record",2013-02-11,"2013","45.314167","-122.665278"
"4070498014","Bucklandiella obesa","Herbarium record",2012-07-19,"2012","45.683056","-121.316944"
"4070498027","Bucklandiella obesa","Herbarium record",2014-09-17,"2014","45.345278","-121.352563"
"5832110487","Bucklandiella obesa","Herbarium record",2022-06-07,"2022","44.2434","-122.16896"
"2268911851","Bucklandiella obesa","Herbarium record",2017-08-18,"2017","47.24557","-121.19512"
"1697892689","Bucklandiella obesa","Herbarium record",1989-08-14,"1989","42.264389","-123.8218"
