"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988669462","Buxbaumia aphylla","Herbarium record",1965-08-15,"1965","52.5","-125.85"
"1928848063","Buxbaumia aphylla","Herbarium record",,"1890","47.350476","-123.183091"
"1931198649","Buxbaumia aphylla","Herbarium record",1974-08-13,"1974","69.32","-145.03"
"1928334729","Buxbaumia aphylla","Herbarium record",1974-08-15,"1974","69.32","-145.03"
"2005531532","Buxbaumia aphylla","Herbarium record",1926-05-13,"1926","56.116667","-126.833333"
"2005531654","Buxbaumia aphylla","Herbarium record",1925-07-29,"1925","51.355278","-116.331944"
"4035316348","Buxbaumia aphylla","Herbarium record",1982-07-27,"1982","66.55","-150.75"
"2819137311","Buxbaumia aphylla","Herbarium record",1999-06-28,"1999","48.566667","-120.483333"
"1994899946","Buxbaumia aphylla","Herbarium record",1980-07-13,"1980","49.25","-125.141667"
"1987855232","Buxbaumia aphylla","Herbarium record",1978-07-14,"1978","49.8","-117.1"
"1987853295","Buxbaumia aphylla","Herbarium record",1978-07-09,"1978","49.2","-117.6"
"1987933665","Buxbaumia aphylla","Herbarium record",2003-07-31,"2003","51.3","-117.5"
"1987904954","Buxbaumia aphylla","Herbarium record",1977-08-18,"1977","50.3","-116.3"
"4856259967","Buxbaumia aphylla","Herbarium record",1979-09-25,"1979","65.166667","-147.55"
"4856252359","Buxbaumia aphylla","Herbarium record",1999-06-28,"1999","48.566667","-120.483333"
"4856401226","Buxbaumia aphylla","Herbarium record",1998-08-01,"1998","48.616667","-118.466667"
"4856252360","Buxbaumia aphylla","Herbarium record",1999-06-24,"1999","47.433333","-120.933333"
"1805429280","Buxbaumia aphylla","Herbarium record",1890-11-23,"1890","47.35098","-123.1974"
"1805427100","Buxbaumia aphylla","Herbarium record",1979-10-07,"1979","49.95","-122.783333"
"5196196661","Buxbaumia aphylla","Herbarium record",1800-01-01,"1800","63.740471","-148.993425"
"5895570351","Buxbaumia aphylla","Herbarium record",1930-08-28,"1930","47.98222","-123.71222"
"5895582841","Buxbaumia aphylla","Herbarium record",1956-08-15,"1956","44.027022","-123.508955"
"5895607203","Buxbaumia aphylla","Herbarium record",1963-06-15,"1963","48.265827","-118.094788"
"5895614837","Buxbaumia aphylla","Herbarium record",2000-06-08,"2000","48.8650263","-119.3066663"
"5895616478","Buxbaumia aphylla","Herbarium record",1930-03-20,"1930","47.68167","-122.2075"
"5895626025","Buxbaumia aphylla","Herbarium record",1956-08-15,"1956","44.027022","-123.508955"
"5895627797","Buxbaumia aphylla","Herbarium record",1966-08-15,"1966","46.786458","-121.783331"
"4893283626","Buxbaumia aphylla","Herbarium record",1998-07-21,"1998","67.315","-150.155"
"1987915565","Buxbaumia aphylla","Herbarium record",1965-08-15,"1965","52.5","-125.9"
