"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988640981","Calliergon cordifolium","Herbarium record",,"1951","69.8","-155.38333"
"1989096714","Calliergon cordifolium","Herbarium record",,"1951","68.883333","-161.166667"
"1930252357","Calliergon cordifolium","Herbarium record",1963-06-14,"1963","48.648197","-118.911908"
"1931038301","Calliergon cordifolium","Herbarium record",1983-07-07,"1983","69.63","-142.25"
"1931321971","Calliergon cordifolium","Herbarium record",1967-07-03,"1967","53.17","-132.3"
"1930315328","Calliergon cordifolium","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1929050834","Calliergon cordifolium","Herbarium record",1911-08-12,"1911","48.11833","-123.42944"
"1929085089","Calliergon cordifolium","Herbarium record",1949-06-28,"1949","61.57","-159.57"
"1929687735","Calliergon cordifolium","Herbarium record",1983-08-25,"1983","60.28","-162.63"
"1931102180","Calliergon cordifolium","Herbarium record",1901-10-23,"1901","46.88833","-122.68722"
"1930451548","Calliergon cordifolium","Herbarium record",1991-07-16,"1991","44.38518","-121.805"
"1930566981","Calliergon cordifolium","Herbarium record",1951-08-17,"1951","67.41","-150.1075"
"1929735393","Calliergon cordifolium","Herbarium record",1933-07-31,"1933","48.25556","-121.60028"
"1929723931","Calliergon cordifolium","Herbarium record",1986-08-19,"1986","64.72","-154.55"
"1930487750","Calliergon cordifolium","Herbarium record",1908-04-10,"1908","46.89009","-124.104061"
"1927910587","Calliergon cordifolium","Herbarium record",1899-07-03,"1899","57.79","-152.407222"
"1929456158","Calliergon cordifolium","Herbarium record",1983-09-01,"1983","62.17","-162.5"
"1928394055","Calliergon cordifolium","Herbarium record",1908-04-22,"1908","46.89009","-124.104061"
"1930230915","Calliergon cordifolium","Herbarium record",1972-07-19,"1972","68.75","-160.0"
"1927988166","Calliergon cordifolium","Herbarium record",1983-08-25,"1983","60.13","-163.42"
"1930540449","Calliergon cordifolium","Herbarium record",1904-06-20,"1904","47.60621","-122.332071"
"1929448173","Calliergon cordifolium","Herbarium record",1908-04-22,"1908","46.89009","-124.104061"
"1931227352","Calliergon cordifolium","Herbarium record",1986-08-19,"1986","64.72","-154.55"
"1929561241","Calliergon cordifolium","Herbarium record",1991-07-16,"1991","44.38518","-121.805"
"1928927754","Calliergon cordifolium","Herbarium record",,"1970","48.88095","-117.2864"
"1927907060","Calliergon cordifolium","Herbarium record",1899-07-13,"1899","47.0725","-122.71083"
"1927944587","Calliergon cordifolium","Herbarium record",1997-08-02,"1997","60.97","-146.1"
"1931007568","Calliergon cordifolium","Herbarium record",1967-07-03,"1967","53.17","-132.3"
"1930568155","Calliergon cordifolium","Herbarium record",1983-08-31,"1983","62.83","-162.5"
"1931377599","Calliergon cordifolium","Herbarium record",1908-04-22,"1908","46.89009","-124.104061"
"1930293158","Calliergon cordifolium","Herbarium record",1974-08-05,"1974","68.13","-151.75"
"1928318326","Calliergon cordifolium","Herbarium record",1904-06-20,"1904","47.60621","-122.332071"
"1929735264","Calliergon cordifolium","Herbarium record",2003-07-16,"2003","66.4719","-157.1953"
"1930659719","Calliergon cordifolium","Herbarium record",1918-05-18,"1918","44.491962","-124.053451"
"1930988847","Calliergon cordifolium","Herbarium record",1983-08-25,"1983","60.28","-162.63"
"1929537846","Calliergon cordifolium","Herbarium record",1997-07-14,"1997","57.15","-170.25"
"1928062147","Calliergon cordifolium","Herbarium record",1976-05-19,"1976","49.2","-117.33"
"1928842279","Calliergon cordifolium","Herbarium record",1952-07-16,"1952","68.72","-156.5"
"1928846543","Calliergon cordifolium","Herbarium record",1983-09-01,"1983","62.08","-161.92"
"1928333339","Calliergon cordifolium","Herbarium record",1999-06-04,"1999","47.85","-120.73"
"1929666371","Calliergon cordifolium","Herbarium record",1919-07-26,"1919","46.73833","-121.56556"
"1928346647","Calliergon cordifolium","Herbarium record",,"1958","47.42361","-120.30917"
"1930702392","Calliergon cordifolium","Herbarium record",1974-07-04,"1974","69.37","-152.13"
"1929069599","Calliergon cordifolium","Herbarium record",1987-08-20,"1987","64.73","-154.37"
"2005531839","Calliergon cordifolium","Herbarium record",1976-05-19,"1976","49.2","-117.333333"
"2005531786","Calliergon cordifolium","Herbarium record",2000-08-24,"2000","52.833333","172.833333"
"2005531782","Calliergon cordifolium","Herbarium record",1963-09-14,"1963","49.25","-122.95"
"2005531798","Calliergon cordifolium","Herbarium record",1908-04-22,"1908","46.89028","-124.10278"
"2005531795","Calliergon cordifolium","Herbarium record",1961-08-25,"1961","53.103333","-131.945"
"2005531758","Calliergon cordifolium","Herbarium record",1966-07-30,"1966","53.108889","-131.645"
"2005531689","Calliergon cordifolium","Herbarium record",2003-07-16,"2003","66.471944","-157.195278"
"2005531764","Calliergon cordifolium","Herbarium record",1908-04-22,"1908","46.89028","-124.10278"
"2005531860","Calliergon cordifolium","Herbarium record",1967-07-03,"1967","53.166667","-132.3"
"2005531732","Calliergon cordifolium","Herbarium record",1962-09-02,"1962","49.316667","-123.066667"
"4988133339","Calliergon cordifolium","Herbarium record",1991-08-05,"1991","68.65","-149.35"
"2005531780","Calliergon cordifolium","Herbarium record",1899-07-13,"1899","48.17528","-117.72361"
"2005531819","Calliergon cordifolium","Herbarium record",1904-06-20,"1904","47.60639","-122.33083"
"4976137461","Calliergon cordifolium","Herbarium record",1992-07-12,"1992","68.65","-149.35"
"2005531800","Calliergon cordifolium","Herbarium record",1908-04-22,"1908","46.89028","-124.10278"
"2005531848","Calliergon cordifolium","Herbarium record",1904-06-20,"1904","47.60639","-122.33083"
"2005531846","Calliergon cordifolium","Herbarium record",1974-06-20,"1974","54.070556","-131.835278"
"4976137463","Calliergon cordifolium","Herbarium record",1992-07-12,"1992","68.65","-149.35"
"2845658305","Calliergon cordifolium","Herbarium record",2008-06-17,"2008","42.903056","-124.503889"
"2845666306","Calliergon cordifolium","Herbarium record",2000-06-02,"2000","47.919444","-124.6"
"2845668305","Calliergon cordifolium","Herbarium record",1999-06-04,"1999","47.85","-120.733333"
"3697800346","Calliergon cordifolium","Herbarium record",2020-07-09,"2020","44.617087","-122.10679"
"2845667305","Calliergon cordifolium","Herbarium record",2006-07-26,"2006","57.647917","-153.293639"
"2845665304","Calliergon cordifolium","Herbarium record",2005-07-01,"2005","66.796333","-158.077833"
"1987881364","Calliergon cordifolium","Herbarium record",1974-08-10,"1974","49.8","-123.2"
"1987810144","Calliergon cordifolium","Herbarium record",2000-07-04,"2000","56.2","-160.3"
"1987921217","Calliergon cordifolium","Herbarium record",1963-09-14,"1963","49.2","-121.9"
"1987777718","Calliergon cordifolium","Herbarium record",1961-08-25,"1961","52.9","-132.1"
"1987806015","Calliergon cordifolium","Herbarium record",1997-07-15,"1997","52.112782","-121.504204"
"1987860256","Calliergon cordifolium","Herbarium record",1964-06-07,"1964","54.4","-128.7"
"1987801611","Calliergon cordifolium","Herbarium record",2003-07-25,"2003","66.17","-160.25"
"1987824484","Calliergon cordifolium","Herbarium record",1969-07-24,"1969","53.2","-131.8"
"1987768097","Calliergon cordifolium","Herbarium record",1957-07-09,"1957","54.1","-122.0"
"1987787760","Calliergon cordifolium","Herbarium record",1977-08-12,"1977","49.8","-116.2"
"1987873739","Calliergon cordifolium","Herbarium record",1998-08-19,"1998","58.7","-156.7"
"1987902331","Calliergon cordifolium","Herbarium record",1976-12-04,"1976","49.3","-122.7"
"1987756672","Calliergon cordifolium","Herbarium record",1978-08-15,"1978","51.7","-117.8"
