"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"3820695622","Calypogeia neogaea","Herbarium record",1978-03-21,"1978","42.56271","-124.00167"
"4851109424","Calypogeia neogaea","Herbarium record",1895-09-22,"1895","46.2143","-121.4978"
"4851109625","Calypogeia neogaea","Herbarium record",1895-09-22,"1895","46.19955","-121.43875"
"4535621524","Calypogeia neogaea","iNat record",2022-02-12,"2022","49.340825","-123.238333"
"5237990417","Calypogeia neogaea","iNat record",2024-08-21,"2024","50.777528","-127.844567"
"5827374849","Calypogeia neogaea","iNat record",2025-09-10,"2025","52.209557","-128.215637"
"4606623458","Calypogeia neogaea","iNat record",2024-03-18,"2024","44.25449","-124.089257"
"5827657044","Calypogeia neogaea","iNat record",2025-09-05,"2025","50.698528","-127.812859"
"5840378649","Calypogeia neogaea","iNat record",2025-08-31,"2025","50.13869","-125.391985"
"5237628403","Calypogeia neogaea","iNat record",2024-08-22,"2024","50.75655","-128.074795"
"4945857636","Calypogeia neogaea","iNat record",2024-09-07,"2024","57.089527","-135.363488"
"1257959529","Calypogeia neogaea","Herbarium record",2011-09-01,"2011","42.88676","-124.51814"
