"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989512977","Diobelonella palustris","Herbarium record",1992-06-14,"1992","45.55","-121.8"
"1989019342","Diobelonella palustris","Herbarium record",1977-07-26,"1977","50.133333","-116.95"
"1989185058","Diobelonella palustris","Herbarium record",1977-08-02,"1977","57.65","-126.766667"
"1931030588","Diobelonella palustris","Herbarium record",1963-07-13,"1963","47.31333","-121.42944"
"1930625065","Diobelonella palustris","Herbarium record",1973-06-26,"1973","68.12","-151.75"
"1929208776","Diobelonella palustris","Herbarium record",1975-09-06,"1975","51.93915","-176.663983"
"1928167964","Diobelonella palustris","Herbarium record",,"1981","54.9","-159.25"
"1930809935","Diobelonella palustris","Herbarium record",1975-09-06,"1975","51.93915","-176.663983"
"1929389788","Diobelonella palustris","Herbarium record",1978-01-17,"1978","49.35","-123.08"
"1930743342","Diobelonella palustris","Herbarium record",1977-08-02,"1977","57.65","-126.77"
"1929457201","Diobelonella palustris","Herbarium record",1978-02-16,"1978","49.35","-123.08"
"1928497535","Diobelonella palustris","Herbarium record",1997-08-13,"1997","54.92","-162.33"
"1928463524","Diobelonella palustris","Herbarium record",1964-10-04,"1964","47.94083","-120.43472"
"1929214933","Diobelonella palustris","Herbarium record",2012-08-02,"2012","44.7511","-118.6175"
"1928047082","Diobelonella palustris","Herbarium record",1978-02-20,"1978","49.35","-123.08"
"1930688370","Diobelonella palustris","Herbarium record",1960-07-19,"1960","45.75472","-122.66028"
"1930016775","Diobelonella palustris","Herbarium record",1973-04-22,"1973","46.58","-122.75"
"1929352031","Diobelonella palustris","Herbarium record",1996-07-11,"1996","54.92","-159.25"
"1929123371","Diobelonella palustris","Herbarium record",1963-03-23,"1963","48.07","-121.7175"
"1929683397","Diobelonella palustris","Herbarium record",1963-08-25,"1963","46.16611","-121.32139"
"1931150843","Diobelonella palustris","Herbarium record",1981-07-25,"1981","60.08","-150.52"
"2005535916","Diobelonella palustris","Herbarium record",1969-08-20,"1969","50.116667","-122.96667"
"2005536145","Diobelonella palustris","Herbarium record",1975-09-06,"1975","51.88","-176.65806"
"2005536299","Diobelonella palustris","Herbarium record",2002-09-14,"2002","52.85","173.166667"
"2005536286","Diobelonella palustris","Herbarium record",1975-06-15,"1975","51.88","-176.65806"
"2005536220","Diobelonella palustris","Herbarium record",1975-09-06,"1975","51.88","-176.65806"
"2005536201","Diobelonella palustris","Herbarium record",1975-09-06,"1975","51.88","-176.65806"
"2005536216","Diobelonella palustris","Herbarium record",1963-03-23,"1963","48.069941","-121.718439"
"2005535972","Diobelonella palustris","Herbarium record",1964-07-26,"1964","52.930833","-132.063056"
"2005536010","Diobelonella palustris","Herbarium record",1964-09-09,"1964","54.280833","-130.2725"
"2005535980","Diobelonella palustris","Herbarium record",1964-09-12,"1964","53.103333","-131.945"
"2005535951","Diobelonella palustris","Herbarium record",1964-09-12,"1964","53.25","-132.333333"
"2005536024","Diobelonella palustris","Herbarium record",1960-10-09,"1960","49.366667","-122.947778"
"2005536181","Diobelonella palustris","Herbarium record",1964-10-10,"1964","47.629722","-122.306667"
"2005536236","Diobelonella palustris","Herbarium record",1949-08-30,"1949","52.9375","173.2375"
"2005536303","Diobelonella palustris","Herbarium record",1964-10-13,"1964","47.01222","-120.95806"
"3503289327","Diobelonella palustris","Herbarium record",2012-08-02,"2012","44.751111","-118.6175"
"1987869740","Diobelonella palustris","Herbarium record",1996-07-11,"1996","54.9","-159.3"
"1987882167","Diobelonella palustris","Herbarium record",1979-09-06,"1979","52.1","-118.6"
"1987802612","Diobelonella palustris","Herbarium record",1963-09-26,"1963","46.76","-121.79"
"1987838970","Diobelonella palustris","Herbarium record",1977-08-02,"1977","57.7","-126.8"
"1987813847","Diobelonella palustris","Herbarium record",1966-07-23,"1966","53.3","-132.5"
"1987780363","Diobelonella palustris","Herbarium record",2013-08-10,"2013","55.94","-129.99"
"1987808963","Diobelonella palustris","Herbarium record",1974-06-22,"1974","53.7","-132.1"
"1987723232","Diobelonella palustris","Herbarium record",1980-09-14,"1980","49.3","-122.5"
"1987766653","Diobelonella palustris","Herbarium record",1966-07-06,"1966","52.3","-131.5"
"1987786880","Diobelonella palustris","Herbarium record",1970-06-17,"1970","50.0","-126.1"
"1987915699","Diobelonella palustris","Herbarium record",2013-08-10,"2013","55.94","-129.99"
"1987731070","Diobelonella palustris","Herbarium record",,"1966","49.7","-121.9"
"1987801827","Diobelonella palustris","Herbarium record",2015-06-27,"2015","50.12","-122.95"
"1987742764","Diobelonella palustris","Herbarium record",1964-04-18,"1964","45.75","-122.66"
"1987839454","Diobelonella palustris","Herbarium record",1999-07-12,"1999","55.9","-159.5"
"1987816604","Diobelonella palustris","Herbarium record",1977-07-26,"1977","50.1","-117.0"
"1987923945","Diobelonella palustris","Herbarium record",1998-08-26,"1998","56.0","-159.8"
"1987868825","Diobelonella palustris","Herbarium record",1967-08-15,"1967","56.6","-134.9"
"1987865917","Diobelonella palustris","Herbarium record",2010-08-21,"2010","49.8","-125.3"
"1987724683","Diobelonella palustris","Herbarium record",1956-06-12,"1956","49.1","-124.3"
"1987820966","Diobelonella palustris","Herbarium record",1970-04-10,"1970","50.9","-127.7"
"1987914460","Diobelonella palustris","Herbarium record",1969-11-01,"1969","49.2","-121.7"
