"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988773004","Drepanocladus trifarius","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"2005532037","Drepanocladus trifarius","Herbarium record",1985-08-18,"1985","53.083333","-132.0"
"2817017302","Drepanocladus trifarius","Herbarium record",1997-09-19,"1997","42.438333","-122.236944"
"3756226309","Drepanocladus trifarius","Herbarium record",2005-07-01,"2005","57.450583","-154.6345"
"1987804278","Drepanocladus trifarius","Herbarium record",2005-07-01,"2005","57.451","-154.635"
"1987756493","Drepanocladus trifarius","Herbarium record",1998-06-15,"1998","57.249168","-130.242493"
"1987811039","Drepanocladus trifarius","Herbarium record",1987-06-19,"1987","55.9","-124.5"
"1987915014","Drepanocladus trifarius","Herbarium record",1982-07-01,"1982","62.8","-141.7"
"1987784652","Drepanocladus trifarius","Herbarium record",2011-07-06,"2011","52.6","-121.5"
"1987862773","Drepanocladus trifarius","Herbarium record",1985-08-18,"1985","53.1","-132.0"
"1987826472","Drepanocladus trifarius","Herbarium record",2013-08-10,"2013","61.61","-149.31"
"1987788295","Drepanocladus trifarius","Herbarium record",1977-07-24,"1977","58.7","-124.6"
"1987807392","Drepanocladus trifarius","Herbarium record",2013-07-04,"2013","50.47","-120.55"
"1052558908","Drepanocladus trifarius","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"5895580528","Drepanocladus trifarius","Herbarium record",1980-09-11,"1980","42.439261","-122.2370417"
"5895591300","Drepanocladus trifarius","Herbarium record",1998-09-28,"1998","48.650046","-119.968739"
"5895609124","Drepanocladus trifarius","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"4076848498","Drepanocladus trifarius","Herbarium record",1911-10-18,"1911","53.352639","-125.826721"
"1987898405","Drepanocladus trifarius","Herbarium record",1980-08-01,"1980","52.9","-118.8"
"1987880469","Drepanocladus trifarius","Herbarium record",1976-07-17,"1976","58.7","-124.7"
"1987741064","Drepanocladus trifarius","Herbarium record",1977-08-03,"1977","50.9","-116.5"
"1987867671","Drepanocladus trifarius","Herbarium record",2005-07-01,"2005","57.451","-154.635"
"1987921679","Drepanocladus trifarius","Herbarium record",1998-06-15,"1998","57.249168","-130.242493"
"1987806568","Drepanocladus trifarius","Herbarium record",2000-08-14,"2000","50.8","-120.0"
"1987841118","Drepanocladus trifarius","Herbarium record",1998-06-17,"1998","56.26833","-129.341095"
"1987739956","Drepanocladus trifarius","Herbarium record",2004-08-21,"2004","51.93","-120.1"
"1987841682","Drepanocladus trifarius","Herbarium record",1977-07-19,"1977","56.6","-126.4"
"1987781425","Drepanocladus trifarius","Herbarium record",2001-07-28,"2001","62.9","-141.48"
"1987725402","Drepanocladus trifarius","Herbarium record",1982-07-29,"1982","68.5","-149.3"
"1211196776","Drepanocladus trifarius","Herbarium record",,"1911","53.33441","-125.878151"
"3820668794","Drepanocladus trifarius","Herbarium record",1980-09-11,"1980","42.43839","-122.23769"
"3820673859","Drepanocladus trifarius","Herbarium record",1997-09-19,"1997","42.438333","-122.236944"
"3820688702","Drepanocladus trifarius","Herbarium record",1985-08-18,"1985","53.083333","-132.0"
"3820692559","Drepanocladus trifarius","Herbarium record",1996-08-02,"1996","42.4375","-122.0"
"70764731","Drepanocladus trifarius","Herbarium record",1998-08-03,"1998","64.939167","-166.198333"
"70764730","Drepanocladus trifarius","Herbarium record",1998-08-03,"1998","64.939167","-166.198333"
"4070498387","Drepanocladus trifarius","Herbarium record",1999-07-22,"1999","42.857234","-121.115658"
"2028281435","Drepanocladus trifarius","Herbarium record",1985-08-18,"1985","53.083333","-132.0"
"2028185851","Drepanocladus trifarius","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"3467158541","Drepanocladus trifarius","Herbarium record",1977-07-19,"1977","56.58","-126.42"
"3467351915","Drepanocladus trifarius","Herbarium record",1974-07-16,"1974","68.13","-145.53"
