"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989164156","Fontinalis howellii","Herbarium record",1994-10-06,"1994","43.8","-124.133333"
"1931254524","Fontinalis howellii","Herbarium record",,"1882","45.85","-122.8"
"1930809777","Fontinalis howellii","Herbarium record",1890-08-27,"1890","46.022762","-121.9151"
"1929282139","Fontinalis howellii","Herbarium record",1888-07-03,"1888","47.252877","-122.444291"
"1930471173","Fontinalis howellii","Herbarium record",,"1925","48.2926","-122.676282"
"1930300415","Fontinalis howellii","Herbarium record",,"1904","47.60621","-122.332071"
"1930999820","Fontinalis howellii","Herbarium record",1943-09-30,"1943","47.42","-121.42"
"1930616248","Fontinalis howellii","Herbarium record",,"1913","46.716214","-122.954297"
"1929357139","Fontinalis howellii","Herbarium record",1901-03-16,"1901","47.004264","-122.539846"
"1929450264","Fontinalis howellii","Herbarium record",1903-10-05,"1903","47.252877","-122.444291"
"1931067093","Fontinalis howellii","Herbarium record",1915-11-15,"1915","47.95833","-123.72556"
"1928833167","Fontinalis howellii","Herbarium record",1888-06-16,"1888","46.25333","-118.84222"
"1930713599","Fontinalis howellii","Herbarium record",1939-05-10,"1939","47.75028","-123.74972"
"1928513417","Fontinalis howellii","Herbarium record",,"1922","48.051764","-122.177082"
"1930749195","Fontinalis howellii","Herbarium record",1888-06-16,"1888","47.23706","-121.178979"
"1929241807","Fontinalis howellii","Herbarium record",1840-08-26,"1840","46.12972","-121.71361"
"1928171795","Fontinalis howellii","Herbarium record",1966-06-26,"1966","53.33","-132.25"
"1928596385","Fontinalis howellii","Herbarium record",1926-11-20,"1926","49.983333","-117.366667"
"1929285252","Fontinalis howellii","Herbarium record",1992-06-16,"1992","44.35","-123.53"
"1930589186","Fontinalis howellii","Herbarium record",2012-10-02,"2012","43.7394","-121.9739"
"1931137673","Fontinalis howellii","Herbarium record",1888-06-16,"1888","46.25333","-118.84222"
"1928280198","Fontinalis howellii","Herbarium record",1840-08-27,"1840","46.022762","-121.9151"
"1928016168","Fontinalis howellii","Herbarium record",1813-10-24,"1813","48.65","-123.416667"
"1929161918","Fontinalis howellii","Herbarium record",1887-06-23,"1887","48.433333","-123.35"
"1931306512","Fontinalis howellii","Herbarium record",,"1925","48.2833","-122.6667"
"1930367038","Fontinalis howellii","Herbarium record",1888-07-01,"1888","47.252877","-122.444291"
"1928651234","Fontinalis howellii","Herbarium record",1964-07-08,"1964","48.01639","-117.27556"
"1929880368","Fontinalis howellii","Herbarium record",1888-07-03,"1888","47.252877","-122.444291"
"1930654277","Fontinalis howellii","Herbarium record",1884-09-01,"1884","45.85","-122.8"
"1930046098","Fontinalis howellii","Herbarium record",1908-06-18,"1908","48.625869","-123.642506"
"2513293448","Fontinalis howellii","Herbarium record",1994-10-06,"1994","43.8","-124.13333"
"2005543604","Fontinalis howellii","Herbarium record",1962-06-21,"1962","49.666667","-124.416667"
"2005543613","Fontinalis howellii","Herbarium record",1992-06-20,"1992","44.00028","-121.50028"
"2005543730","Fontinalis howellii","Herbarium record",1966-07-30,"1966","53.108889","-131.645"
"2005543666","Fontinalis howellii","Herbarium record",1926-11-20,"1926","49.983333","-117.366667"
"2005543659","Fontinalis howellii","Herbarium record",1964-05-03,"1964","49.5","-123.416667"
"2005543595","Fontinalis howellii","Herbarium record",1927-06-06,"1927","49.466667","-117.51667"
"2005543741","Fontinalis howellii","Herbarium record",1925-04-05,"1925","48.29278","-122.675"
"2005543658","Fontinalis howellii","Herbarium record",1926-11-20,"1926","49.99","-117.38"
"2005543638","Fontinalis howellii","Herbarium record",1911-08-08,"1911","53.266667","-126.06667"
"2005543702","Fontinalis howellii","Herbarium record",1898-11-05,"1898","47.0725","-122.71083"
"2005543705","Fontinalis howellii","Herbarium record",1925-04-05,"1925","48.29278","-122.675"
"2513294073","Fontinalis howellii","Herbarium record",1993-07-22,"1993","44.03333","-121.75"
"4509619343","Fontinalis howellii","Herbarium record",2022-03-25,"2022","43.84745","-122.234572"
"3028680309","Fontinalis howellii","Herbarium record",2000-05-13,"2000","48.316667","-122.3"
"3028692308","Fontinalis howellii","Herbarium record",1998-06-20,"1998","47.783333","-122.883333"
"3743491334","Fontinalis howellii","Herbarium record",2020-05-08,"2020","42.976896","-123.69146"
"3697808335","Fontinalis howellii","Herbarium record",2020-05-16,"2020","43.727131","-122.622029"
"4438090344","Fontinalis howellii","Herbarium record",1992-06-16,"1992","44.35","-123.533333"
"3743487343","Fontinalis howellii","Herbarium record",2020-10-25,"2020","42.266827","-122.541838"
"4998186043","Fontinalis howellii","Herbarium record",2023-09-17,"2023","45.976222","-121.814537"
"4880005664","Fontinalis howellii","Herbarium record",2023-06-06,"2023","44.024992","-122.855658"
"2985356304","Fontinalis howellii","Herbarium record",1997-02-25,"1997","49.5","-124.833333"
"2985359303","Fontinalis howellii","Herbarium record",2012-10-02,"2012","43.739444","-121.973889"
"4601109347","Fontinalis howellii","Herbarium record",2023-10-21,"2023","42.52515","-122.28919"
"2985357304","Fontinalis howellii","Herbarium record",1992-06-16,"1992","44.35","-123.533333"
"2985362302","Fontinalis howellii","Herbarium record",1992-06-20,"1992","43.883333","-121.8"
"2985358304","Fontinalis howellii","Herbarium record",1997-09-12,"1997","47.866667","-124.25"
"4880005683","Fontinalis howellii","Herbarium record",2023-10-12,"2023","42.698728","-122.149438"
"3746429338","Fontinalis howellii","Herbarium record",2020-07-22,"2020","43.705944","-122.592921"
"4517605324","Fontinalis howellii","Herbarium record",1992-06-20,"1992","43.883333","-121.8"
"3706474330","Fontinalis howellii","Herbarium record",2020-05-27,"2020","42.037299","-122.420329"
"3697802345","Fontinalis howellii","Herbarium record",2020-07-09,"2020","44.61684","-122.105218"
"1571698373","Fontinalis howellii","Herbarium record",2016-07-27,"2016","47.10049","-122.61389"
"4601110344","Fontinalis howellii","Herbarium record",2023-10-21,"2023","42.52515","-122.28919"
"3743482340","Fontinalis howellii","Herbarium record",2020-08-15,"2020","43.421086","-122.121677"
"4900814674","Fontinalis howellii","Herbarium record",2023-04-28,"2023","42.491138","-122.483845"
"2575865492","Fontinalis howellii","Herbarium record",2019-07-08,"2019","44.648805","-122.085469"
"1987888955","Fontinalis howellii","Herbarium record",1997-02-25,"1997","49.5","-124.8"
"1987749534","Fontinalis howellii","Herbarium record",1887-06-28,"1887","49.12","-123.85"
"1987827189","Fontinalis howellii","Herbarium record",1950-06-14,"1950","49.1","-124.1"
"1987848412","Fontinalis howellii","Herbarium record",1971-08-23,"1971","49.68","-125.62"
"1987738056","Fontinalis howellii","Herbarium record",1966-05-05,"1966","48.38","-123.92"
"1987815130","Fontinalis howellii","Herbarium record",1970-02-21,"1970","49.13","-121.95"
"1987884552","Fontinalis howellii","Herbarium record",1955-10-22,"1955","49.44","-124.69"
"1987894344","Fontinalis howellii","Herbarium record",1965-04-23,"1965","48.53","-123.42"
"1987719640","Fontinalis howellii","Herbarium record",1962-06-21,"1962","49.67","-124.4"
"1987799499","Fontinalis howellii","Herbarium record",1999-05-15,"1999","48.8","-124.1"
