"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1987740418","Fossombronia longiseta","Herbarium record",1983-05-03,"1983","49.1","-123.9"
"1987815487","Fossombronia longiseta","Herbarium record",1982-04-29,"1982","48.4","-123.6"
"1987787695","Fossombronia longiseta","Herbarium record",1977-05-26,"1977","50.3","-125.2"
"5895618658","Fossombronia longiseta","Herbarium record",1935-03-26,"1935","45.59472","-121.1775"
"5895620539","Fossombronia longiseta","Herbarium record",1931-03-22,"1931","43.02028","-123.29194"
"5895625907","Fossombronia longiseta","Herbarium record",1935-07-01,"1935","44.88083","-117.11361"
"5895667701","Fossombronia longiseta","Herbarium record",1931-03-25,"1931","42.19444","-123.65056"
"1987874895","Fossombronia longiseta","Herbarium record",2003-05-17,"2003","45.8","-119.6"
"1987803002","Fossombronia longiseta","Herbarium record",1981-05-01,"1981","42.7","-123.3"
"1987919615","Fossombronia longiseta","Herbarium record",1976-07-08,"1976","49.0","-121.1"
"4909454363","Fossombronia longiseta","Herbarium record",1976-05-06,"1976","48.5","-122.666667"
"4909454383","Fossombronia longiseta","Herbarium record",1976-05-06,"1976","48.5","-122.666667"
"3820668831","Fossombronia longiseta","Herbarium record",1978-03-21,"1978","42.558333","-124.05"
"3820669803","Fossombronia longiseta","Herbarium record",1998-03-31,"1998","42.244722","-123.202778"
"3820675772","Fossombronia longiseta","Herbarium record",1998-03-03,"1998","42.243889","-123.2025"
"3820689274","Fossombronia longiseta","Herbarium record",1972-04-23,"1972","45.718491","-121.680707"
"4068399385","Fossombronia longiseta","Herbarium record",1998-05-06,"1998","42.2375","-123.221111"
"3108992633","Fossombronia longiseta","iNat record",2021-04-23,"2021","48.456069","-123.480614"
"3760163700","Fossombronia longiseta","iNat record",2022-04-16,"2022","49.459702","-124.244366"
"3113617781","Fossombronia longiseta","iNat record",2021-05-09,"2021","49.027553","-123.818786"
"4597008083","Fossombronia longiseta","iNat record",2024-03-14,"2024","48.318176","-123.657417"
"3743029078","Fossombronia longiseta","iNat record",2022-03-13,"2022","48.654031","-123.733409"
"3759246063","Fossombronia longiseta","iNat record",2022-03-25,"2022","48.838759","-123.592215"
"4111704089","Fossombronia longiseta","iNat record",2023-04-29,"2023","48.319143","-123.654502"
"3113657718","Fossombronia longiseta","iNat record",2021-05-09,"2021","49.027691","-123.818329"
"3747218089","Fossombronia longiseta","iNat record",2022-03-24,"2022","48.95695","-123.529842"
"5087843334","Fossombronia longiseta","iNat record",2025-03-09,"2025","49.489148","-124.705948"
"3090614212","Fossombronia longiseta","iNat record",2021-04-09,"2021","49.069795","-123.946415"
"3698048393","Fossombronia longiseta","iNat record",2022-02-17,"2022","48.38675","-123.487924"
"3113425680","Fossombronia longiseta","iNat record",2021-05-09,"2021","49.027691","-123.818329"
"5868082537","Fossombronia longiseta","iNat record",2022-02-06,"2022","49.069233","-123.948013"
"4067611918","Fossombronia longiseta","iNat record",2022-03-19,"2022","48.545827","-123.410912"
"3759870112","Fossombronia longiseta","iNat record",2022-03-23,"2022","48.459969","-123.274477"
"3113619764","Fossombronia longiseta","iNat record",2021-05-09,"2021","49.027469","-123.818572"
"3759898966","Fossombronia longiseta","iNat record",2022-03-22,"2022","48.83812","-123.58988"
"5867829604","Fossombronia longiseta","iNat record",2022-02-06,"2022","49.069233","-123.948013"
"3760021252","Fossombronia longiseta","iNat record",2022-04-15,"2022","48.540745","-123.532288"
"3113402733","Fossombronia longiseta","iNat record",2021-05-09,"2021","49.027691","-123.818329"
"3109004655","Fossombronia longiseta","iNat record",2021-04-23,"2021","48.456211","-123.481605"
"3747271668","Fossombronia longiseta","iNat record",2022-03-18,"2022","48.653389","-123.732651"
"3759927800","Fossombronia longiseta","iNat record",2022-03-25,"2022","48.833194","-123.589208"
"4111672574","Fossombronia longiseta","iNat record",2023-04-29,"2023","48.325447","-123.630529"
"5840542424","Fossombronia longiseta","iNat record",2023-04-29,"2023","48.325425","-123.630436"
"4006678382","Fossombronia longiseta","iNat record",2021-05-08,"2021","49.025756","-123.832733"
"5868320764","Fossombronia longiseta","iNat record",2022-02-06,"2022","49.069233","-123.948013"
"3759877015","Fossombronia longiseta","iNat record",2022-03-25,"2022","48.455627","-123.482435"
"3113607787","Fossombronia longiseta","iNat record",2021-05-09,"2021","49.027867","-123.819047"
"5839847178","Fossombronia longiseta","iNat record",2022-04-09,"2022","48.465753","-123.545365"
"4597505983","Fossombronia longiseta","iNat record",2024-03-14,"2024","48.317612","-123.655701"
"3113483703","Fossombronia longiseta","iNat record",2021-05-09,"2021","49.027691","-123.818329"
"4597020152","Fossombronia longiseta","iNat record",2024-03-14,"2024","48.317783","-123.656128"
"2028274605","Fossombronia longiseta","Herbarium record",2003-05-17,"2003","45.833333","-119.633333"
