"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989024272","Frullania franciscana","Herbarium record",1932-08-21,"1932","42.75","-124.483333"
"1931001355","Frullania franciscana","Herbarium record",1977-08-15,"1977","45.08","-123.98"
"1930928075","Frullania franciscana","Herbarium record",2006-08-31,"2006","44.5094","-124.0647"
"1928875111","Frullania franciscana","Herbarium record",1932-08-21,"1932","42.75","-124.48"
"1928627784","Frullania franciscana","Herbarium record",1899-06-16,"1899","57.053056","-135.33"
"1931179339","Frullania franciscana","Herbarium record",2006-08-31,"2006","44.5094","-124.0647"
"1931110456","Frullania franciscana","Herbarium record",1935-03-25,"1935","43.340111","-124.330117"
"1930067807","Frullania franciscana","Herbarium record",1935-03-25,"1935","43.340111","-124.330117"
"1930517366","Frullania franciscana","Herbarium record",1935-05-25,"1935","43.340111","-124.330117"
"1929403132","Frullania franciscana","Herbarium record",1935-03-25,"1935","43.340111","-124.330117"
"1928086351","Frullania franciscana","Herbarium record",1935-03-25,"1935","43.340111","-124.330117"
"1929199158","Frullania franciscana","Herbarium record",1950-07-14,"1950","47.75028","-123.74972"
"1928422792","Frullania franciscana","Herbarium record",1935-03-25,"1935","43.3333","-124.3167"
"1930855373","Frullania franciscana","Herbarium record",2011-06-20,"2011","44.0694","-124.1228"
"1930674186","Frullania franciscana","Herbarium record",1932-08-21,"1932","42.75","-124.48"
"1928777422","Frullania franciscana","Herbarium record",1932-08-21,"1932","42.75","-124.48"
"1929357777","Frullania franciscana","Herbarium record",1950-07-01,"1950","48.09611","-124.635"
"1930085482","Frullania franciscana","Herbarium record",1950-07-18,"1950","47.5425","-124.331111"
"1928757299","Frullania franciscana","Herbarium record",1935-03-25,"1935","43.340111","-124.330117"
"1931113784","Frullania franciscana","Herbarium record",1950-07-19,"1950","47.75028","-123.74972"
"1929290786","Frullania franciscana","Herbarium record",1953-06-07,"1953","47.20917","-124.20194"
"1930430956","Frullania franciscana","Herbarium record",1932-08-21,"1932","42.75","-124.48"
"1930873450","Frullania franciscana","Herbarium record",1901-06-27,"1901","48.55","-124.42"
"1929663749","Frullania franciscana","Herbarium record",1950-07-11,"1950","47.474167","-123.866667"
"1928388709","Frullania franciscana","Herbarium record",1932-08-21,"1932","42.75","-124.48"
"1928917307","Frullania franciscana","Herbarium record",1935-03-25,"1935","43.340111","-124.330117"
"2005597641","Frullania franciscana","Herbarium record",1935-03-25,"1935","43.340111","-124.330117"
