"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989302967","Geheebia gigantea","Herbarium record",1971-07-07,"1971","52.766667","-131.866667"
"4038690253","Geheebia gigantea","MATERIAL_SAMPLE",1971-07-07,"1971","52.767","-131.867"
"4038709267","Geheebia gigantea","MATERIAL_SAMPLE",1964-07-31,"1964","53.133","-132.083"
"1928421001","Geheebia gigantea","Herbarium record",1968-05-27,"1968","56.0","-133.75"
"1930915993","Geheebia gigantea","Herbarium record",1997-08-20,"1997","68.37","-154.65"
"1928838141","Geheebia gigantea","Herbarium record",1964-07-31,"1964","53.13","-132.08"
"1928182341","Geheebia gigantea","Herbarium record",1963-07-10,"1963","68.78","-160.0"
"1929503445","Geheebia gigantea","Herbarium record",2007-08-06,"2007","53.88","-166.47"
"1928546260","Geheebia gigantea","Herbarium record",1960-07-06,"1960","68.78","-161.17"
"1930933454","Geheebia gigantea","Herbarium record",1951-08-14,"1951","68.88","-161.17"
"1931296337","Geheebia gigantea","Herbarium record",1973-07-03,"1973","68.1","-165.75"
"1928688950","Geheebia gigantea","Herbarium record",2007-08-06,"2007","53.88","-166.47"
"1928440602","Geheebia gigantea","Herbarium record",1967-07-01,"1967","53.13","-132.08"
"1927774622","Geheebia gigantea","Herbarium record",1967-07-01,"1967","53.13","-132.08"
"1929293784","Geheebia gigantea","Herbarium record",1967-07-28,"1967","52.75","-132.03"
"1929925570","Geheebia gigantea","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1929149543","Geheebia gigantea","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1929179272","Geheebia gigantea","Herbarium record",1967-07-28,"1967","52.75","-132.03"
"2005544531","Geheebia gigantea","Herbarium record",1985-08-18,"1985","53.019167","-132.085555"
"2005544549","Geheebia gigantea","Herbarium record",1967-07-28,"1967","52.700205","-132.048955"
"2005544603","Geheebia gigantea","Herbarium record",1964-09-13,"1964","53.019167","-132.085555"
"2005544504","Geheebia gigantea","Herbarium record",1964-09-13,"1964","53.019167","-132.085555"
"2005544569","Geheebia gigantea","Herbarium record",1964-07-27,"1964","52.930833","-132.063056"
"2005544580","Geheebia gigantea","Herbarium record",1967-07-01,"1967","53.019167","-132.085555"
"2005524950","Geheebia gigantea","Herbarium record",1967-08-09,"1967","57.05306","-135.33"
"2005544649","Geheebia gigantea","Herbarium record",1964-07-27,"1964","52.930833","-132.063056"
"2005524936","Geheebia gigantea","Herbarium record",1967-08-09,"1967","57.05306","-135.33"
"1804530577","Geheebia gigantea","Herbarium record",1967-07-28,"1967","52.75","-132.033"
"1804472487","Geheebia gigantea","Herbarium record",1968-08-01,"1968","52.8333","-132.083"
"1804390860","Geheebia gigantea","Herbarium record",1964-07-31,"1964","53.1333","-132.083"
"1804483681","Geheebia gigantea","Herbarium record",1980-07-09,"1980","52.6667","-132.0"
"1804551346","Geheebia gigantea","Herbarium record",1967-07-01,"1967","53.1333","-132.083"
"1987863235","Geheebia gigantea","Herbarium record",1968-08-01,"1968","52.8","-132.1"
"1987882774","Geheebia gigantea","Herbarium record",1967-07-28,"1967","52.8","-132.0"
"1987871688","Geheebia gigantea","Herbarium record",1968-08-03,"1968","57.09","-134.83"
"1987883015","Geheebia gigantea","Herbarium record",1985-08-18,"1985","53.1","-132.0"
"1987893695","Geheebia gigantea","Herbarium record",1968-07-01,"1968","57.09","-134.83"
"1987846413","Geheebia gigantea","Herbarium record",1979-07-10,"1979","52.8","-132.0"
"1987932330","Geheebia gigantea","Herbarium record",1969-07-03,"1969","58.42","-135.43"
"1987863352","Geheebia gigantea","Herbarium record",1964-07-27,"1964","52.9","-132.1"
"1987744795","Geheebia gigantea","Herbarium record",2008-08-13,"2008","54.085","-164.953"
"1987904050","Geheebia gigantea","Herbarium record",1994-06-28,"1994","53.1","-131.8"
"1987776272","Geheebia gigantea","Herbarium record",1967-07-01,"1967","53.1","-132.1"
"1987768312","Geheebia gigantea","Herbarium record",1964-08-01,"1964","53.0","-132.1"
"1987743001","Geheebia gigantea","Herbarium record",1980-07-09,"1980","52.8","-132.1"
"1987774156","Geheebia gigantea","Herbarium record",1968-06-25,"1968","58.05","-133.98"
"1987720350","Geheebia gigantea","Herbarium record",1961-06-28,"1961","52.7","-132.0"
"1987893394","Geheebia gigantea","Herbarium record",1964-07-31,"1964","53.1","-132.1"
"1987838099","Geheebia gigantea","Herbarium record",1968-05-27,"1968","64.19","-145.89"
"1987777553","Geheebia gigantea","Herbarium record",1968-05-27,"1968","64.19","-145.89"
"1987747844","Geheebia gigantea","Herbarium record",1967-07-13,"1967","53.87","-166.54"
"1804608875","Geheebia gigantea","Herbarium record",1971-07-07,"1971","52.7667","-131.867"
"1804603235","Geheebia gigantea","Herbarium record",1966-06-30,"1966","52.9833","-132.083"
"1804374603","Geheebia gigantea","Herbarium record",1985-08-18,"1985","53.0833","-132.0"
"1804528697","Geheebia gigantea","Herbarium record",1966-06-30,"1966","52.9833","-132.083"
"5196056696","Geheebia gigantea","Herbarium record",1951-08-04,"1951","68.883333","-161.166667"
"5196056698","Geheebia gigantea","Herbarium record",1977-07-20,"1977","68.45","-149.3"
"5196056700","Geheebia gigantea","Herbarium record",1951-08-14,"1951","68.883333","-161.166667"
"5196056710","Geheebia gigantea","Herbarium record",1960-07-06,"1960","68.783333","-161.166667"
"5196056712","Geheebia gigantea","Herbarium record",1951-08-04,"1951","68.883333","-161.166667"
"2252149046","Geheebia gigantea","Herbarium record",1967-08-09,"1967","57.05306","-135.33"
"2252149459","Geheebia gigantea","Herbarium record",1967-07-28,"1967","52.75","-132.033333"
"2252151385","Geheebia gigantea","Herbarium record",1971-07-07,"1971","52.766667","-131.866667"
