"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1928122478","Geocalyx graveolens","Herbarium record",,"1891","47.037874","-122.900695"
"1930924670","Geocalyx graveolens","Herbarium record",1890-05-12,"1890","51.03","-118.2"
"1930175768","Geocalyx graveolens","Herbarium record",1890-04-27,"1890","47.60621","-122.332071"
"1929407725","Geocalyx graveolens","Herbarium record",1893-06-20,"1893","49.68","-124.93"
"1929996589","Geocalyx graveolens","Herbarium record",,"1900","46.758441","-122.030941"
"2005598281","Geocalyx graveolens","Herbarium record",1930-08-29,"1930","47.976199","-123.688249"
"2005598093","Geocalyx graveolens","Herbarium record",1968-09-01,"1968","58.39043","-134.60692"
"1949666234","Geocalyx graveolens","Herbarium record",1988-07-26,"1988","53.866667","-132.083333"
"4995103837","Geocalyx graveolens","Herbarium record",2024-07-04,"2024","44.260771","-124.082945"
"1987805489","Geocalyx graveolens","Herbarium record",1975-06-24,"1975","49.1","-125.7"
"1987765543","Geocalyx graveolens","Herbarium record",1969-11-01,"1969","49.2","-121.7"
"1987805075","Geocalyx graveolens","Herbarium record",1974-08-07,"1974","49.1","-121.5"
"1987858429","Geocalyx graveolens","Herbarium record",1977-05-24,"1977","50.2","-124.0"
"1987767854","Geocalyx graveolens","Herbarium record",1970-05-02,"1970","49.4","-123.1"
"1987743103","Geocalyx graveolens","Herbarium record",1962-06-30,"1962","49.3","-122.9"
"1987745457","Geocalyx graveolens","Herbarium record",2004-05-17,"2004","57.1","-135.2"
"1987854450","Geocalyx graveolens","Herbarium record",1969-02-24,"1969","50.2","-124.0"
"1987890430","Geocalyx graveolens","Herbarium record",1973-11-04,"1973","49.0","-121.4"
"1987804738","Geocalyx graveolens","Herbarium record",1970-07-11,"1970","50.4","-126.0"
"1987730719","Geocalyx graveolens","Herbarium record",1971-04-21,"1971","50.6","-127.4"
"1987821724","Geocalyx graveolens","Herbarium record",1974-05-17,"1974","49.2","-121.7"
"1987916563","Geocalyx graveolens","Herbarium record",1978-04-06,"1978","49.2","-122.6"
"1987928280","Geocalyx graveolens","Herbarium record",1974-07-26,"1974","49.2","-122.6"
"1987926480","Geocalyx graveolens","Herbarium record",1977-05-24,"1977","50.2","-124.0"
"1987840508","Geocalyx graveolens","Herbarium record",1974-04-06,"1974","49.4","-122.6"
"1987791243","Geocalyx graveolens","Herbarium record",1961-05-21,"1961","54.1","-132.3"
"1987721553","Geocalyx graveolens","Herbarium record",2017-08-13,"2017","49.31","-123.14"
"1987757774","Geocalyx graveolens","Herbarium record",1978-06-08,"1978","50.2","-127.8"
"1987900246","Geocalyx graveolens","Herbarium record",1975-08-17,"1975","50.2","-127.8"
"1987906958","Geocalyx graveolens","Herbarium record",1970-07-20,"1970","48.5","-123.4"
"1987914933","Geocalyx graveolens","Herbarium record",1970-10-24,"1970","49.3","-122.9"
"1987838445","Geocalyx graveolens","Herbarium record",2007-05-17,"2007","53.9","-122.8"
"1987827849","Geocalyx graveolens","Herbarium record",1962-05-02,"1962","49.4","-121.5"
"1987782537","Geocalyx graveolens","Herbarium record",1947-05-27,"1947","50.4","-125.6"
"1987906093","Geocalyx graveolens","Herbarium record",1975-06-01,"1975","49.4","-122.0"
"1987900902","Geocalyx graveolens","Herbarium record",1974-10-19,"1974","50.0","-123.1"
"1987740051","Geocalyx graveolens","Herbarium record",2001-05-22,"2001","49.7","-123.3"
"1987785217","Geocalyx graveolens","Herbarium record",1980-08-05,"1980","52.9","-118.5"
"1987834927","Geocalyx graveolens","Herbarium record",1975-06-24,"1975","49.1","-125.7"
"1987784219","Geocalyx graveolens","Herbarium record",1977-07-25,"1977","58.8","-122.9"
"1987930846","Geocalyx graveolens","Herbarium record",1969-06-02,"1969","48.5","-123.6"
"1987759982","Geocalyx graveolens","Herbarium record",2005-03-06,"2005","49.7","-123.9"
"1987811657","Geocalyx graveolens","Herbarium record",1970-06-15,"1970","49.8","-126.2"
"1987757258","Geocalyx graveolens","Herbarium record",1974-07-26,"1974","49.4","-122.6"
"1804383264","Geocalyx graveolens","Herbarium record",1955-07-17,"1955","53.0167","-119.067"
"1804525760","Geocalyx graveolens","Herbarium record",1956-08-26,"1956","51.749748","-120.0009729"
"1065653229","Geocalyx graveolens","Herbarium record",1998-10-11,"1998","44.49482","-122.54376"
"1065657573","Geocalyx graveolens","Herbarium record",1994-10-05,"1994","43.92828","-122.89768"
"4856471908","Geocalyx graveolens","Herbarium record",2000-06-02,"2000","47.919444","-124.6"
"4856308589","Geocalyx graveolens","Herbarium record",1997-03-06,"1997","47.966667","-124.25"
"4856528978","Geocalyx graveolens","Herbarium record",1997-03-06,"1997","47.966667","-124.2"
"4856306761","Geocalyx graveolens","Herbarium record",1997-03-06,"1997","47.966667","-124.2"
"4856308590","Geocalyx graveolens","Herbarium record",1998-05-06,"1998","48.066667","-123.566667"
"4856532716","Geocalyx graveolens","Herbarium record",1997-04-21,"1997","47.783333","-122.933333"
"4856528979","Geocalyx graveolens","Herbarium record",1994-10-04,"1994","44.55","-122.383333"
"4856568660","Geocalyx graveolens","Herbarium record",1992-06-20,"1992","44.116667","-121.516667"
"4856471709","Geocalyx graveolens","Herbarium record",2001-03-27,"2001","48.066667","-121.783333"
"4856252853","Geocalyx graveolens","Herbarium record",1994-03-01,"1994","42.966667","-123.766667"
"4856253271","Geocalyx graveolens","Herbarium record",2000-05-17,"2000","47.883333","-123.233333"
"4856256668","Geocalyx graveolens","Herbarium record",2000-06-02,"2000","47.919444","-124.6"
"1805442712","Geocalyx graveolens","Herbarium record",,"1900","46.852886","-121.760374"
"5196154657","Geocalyx graveolens","Herbarium record",1994-09-23,"1994","51.866667","-120.05"
"5196154660","Geocalyx graveolens","Herbarium record",1994-09-24,"1994","51.966667","-120.116667"
"5196237633","Geocalyx graveolens","Herbarium record",2015-03-06,"2015","56.35205","-132.31001"
"5895555118","Geocalyx graveolens","Herbarium record",1936-05-31,"1936","46.092087","-122.323406"
