"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989500761","Grimmia plagiopodia","Herbarium record",,"1952","69.383333","-152.166667"
"1930750226","Grimmia plagiopodia","Herbarium record",1952-06-26,"1952","69.38","-152.17"
"1931053575","Grimmia plagiopodia","Herbarium record",1974-07-03,"1974","69.37","-152.13"
"1928424710","Grimmia plagiopodia","Herbarium record",1974-06-30,"1974","69.37","-152.13"
"1929172892","Grimmia plagiopodia","Herbarium record",1974-07-01,"1974","69.37","-152.13"
"1927927552","Grimmia plagiopodia","Herbarium record",1952-06-26,"1952","69.38","-152.17"
"1929325151","Grimmia plagiopodia","Herbarium record",1965-07-24,"1965","69.38","-152.17"
"1931227829","Grimmia plagiopodia","Herbarium record",1951-08-23,"1951","69.38","-152.17"
"1930083344","Grimmia plagiopodia","Herbarium record",1974-07-03,"1974","69.37","-152.13"
"1930030417","Grimmia plagiopodia","Herbarium record",1875-06-26,"1875","54.913573","-122.946368"
"1929225170","Grimmia plagiopodia","Herbarium record",1951-07-26,"1951","69.38","-152.17"
"1930974554","Grimmia plagiopodia","Herbarium record",1974-07-03,"1974","69.37","-152.13"
"1929138964","Grimmia plagiopodia","Herbarium record",1974-07-01,"1974","69.37","-152.13"
"1987826566","Grimmia plagiopodia","Herbarium record",2005-03-19,"2005","49.6","-119.59"
"1987774852","Grimmia plagiopodia","Herbarium record",1983-04-28,"1983","50.7","-120.4"
"1987775633","Grimmia plagiopodia","Herbarium record",2004-06-06,"2004","50.67","-120.17"
"1987757626","Grimmia plagiopodia","Herbarium record",1980-06-09,"1980","49.5","-119.6"
"1987817379","Grimmia plagiopodia","Herbarium record",1980-08-06,"1980","50.67","-120.32"
"1987801040","Grimmia plagiopodia","Herbarium record",1980-05-12,"1980","50.7","-120.2"
"1987759358","Grimmia plagiopodia","Herbarium record",1952-06-27,"1952","69.4","-150.2"
"1987850653","Grimmia plagiopodia","Herbarium record",1979-08-03,"1979","49.7","-119.7"
"1987833075","Grimmia plagiopodia","Herbarium record",1982-03-10,"1982","49.6","-119.7"
"1987755114","Grimmia plagiopodia","Herbarium record",1979-08-03,"1979","49.5","-119.7"
"1987832454","Grimmia plagiopodia","Herbarium record",2005-03-18,"2005","49.42","-119.59"
"4856502611","Grimmia plagiopodia","Herbarium record",1999-06-24,"1999","47.433333","-120.933333"
"5196057025","Grimmia plagiopodia","Herbarium record",1951-08-23,"1951","69.383333","-152.166667"
"5196057124","Grimmia plagiopodia","Herbarium record",1952-06-26,"1952","69.383333","-152.166667"
"5895560077","Grimmia plagiopodia","Herbarium record",1959-08-19,"1959","42.174701","-119.870978"
"5895565252","Grimmia plagiopodia","Herbarium record",1952-06-26,"1952","69.383333","-152.166667"
"5895635648","Grimmia plagiopodia","Herbarium record",1959-08-19,"1959","42.189392","-120.004451"
"5076373789","Grimmia plagiopodia","Herbarium record",1890-05-26,"1890","50.666667","-120.333333"
"1987814250","Grimmia plagiopodia","Herbarium record",2005-03-19,"2005","49.6","-119.59"
"1987880352","Grimmia plagiopodia","Herbarium record",1982-03-10,"1982","49.6","-119.7"
"1987855922","Grimmia plagiopodia","Herbarium record",1979-08-03,"1979","49.5","-119.7"
"1987846037","Grimmia plagiopodia","Herbarium record",1979-08-03,"1979","49.7","-119.7"
"1987756926","Grimmia plagiopodia","Herbarium record",1980-08-08,"1980","50.8","-121.3"
"4952433421","Grimmia plagiopodia","iNat record",2023-06-04,"2023","49.48904","-119.619736"
"4121078914","Grimmia plagiopodia","iNat record",2023-05-21,"2023","49.486867","-119.617472"
"3044587984","Grimmia plagiopodia","iNat record",2021-01-30,"2021","49.486672","-119.617255"
"2028219538","Grimmia plagiopodia","Herbarium record",1982-03-10,"1982","49.583333","-119.666667"
"2028155900","Grimmia plagiopodia","Herbarium record",,"1952","69.383333","-152.166667"
"2028313195","Grimmia plagiopodia","Herbarium record",1979-08-03,"1979","49.666667","-119.666667"
"3467157317","Grimmia plagiopodia","Herbarium record",1965-07-24,"1965","69.38","-152.17"
"3467312726","Grimmia plagiopodia","Herbarium record",1951-08-23,"1951","69.38","-152.17"
"3467147445","Grimmia plagiopodia","Herbarium record",1952-06-26,"1952","69.38","-152.17"
"1805290186","Grimmia plagiopodia","Herbarium record",1890-05-26,"1890","53.713832","-122.661544"
"1805301134","Grimmia plagiopodia","Herbarium record",1890-05-26,"1890","50.666667","-120.333333"
