"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805295602","Gymnocolea inflata","Herbarium record",1909-05-30,"1909","48.933333","-125.516667"
"1805442324","Gymnocolea inflata","Herbarium record",,"1903","48.55","-124.416667"
"5196125700","Gymnocolea inflata","Herbarium record",1999-05-15,"1999","48.556667","-124.355"
"2005598285","Gymnocolea inflata","Herbarium record",1967-07-27,"1967","53.929167","-132.102778"
"2028197042","Gymnocolea inflata","Herbarium record",1981-07-20,"1981","58.333333","-129.5"
"2028270998","Gymnocolea inflata","Herbarium record",,"1979","53.666667","-129.916667"
"2028229890","Gymnocolea inflata","Herbarium record",1971-07-03,"1971","52.0","-131.05"
"2028259584","Gymnocolea inflata","Herbarium record",,"1965","51.666667","-128.133333"
"2028222566","Gymnocolea inflata","Herbarium record",1967-09-16,"1967","50.066667","-122.95"
"2028258983","Gymnocolea inflata","Herbarium record",2002-06-20,"2002","53.8","-132.15"
"2028165061","Gymnocolea inflata","Herbarium record",,"1965","51.666667","-128.133333"
"1804521987","Gymnocolea inflata","Herbarium record",1981-07-20,"1981","58.333015","-129.5014764"
"1804478401","Gymnocolea inflata","Herbarium record",1967-07-27,"1967","53.8329269","-132.0843638"
"1804377113","Gymnocolea inflata","Herbarium record",1965-06-18,"1965","51.666361","-128.1341925"
"1804370866","Gymnocolea inflata","Herbarium record",1971-07-03,"1971","51.9996282","-131.0512762"
"1804469341","Gymnocolea inflata","Herbarium record",1979-06-23,"1979","53.6663523","-129.9183025"
"5101191842","Gymnocolea inflata","Herbarium record",1961-07-23,"1961","52.0","-120.0"
"1949666089","Gymnocolea inflata","Herbarium record",1988-07-26,"1988","53.683333","-132.05"
"1949666085","Gymnocolea inflata","Herbarium record",1988-07-26,"1988","53.683333","-132.05"
"2005598286","Gymnocolea inflata","Herbarium record",1978-06-07,"1978","50.127242","-127.868652"
"1949666091","Gymnocolea inflata","Herbarium record",1988-07-26,"1988","53.683333","-132.05"
"3820692102","Gymnocolea inflata","Herbarium record",1980-07-13,"1980","49.395","-123.202222"
"3696562058","Gymnocolea inflata","Herbarium record",1968-09-14,"1968","50.001293","-122.956944"
"3696562538","Gymnocolea inflata","Herbarium record",1967-07-30,"1967","53.833333","-132.8"
"3696562537","Gymnocolea inflata","Herbarium record",1967-07-27,"1967","53.833333","-132.083333"
"4070497603","Gymnocolea inflata","Herbarium record",1980-07-13,"1980","49.401088","-123.211627"
"1987921093","Gymnocolea inflata","Herbarium record",1982-09-19,"1982","50.0","-122.9"
"1987899048","Gymnocolea inflata","Herbarium record",1975-06-25,"1975","49.1","-125.7"
"1987866663","Gymnocolea inflata","Herbarium record",1967-07-12,"1967","54.2","-130.1"
"1987862219","Gymnocolea inflata","Herbarium record",1970-06-24,"1970","48.6","-124.6"
"1987793017","Gymnocolea inflata","Herbarium record",1961-05-13,"1961","54.3","-130.0"
"1987749352","Gymnocolea inflata","Herbarium record",1966-06-25,"1966","53.3","-132.3"
"1987853579","Gymnocolea inflata","Herbarium record",1966-07-11,"1966","52.7","-132.0"
"1987798921","Gymnocolea inflata","Herbarium record",1970-07-12,"1970","50.2","-126.2"
"1987794170","Gymnocolea inflata","Herbarium record",1963-06-14,"1963","54.3","-130.3"
"1987781531","Gymnocolea inflata","Herbarium record",1949-07-30,"1949","49.4","-123.0"
"1987908719","Gymnocolea inflata","Herbarium record",1972-06-25,"1972","50.7","-128.3"
"1987804342","Gymnocolea inflata","Herbarium record",1960-09-26,"1960","49.4","-123.0"
"1987753062","Gymnocolea inflata","Herbarium record",1986-08-06,"1986","52.1","-128.1"
"1987720796","Gymnocolea inflata","Herbarium record",1975-04-16,"1975","49.1","-123.1"
"1987933691","Gymnocolea inflata","Herbarium record",1966-07-06,"1966","52.3","-131.5"
"1987928556","Gymnocolea inflata","Herbarium record",1996-09-06,"1996","49.3","-122.8"
"1987848327","Gymnocolea inflata","Herbarium record",1992-07-27,"1992","59.5","-137.8"
"1987739406","Gymnocolea inflata","Herbarium record",1963-06-10,"1963","54.2","-130.1"
"1987727126","Gymnocolea inflata","Herbarium record",1970-09-12,"1970","50.2","-126.3"
"1987914423","Gymnocolea inflata","Herbarium record",1974-09-01,"1974","50.5","-123.6"
"1987879388","Gymnocolea inflata","Herbarium record",1970-08-05,"1970","50.8","-128.2"
"1987792573","Gymnocolea inflata","Herbarium record",1966-07-28,"1966","52.6","-131.7"
"1987783327","Gymnocolea inflata","Herbarium record",1967-09-08,"1967","58.4","-122.7"
"1987724382","Gymnocolea inflata","Herbarium record",1975-04-16,"1975","49.1","-123.0"
"1987721444","Gymnocolea inflata","Herbarium record",1981-07-18,"1981","58.3","-129.5"
"1987923422","Gymnocolea inflata","Herbarium record",1967-07-28,"1967","52.8","-132.0"
"1987901172","Gymnocolea inflata","Herbarium record",1975-04-16,"1975","49.1","-123.1"
"1987890077","Gymnocolea inflata","Herbarium record",1986-08-03,"1986","51.6","-128.1"
"1987872124","Gymnocolea inflata","Herbarium record",1975-09-14,"1975","49.4","-121.5"
"1987820881","Gymnocolea inflata","Herbarium record",1986-08-06,"1986","52.1","-128.1"
"1987790669","Gymnocolea inflata","Herbarium record",1979-06-21,"1979","53.8","-130.2"
"1987779461","Gymnocolea inflata","Herbarium record",1966-08-12,"1966","54.3","-130.4"
"1987772689","Gymnocolea inflata","Herbarium record",1968-09-14,"1968","50.1","-123.0"
"1987886127","Gymnocolea inflata","Herbarium record",1971-03-20,"1971","49.1","-125.7"
"1987871752","Gymnocolea inflata","Herbarium record",1964-06-06,"1964","53.8","-132.1"
"1987863232","Gymnocolea inflata","Herbarium record",2004-07-21,"2004","49.2","-123.1"
"1987850263","Gymnocolea inflata","Herbarium record",1963-06-14,"1963","54.3","-130.3"
