"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1928333711","Gymnomitrion commutatum","Herbarium record",1956-07-24,"1956","63.42","-150.42"
"1928994971","Gymnomitrion commutatum","Herbarium record",1956-07-24,"1956","63.42","-150.42"
"2005600945","Gymnomitrion commutatum","Herbarium record",1967-07-12,"1967","53.777639","-166.611374"
"2005600655","Gymnomitrion commutatum","Herbarium record",1990-07-29,"1990","52.219233","-174.250659"
"1987733342","Gymnomitrion commutatum","Herbarium record",2006-08-09,"2006","51.9","-176.7"
"1987730265","Gymnomitrion commutatum","Herbarium record",1977-07-18,"1977","58.3","-129.5"
"1987783167","Gymnomitrion commutatum","Herbarium record",1986-08-10,"1986","53.3","-129.6"
"1987912871","Gymnomitrion commutatum","Herbarium record",1998-11-11,"1998","49.7","-123.2"
"1987751374","Gymnomitrion commutatum","Herbarium record",1984-08-09,"1984","50.2","-127.7"
"1987836669","Gymnomitrion commutatum","Herbarium record",1986-08-15,"1986","54.6","-130.3"
"1987868820","Gymnomitrion commutatum","Herbarium record",2007-08-05,"2007","53.8","-166.5"
"5196067271","Gymnomitrion commutatum","Herbarium record",2011-07-06,"2011","60.74882","-153.943919"
"2252164544","Gymnomitrion commutatum","Herbarium record",1956-07-24,"1956","63.416667","-150.416667"
"2252164858","Gymnomitrion commutatum","Herbarium record",1956-07-23,"1956","63.416667","-150.333333"
"5895566643","Gymnomitrion commutatum","Herbarium record",1956-07-24,"1956","63.416667","-150.416667"
"1987932668","Gymnomitrion commutatum","Herbarium record",1966-07-10,"1966","52.8","-132.2"
"1987830886","Gymnomitrion commutatum","Herbarium record",1967-07-28,"1967","52.8","-132.0"
"1987853582","Gymnomitrion commutatum","Herbarium record",1986-08-15,"1986","54.6","-130.3"
"1987778325","Gymnomitrion commutatum","Herbarium record",1986-08-08,"1986","52.8","-129.1"
"1987923554","Gymnomitrion commutatum","Herbarium record",1979-06-29,"1979","54.8","-127.3"
"1987737664","Gymnomitrion commutatum","Herbarium record",1966-07-12,"1966","52.6","-131.8"
"1987756890","Gymnomitrion commutatum","Herbarium record",1993-06-17,"1993","60.1","-152.6"
"1987925823","Gymnomitrion commutatum","Herbarium record",1966-07-10,"1966","52.8","-132.2"
"1987764771","Gymnomitrion commutatum","Herbarium record",1994-06-26,"1994","53.3","-132.2"
"1987779039","Gymnomitrion commutatum","Herbarium record",1979-06-29,"1979","54.8","-127.3"
"1987886466","Gymnomitrion commutatum","Herbarium record",1986-08-08,"1986","52.8","-129.1"
"2005601068","Gymnomitrion commutatum","Herbarium record",1956-07-24,"1956","63.416667","-150.416667"
"2028232949","Gymnomitrion commutatum","Herbarium record",1986-08-15,"1986","54.583333","-130.25"
"2028223882","Gymnomitrion commutatum","Herbarium record",1984-08-09,"1984","50.216667","-127.716667"
"2028255864","Gymnomitrion commutatum","Herbarium record",1986-08-10,"1986","53.3","-129.633333"
"2028217845","Gymnomitrion commutatum","Herbarium record",1994-06-25,"1994","53.116667","-132.466667"
"2597477476","Gymnomitrion commutatum","Herbarium record",1992-07-06,"1992","61.8","-149.216667"
