"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1930000056","Gymnomitrion concinnatum","Herbarium record",1951-08-13,"1951","67.3","-150.25"
"1930619017","Gymnomitrion concinnatum","Herbarium record",1996-07-07,"1996","54.92","-159.25"
"1930640951","Gymnomitrion concinnatum","Herbarium record",1956-09-02,"1956","46.85583","-121.48"
"1929602643","Gymnomitrion concinnatum","Herbarium record",1951-08-13,"1951","67.3","-150.25"
"1928806303","Gymnomitrion concinnatum","Herbarium record",1960-07-21,"1960","69.37","-145.05"
"1930862356","Gymnomitrion concinnatum","Herbarium record",1969-08-31,"1969","47.189875","-122.112752"
"1929567125","Gymnomitrion concinnatum","Herbarium record",1956-07-25,"1956","63.42","-150.33"
"1928658166","Gymnomitrion concinnatum","Herbarium record",1973-07-26,"1973","68.75","-148.33"
"1930478069","Gymnomitrion concinnatum","Herbarium record",1960-07-21,"1960","69.37","-145.05"
"1927843411","Gymnomitrion concinnatum","Herbarium record",1988-06-25,"1988","52.63","-119.05"
"1928827009","Gymnomitrion concinnatum","Herbarium record",,"1891","47.422222","-121.41"
"1928888204","Gymnomitrion concinnatum","Herbarium record",1952-06-28,"1952","68.97","-152.0"
"1929461642","Gymnomitrion concinnatum","Herbarium record",1997-07-24,"1997","60.37","-172.65"
"2005598193","Gymnomitrion concinnatum","Herbarium record",1968-06-18,"1968","52.897222","173.146111"
"2005598187","Gymnomitrion concinnatum","Herbarium record",1969-08-20,"1969","49.840138","-123.14176"
"2005598149","Gymnomitrion concinnatum","Herbarium record",1961-06-20,"1961","49.397528","-122.926591"
"4146319319","Gymnomitrion concinnatum","Herbarium record",1967-07-11,"1967","53.867088","-166.525276"
"4146321322","Gymnomitrion concinnatum","Herbarium record",1968-06-18,"1968","52.897222","173.146111"
"2005612995","Gymnomitrion concinnatum","Herbarium record",1925-08-04,"1925","51.333333","-116.333333"
"2005598348","Gymnomitrion concinnatum","Herbarium record",1967-07-13,"1967","53.873611","-166.536667"
"2005598373","Gymnomitrion concinnatum","Herbarium record",1990-07-29,"1990","52.21898","-174.251292"
"2005598339","Gymnomitrion concinnatum","Herbarium record",1931-07-26,"1931","47.976643","-123.749581"
"2005598276","Gymnomitrion concinnatum","Herbarium record",1990-07-16,"1990","51.8514","-176.59422"
"2005598340","Gymnomitrion concinnatum","Herbarium record",1967-07-12,"1967","53.777593","-166.665901"
"2005598345","Gymnomitrion concinnatum","Herbarium record",1967-07-06,"1967","53.303448","-168.146354"
"2005598297","Gymnomitrion concinnatum","Herbarium record",1969-08-20,"1969","50.052583","-122.947302"
"1804413216","Gymnomitrion concinnatum","Herbarium record",1977-07-31,"1977","57.6497381","-126.7343644"
"1804559032","Gymnomitrion concinnatum","Herbarium record",1969-08-20,"1969","50.09971","-123.1680195"
"1804587248","Gymnomitrion concinnatum","Herbarium record",1977-07-21,"1977","59.6664153","-131.3015942"
"1804396701","Gymnomitrion concinnatum","Herbarium record",1969-08-18,"1969","49.333011","-122.9679956"
"1987845318","Gymnomitrion concinnatum","Herbarium record",1994-08-22,"1994","51.954","-176.134"
"1987805170","Gymnomitrion concinnatum","Herbarium record",1975-07-13,"1975","49.5","-123.2"
"1987793800","Gymnomitrion concinnatum","Herbarium record",1974-09-02,"1974","50.5","-123.6"
"1987885144","Gymnomitrion concinnatum","Herbarium record",1980-08-19,"1980","50.0","-123.1"
"1987780887","Gymnomitrion concinnatum","Herbarium record",,"1969","49.5","-125.6"
"1987824681","Gymnomitrion concinnatum","Herbarium record",1964-07-25,"1964","52.9","-132.1"
"1987810295","Gymnomitrion concinnatum","Herbarium record",1980-08-26,"1980","50.1","-122.8"
"1987863306","Gymnomitrion concinnatum","Herbarium record",1994-08-26,"1994","51.7199","-176.5971"
"1987775691","Gymnomitrion concinnatum","Herbarium record",1974-08-31,"1974","50.5","-123.6"
"1987795947","Gymnomitrion concinnatum","Herbarium record",2014-08-26,"2014","52.1","-173.5"
"1987830489","Gymnomitrion concinnatum","Herbarium record",1963-09-22,"1963","49.4","-123.1"
"1987720707","Gymnomitrion concinnatum","Herbarium record",2008-08-08,"2008","58.921","-132.552"
"1987865198","Gymnomitrion concinnatum","Herbarium record",1981-07-18,"1981","58.3","-129.5"
"1987754238","Gymnomitrion concinnatum","Herbarium record",2002-09-21,"2002","52.9","173.2"
"1987794022","Gymnomitrion concinnatum","Herbarium record",1967-09-16,"1967","50.1","-122.8"
"1987851124","Gymnomitrion concinnatum","Herbarium record",1996-07-19,"1996","54.9","-159.3"
"1987853248","Gymnomitrion concinnatum","Herbarium record",1980-08-19,"1980","50.0","-123.1"
"1987885724","Gymnomitrion concinnatum","Herbarium record",2000-07-24,"2000","57.4","-156.5"
"1987912039","Gymnomitrion concinnatum","Herbarium record",1956-07-09,"1956","59.6","-136.5"
"1987814991","Gymnomitrion concinnatum","Herbarium record",1980-08-26,"1980","50.1","-122.8"
"4513896699","Gymnomitrion concinnatum","Herbarium record",1977-07-18,"1977","58.25","-129.483333"
"1987734540","Gymnomitrion concinnatum","Herbarium record",1974-09-08,"1974","45.75","-122.66"
"1987843480","Gymnomitrion concinnatum","Herbarium record",1994-08-16,"1994","51.85","-176.64"
"1987908643","Gymnomitrion concinnatum","Herbarium record",1980-08-06,"1980","49.4","-123.0"
"1987862293","Gymnomitrion concinnatum","Herbarium record",1994-06-26,"1994","53.3","-132.2"
"1987819654","Gymnomitrion concinnatum","Herbarium record",1980-08-20,"1980","49.4","-123.0"
"1987757737","Gymnomitrion concinnatum","Herbarium record",1974-08-31,"1974","50.5","-123.6"
"1987798277","Gymnomitrion concinnatum","Herbarium record",1969-08-20,"1969","50.1","-122.8"
"1987791811","Gymnomitrion concinnatum","Herbarium record",1969-08-01,"1969","49.3","-124.6"
"1987796029","Gymnomitrion concinnatum","Herbarium record",1976-08-12,"1976","49.7","-123.0"
"1987857343","Gymnomitrion concinnatum","Herbarium record",1975-08-10,"1975","46.6","-122.86"
"1987762868","Gymnomitrion concinnatum","Herbarium record",1964-07-25,"1964","52.9","-132.1"
"1987916215","Gymnomitrion concinnatum","Herbarium record",1960-09-02,"1960","49.4","-123.1"
"1987764692","Gymnomitrion concinnatum","Herbarium record",1977-07-21,"1977","59.7","-131.5"
"1987760431","Gymnomitrion concinnatum","Herbarium record",1994-08-25,"1994","51.827","-176.6977"
"1987740696","Gymnomitrion concinnatum","Herbarium record",2001-08-03,"2001","61.2","-149.89"
"1987755278","Gymnomitrion concinnatum","Herbarium record",1977-07-18,"1977","58.3","-129.5"
"1987906458","Gymnomitrion concinnatum","Herbarium record",1949-09-04,"1949","52.94","173.24"
"1987933573","Gymnomitrion concinnatum","Herbarium record",1980-08-18,"1980","50.0","-123.1"
"1987877441","Gymnomitrion concinnatum","Herbarium record",2000-08-02,"2000","52.8","173.1"
"1987816668","Gymnomitrion concinnatum","Herbarium record",2006-08-21,"2006","51.831","-176.673"
"1987799341","Gymnomitrion concinnatum","Herbarium record",1979-09-06,"1979","52.1","-118.7"
"1987810530","Gymnomitrion concinnatum","Herbarium record",1962-07-30,"1962","45.81","-121.27"
"1987926489","Gymnomitrion concinnatum","Herbarium record",2000-08-16,"2000","52.852","173.183"
"1987883772","Gymnomitrion concinnatum","Herbarium record",1961-09-07,"1961","49.4","-123.0"
"1987729128","Gymnomitrion concinnatum","Herbarium record",1984-08-09,"1984","50.2","-127.7"
