"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988839368","Herzogiella striatella","Herbarium record",1947-08-10,"1947","56.72","-134.36"
"1989067253","Herzogiella striatella","Herbarium record",1944-04-11,"1944","60.766667","-148.683333"
"1989181408","Herzogiella striatella","Herbarium record",1944-11-08,"1944","60.766667","-148.683333"
"1927821202","Herzogiella striatella","Herbarium record",1999-10-09,"1999","44.55646","-121.937"
"1931076298","Herzogiella striatella","Herbarium record",,"1981","54.9","-159.25"
"1930612459","Herzogiella striatella","Herbarium record",1975-09-06,"1975","51.93915","-176.663983"
"1928461983","Herzogiella striatella","Herbarium record",,"1913","56.858016","-135.021225"
"1930963326","Herzogiella striatella","Herbarium record",1999-10-09,"1999","44.55532","-121.8663"
"1928994578","Herzogiella striatella","Herbarium record",1975-09-06,"1975","51.93915","-176.663983"
"2005546363","Herzogiella striatella","Herbarium record",1975-06-19,"1975","51.94194","-176.63806"
"2005546326","Herzogiella striatella","Herbarium record",1975-06-19,"1975","51.88","-176.65806"
"2005546276","Herzogiella striatella","Herbarium record",1964-06-15,"1964","53.25","-132.333333"
"2005546355","Herzogiella striatella","Herbarium record",1968-06-08,"1968","57.79","-152.40722"
"2005546206","Herzogiella striatella","Herbarium record",1968-06-09,"1968","57.79","-152.40722"
"2005546278","Herzogiella striatella","Herbarium record",1979-07-12,"1979","59.666667","-132.0"
"2005558113","Herzogiella striatella","Herbarium record",1925-09-10,"1925","49.975556","-117.227222"
"2005558085","Herzogiella striatella","Herbarium record",1962-07-09,"1962","53.108333","-132.525"
"2005546250","Herzogiella striatella","Herbarium record",1968-06-09,"1968","57.79","-152.40722"
"2005546265","Herzogiella striatella","Herbarium record",1964-09-11,"1964","59.6","-134.18333"
"2005546325","Herzogiella striatella","Herbarium record",1964-09-11,"1964","59.6","-134.18333"
"2005546228","Herzogiella striatella","Herbarium record",1964-09-11,"1964","59.6","-134.18333"
"2005546270","Herzogiella striatella","Herbarium record",1967-08-07,"1967","62.17806","-146.11667"
"2005546327","Herzogiella striatella","Herbarium record",1967-08-07,"1967","56.89056","-135.03139"
"3971229325","Herzogiella striatella","Herbarium record",2005-07-07,"2005","57.47175","-154.562639"
"3999221301","Herzogiella striatella","Herbarium record",2006-07-18,"2006","57.656222","-153.259472"
"1987864651","Herzogiella striatella","Herbarium record",2006-07-18,"2006","57.657","-153.258"
"1987790240","Herzogiella striatella","Herbarium record",1979-07-12,"1979","52.8","-132.0"
"1987763083","Herzogiella striatella","Herbarium record",1968-06-08,"1968","57.4","-153.48"
"1987892231","Herzogiella striatella","Herbarium record",1967-07-25,"1967","57.06","-135.27"
"1987767023","Herzogiella striatella","Herbarium record",1969-08-03,"1969","49.4","-123.0"
"1987720996","Herzogiella striatella","Herbarium record",1977-07-16,"1977","56.9","-130.1"
"1987759516","Herzogiella striatella","Herbarium record",2000-08-09,"2000","52.84","173.14"
"1987924327","Herzogiella striatella","Herbarium record",1951-04-15,"1951","52.3","-120.2"
"1987906593","Herzogiella striatella","Herbarium record",1998-07-24,"1998","57.2","-157.3"
"1987845870","Herzogiella striatella","Herbarium record",1988-09-12,"1988","60.1","-152.56"
"1987770322","Herzogiella striatella","Herbarium record",1964-06-15,"1964","53.2","-132.5"
"1987928683","Herzogiella striatella","Herbarium record",1977-06-23,"1977","50.2","-127.8"
"1987893449","Herzogiella striatella","Herbarium record",1968-06-15,"1968","56.28","-132.43"
"1987825642","Herzogiella striatella","Herbarium record",1982-06-15,"1982","49.1","-123.0"
"1987822920","Herzogiella striatella","Herbarium record",2001-07-24,"2001","62.8","-141.29"
"1987853135","Herzogiella striatella","Herbarium record",1985-08-10,"1985","53.0","-132.0"
"1987928718","Herzogiella striatella","Herbarium record",2000-08-24,"2000","52.8","172.8"
"1987749872","Herzogiella striatella","Herbarium record",1968-06-08,"1968","57.4","-153.48"
"4856532585","Herzogiella striatella","Herbarium record",1994-09-02,"1994","43.333333","-122.566667"
"4856308457","Herzogiella striatella","Herbarium record",1994-09-02,"1994","43.333333","-122.566667"
"4856410427","Herzogiella striatella","Herbarium record",2001-10-12,"2001","42.116667","-122.8"
"5196028650","Herzogiella striatella","Herbarium record",2012-08-27,"2012","59.7073","-149.81334"
"5196028657","Herzogiella striatella","Herbarium record",2013-08-17,"2013","59.691","-149.785"
"5196032716","Herzogiella striatella","Herbarium record",2013-08-18,"2013","59.65334","-149.77316"
"5196032819","Herzogiella striatella","Herbarium record",2012-08-27,"2012","59.691","-149.785"
"5196035799","Herzogiella striatella","Herbarium record",2006-07-18,"2006","57.656222","-153.259472"
"5196056761","Herzogiella striatella","Herbarium record",2001-06-05,"2001","60.766667","-148.65"
"5196056762","Herzogiella striatella","Herbarium record",2001-06-09,"2001","60.820833","-149.151111"
"5196056763","Herzogiella striatella","Herbarium record",2000-08-24,"2000","52.833333","172.833333"
"5196056764","Herzogiella striatella","Herbarium record",2000-08-15,"2000","52.833333","173.15"
"5196056806","Herzogiella striatella","Herbarium record",1993-08-12,"1993","55.188333","-162.781667"
"5196056805","Herzogiella striatella","Herbarium record",,"1981","54.9","-159.25"
"5196056804","Herzogiella striatella","Herbarium record",1998-07-16,"1998","57.566667","-156.8"
"5196056802","Herzogiella striatella","Herbarium record",1998-07-24,"1998","57.183333","-157.25"
"5895614807","Herzogiella striatella","Herbarium record",1967-08-07,"1967","56.89056","-135.03139"
"5895618569","Herzogiella striatella","Herbarium record",1948-05-10,"1948","60.05083","-148.0675"
"5895635735","Herzogiella striatella","Herbarium record",1964-10-04,"1964","48.057714","-121.746726"
"5895662226","Herzogiella striatella","Herbarium record",1999-10-09,"1999","44.70833","-122.05417"
"5895665617","Herzogiella striatella","Herbarium record",1913-07-02,"1913","55.343782","-131.650402"
"2266061077","Herzogiella striatella","Herbarium record",1964-06-15,"1964","53.153333","-132.483333"
