"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989053024","Homalothecium aureum","Herbarium record",1966-05-30,"1966","50.25","-120.45"
"1989041023","Homalothecium aureum","Herbarium record",1973-05-07,"1973","49.933333","-119.516667"
"1989344640","Homalothecium aureum","Herbarium record",1905-06-03,"1905","49.083333","-119.333333"
"1989399457","Homalothecium aureum","Herbarium record",,"1977","49.25","-117.666667"
"1989397916","Homalothecium aureum","Herbarium record",1973-05-10,"1973","49.816667","-119.366667"
"4039062308","Homalothecium aureum","MATERIAL_SAMPLE",1976-04-22,"1976","49.1","-123.933"
"1930329180","Homalothecium aureum","Herbarium record",1991-12-26,"1991","45.70101","-121.6645"
"2542519034","Homalothecium aureum","Herbarium record",2012-10-08,"2012","51.87","-120.02"
"1930533604","Homalothecium aureum","Herbarium record",1940-04-06,"1940","47.30778","-120.08167"
"1930857770","Homalothecium aureum","Herbarium record",,"1883","46.457027","-120.738491"
"1929238636","Homalothecium aureum","Herbarium record",1976-04-27,"1976","49.17","-123.95"
"1930141132","Homalothecium aureum","Herbarium record",2000-08-10,"2000","44.67","-121.23"
"1930578532","Homalothecium aureum","Herbarium record",2000-08-10,"2000","44.67","-121.23"
"1928486252","Homalothecium aureum","Herbarium record",1978-06-19,"1978","49.046882","-116.388817"
"1930334673","Homalothecium aureum","Herbarium record",1977-07-15,"1977","55.3","-128.75"
"1928143315","Homalothecium aureum","Herbarium record",1912-09-16,"1912","48.648218","-118.737807"
"1929036217","Homalothecium aureum","Herbarium record",1998-09-16,"1998","42.2767","-122.4817"
"1931220653","Homalothecium aureum","Herbarium record",1998-04-01,"1998","42.3047","-123.1842"
"1928479917","Homalothecium aureum","Herbarium record",1925-07-21,"1925","48.563185","-122.977505"
"1929655074","Homalothecium aureum","Herbarium record",1978-06-19,"1978","49.024811","-116.575619"
"1929540884","Homalothecium aureum","Herbarium record",1998-08-26,"1998","42.2336","-123.1292"
"1928622680","Homalothecium aureum","Herbarium record",,"1885","46.457027","-120.738491"
"1928831474","Homalothecium aureum","Herbarium record",1998-06-09,"1998","42.3022","-123.1786"
"1929031474","Homalothecium aureum","Herbarium record",,"1883","46.457027","-120.738491"
"2005546983","Homalothecium aureum","Herbarium record",1978-06-19,"1978","49.046882","-116.388817"
"2005546975","Homalothecium aureum","Herbarium record",1978-06-19,"1978","49.046882","-116.388817"
"2005532305","Homalothecium aureum","Herbarium record",1898-02-15,"1898","48.17528","-117.72361"
"2005546962","Homalothecium aureum","Herbarium record",1976-04-27,"1976","49.133333","-123.85"
"2005532341","Homalothecium aureum","Herbarium record",1910-05-18,"1910","50.75","-120.85"
"2005532377","Homalothecium aureum","Herbarium record",1960-08-09,"1960","49.243611","-124.348333"
"2005532220","Homalothecium aureum","Herbarium record",1956-09-09,"1956","51.0","-120.0"
"2005547024","Homalothecium aureum","Herbarium record",1955-07-27,"1955","50.316667","-115.866667"
"2005532292","Homalothecium aureum","Herbarium record",1960-08-07,"1960","49.266667","-124.8"
"2005547036","Homalothecium aureum","Herbarium record",1964-09-01,"1964","49.05","-118.466667"
"2005527530","Homalothecium aureum","Herbarium record",1927-04-17,"1927","50.0","-118.0"
"2005532269","Homalothecium aureum","Herbarium record",1928-07-29,"1928","50.533333","-116.06667"
"2005532438","Homalothecium aureum","Herbarium record",1927-04-13,"1927","50.516667","-117.9"
"2005532381","Homalothecium aureum","Herbarium record",1940-04-06,"1940","47.89389","-118.33306"
"2005532303","Homalothecium aureum","Herbarium record",1908-09-17,"1908","51.0","-119.033333"
"2005532270","Homalothecium aureum","Herbarium record",1931-07-09,"1931","50.740278","-120.117222"
"2005532301","Homalothecium aureum","Herbarium record",,"1998","48.05194","-122.17583"
"2005546963","Homalothecium aureum","Herbarium record",1963-06-12,"1963","54.595556","-128.41"
"1804407576","Homalothecium aureum","Herbarium record",1976-04-22,"1976","49.1","-123.933"
"1949668631","Homalothecium aureum","Herbarium record",1996-06-24,"1996","48.443333","-123.595"
"1949668478","Homalothecium aureum","Herbarium record",1996-06-24,"1996","48.443333","-123.59"
"1949668461","Homalothecium aureum","Herbarium record",1996-02-29,"1996","48.481389","-123.538611"
"1587064536","Homalothecium aureum","Herbarium record",1994-05-08,"1994","42.5","-121.75"
"1658227332","Homalothecium aureum","Herbarium record",1996-10-28,"1996","42.93","-123.470556"
"3863855308","Homalothecium aureum","Herbarium record",2020-05-01,"2020","42.013334","-122.589845"
"3863856309","Homalothecium aureum","Herbarium record",2020-04-26,"2020","42.090796","-122.557387"
"4435787345","Homalothecium aureum","Herbarium record",1989-10-30,"1989","42.216667","-123.8"
"3463840302","Homalothecium aureum","Herbarium record",1969-05-27,"1969","48.483333","-123.533333"
"2273868172","Homalothecium aureum","Herbarium record",2018-03-27,"2018","42.726111","-124.395472"
"3713187328","Homalothecium aureum","Herbarium record",2020-05-11,"2020","42.049697","-122.502098"
"3986760342","Homalothecium aureum","Herbarium record",2022-01-08,"2022","42.23088","-122.642246"
"3697814331","Homalothecium aureum","Herbarium record",2020-08-12,"2020","43.534824","-122.476472"
"3463828302","Homalothecium aureum","Herbarium record",1969-05-15,"1969","48.55","-123.483333"
"3463823302","Homalothecium aureum","Herbarium record",1969-06-01,"1969","48.483333","-123.533333"
"3463827301","Homalothecium aureum","Herbarium record",1969-06-19,"1969","48.5","-123.5"
"3463824302","Homalothecium aureum","Herbarium record",2008-03-23,"2008","44.912889","-120.478"
"3463832301","Homalothecium aureum","Herbarium record",2008-03-23,"2008","44.9125","-120.477222"
"3503286339","Homalothecium aureum","Herbarium record",2020-01-19,"2020","42.227433","-122.594388"
"3746421326","Homalothecium aureum","Herbarium record",2020-04-17,"2020","43.772644","-122.67398"
"3746425331","Homalothecium aureum","Herbarium record",2020-04-16,"2020","43.70999","-122.654261"
"1987859163","Homalothecium aureum","Herbarium record",2000-05-05,"2000","44.0","-123.2"
"1987788627","Homalothecium aureum","Herbarium record",1992-09-13,"1992","48.5","-122.9"
"1987782839","Homalothecium aureum","Herbarium record",1977-05-26,"1977","50.3","-125.2"
"1987748310","Homalothecium aureum","Herbarium record",1981-04-25,"1981","49.5","-123.5"
"1987836091","Homalothecium aureum","Herbarium record",1977-05-24,"1977","50.2","-123.9"
"1987888921","Homalothecium aureum","Herbarium record",2000-10-09,"2000","45.7","-121.6"
"1987798670","Homalothecium aureum","Herbarium record",1992-09-13,"1992","48.5","-122.9"
"1987786204","Homalothecium aureum","Herbarium record",1993-11-12,"1993","48.6","-124.0"
"1987883268","Homalothecium aureum","Herbarium record",,"1981","50.4","-121.9"
"1987781449","Homalothecium aureum","Herbarium record",1991-08-23,"1991","48.7","-122.9"
"1987782876","Homalothecium aureum","Herbarium record",1976-04-27,"1976","49.2","-124.0"
"1987932551","Homalothecium aureum","Herbarium record",1981-05-01,"1981","42.7","-123.3"
"1987917655","Homalothecium aureum","Herbarium record",1998-05-07,"1998","42.67","-122.442"
"1987924604","Homalothecium aureum","Herbarium record",1996-02-29,"1996","48.48","-123.54"
"1987921014","Homalothecium aureum","Herbarium record",1992-05-11,"1992","48.5","-123.1"
"1987901362","Homalothecium aureum","Herbarium record",2000-05-01,"2000","46.7","-122.9"
"1987904046","Homalothecium aureum","Herbarium record",1992-09-13,"1992","48.6","-122.9"
"1987817895","Homalothecium aureum","Herbarium record",2002-04-10,"2002","45.6","-121.9"
"1987821181","Homalothecium aureum","Herbarium record",1999-05-14,"1999","48.7","-123.7"
