"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988687677","Husnotiella asperifolia","Herbarium record",1943-07-20,"1943","58.633333","-124.666667"
"1930472436","Husnotiella asperifolia","Herbarium record",1974-07-16,"1974","68.13","-145.53"
"1931099291","Husnotiella asperifolia","Herbarium record",1960-07-15,"1960","68.88","-164.62"
"1931302554","Husnotiella asperifolia","Herbarium record",1972-07-07,"1972","68.9","-161.33"
"1927999800","Husnotiella asperifolia","Herbarium record",1975-07-27,"1975","70.37","-148.53"
"1927996474","Husnotiella asperifolia","Herbarium record",1972-08-07,"1972","70.2","-148.83"
"1930282627","Husnotiella asperifolia","Herbarium record",1966-07-04,"1966","68.1","-165.75"
"1931357889","Husnotiella asperifolia","Herbarium record",1951-07-24,"1951","69.47","-151.5"
"1931095065","Husnotiella asperifolia","Herbarium record",1953-08-12,"1953","68.22","-151.62"
"1929360711","Husnotiella asperifolia","Herbarium record",1966-07-27,"1966","68.2","-152.78"
"1931240197","Husnotiella asperifolia","Herbarium record",1982-08-02,"1982","70.25","-148.67"
"1930780843","Husnotiella asperifolia","Herbarium record",1973-07-03,"1973","68.1","-165.75"
"1930354409","Husnotiella asperifolia","Herbarium record",1974-08-01,"1974","68.13","-151.75"
"1928945871","Husnotiella asperifolia","Herbarium record",1960-07-15,"1960","68.88","-164.62"
"1930376612","Husnotiella asperifolia","Herbarium record",1951-08-07,"1951","68.88","-161.17"
"1928222529","Husnotiella asperifolia","Herbarium record",1974-08-02,"1974","68.13","-151.75"
"1928927544","Husnotiella asperifolia","Herbarium record",1966-06-25,"1966","68.88","-161.17"
"1929201107","Husnotiella asperifolia","Herbarium record",1972-07-07,"1972","68.9","-161.33"
"1929221415","Husnotiella asperifolia","Herbarium record",1951-08-07,"1951","68.88","-161.17"
"1929347382","Husnotiella asperifolia","Herbarium record",1972-08-07,"1972","70.2","-148.83"
"1930215751","Husnotiella asperifolia","Herbarium record",1952-07-24,"1952","68.2","-152.78"
"1930656692","Husnotiella asperifolia","Herbarium record",1966-07-04,"1966","68.1","-165.75"
"1930290597","Husnotiella asperifolia","Herbarium record",1973-07-24,"1973","69.77","-147.17"
"1930917463","Husnotiella asperifolia","Herbarium record",1951-08-06,"1951","68.88","-161.17"
"1931349172","Husnotiella asperifolia","Herbarium record",1972-08-18,"1972","65.48","-145.42"
"1928516884","Husnotiella asperifolia","Herbarium record",1974-08-06,"1974","68.13","-151.75"
"1929039460","Husnotiella asperifolia","Herbarium record",1949-08-07,"1949","62.567","-153.617"
"1929221395","Husnotiella asperifolia","Herbarium record",1974-08-01,"1974","68.13","-151.75"
"1930340120","Husnotiella asperifolia","Herbarium record",1966-06-25,"1966","68.88","-161.17"
"1928494683","Husnotiella asperifolia","Herbarium record",1960-07-15,"1960","68.88","-164.62"
"1928462659","Husnotiella asperifolia","Herbarium record",1974-08-06,"1974","68.13","-151.75"
"1931122484","Husnotiella asperifolia","Herbarium record",1972-08-18,"1972","65.48","-145.42"
"1931197939","Husnotiella asperifolia","Herbarium record",1951-08-05,"1951","68.88","-161.17"
"1928994877","Husnotiella asperifolia","Herbarium record",1960-07-15,"1960","68.88","-164.62"
"1929224834","Husnotiella asperifolia","Herbarium record",1973-07-03,"1973","68.1","-165.75"
"1928964945","Husnotiella asperifolia","Herbarium record",1974-08-20,"1974","68.37","-154.65"
"1929754437","Husnotiella asperifolia","Herbarium record",1974-08-01,"1974","68.13","-151.75"
"1929553695","Husnotiella asperifolia","Herbarium record",1951-08-07,"1951","68.88","-161.17"
"1930522636","Husnotiella asperifolia","Herbarium record",1974-08-01,"1974","68.13","-151.75"
"1931241370","Husnotiella asperifolia","Herbarium record",1951-08-25,"1951","69.38","-152.17"
"2515622958","Husnotiella asperifolia","Herbarium record",1982-07-29,"1982","68.45","-149.3"
"2266329747","Husnotiella asperifolia","Herbarium record",1992-07-13,"1992","52.041667","-117.275"
"1987767298","Husnotiella asperifolia","Herbarium record",1981-07-21,"1981","58.3","-129.5"
"1987758716","Husnotiella asperifolia","Herbarium record",1977-07-26,"1977","58.4","-124.9"
"1987742943","Husnotiella asperifolia","Herbarium record",1982-07-29,"1982","68.5","-149.3"
"3467170579","Husnotiella asperifolia","Herbarium record",1974-08-01,"1974","68.13","-151.75"
"5196170418","Husnotiella asperifolia","Herbarium record",1974-08-01,"1974","68.133333","-151.75"
"5196170420","Husnotiella asperifolia","Herbarium record",1972-08-18,"1972","65.483333","-145.416667"
"5196170443","Husnotiella asperifolia","Herbarium record",1980-08-10,"1980","68.2","-165.75"
"5196170446","Husnotiella asperifolia","Herbarium record",1979-07-30,"1979","69.116667","-158.166667"
"5196170449","Husnotiella asperifolia","Herbarium record",1978-07-25,"1978","69.166667","-161.266667"
"5196170452","Husnotiella asperifolia","Herbarium record",1980-08-11,"1980","68.1","-165.8"
"5196170470","Husnotiella asperifolia","Herbarium record",1951-08-04,"1951","68.883333","-161.166667"
"5196170471","Husnotiella asperifolia","Herbarium record",1980-08-11,"1980","68.283333","-165.533333"
"5196170472","Husnotiella asperifolia","Herbarium record",1980-08-11,"1980","68.283333","-165.533333"
"5196170473","Husnotiella asperifolia","Herbarium record",1980-08-10,"1980","68.2","-165.75"
"5196170474","Husnotiella asperifolia","Herbarium record",1980-08-11,"1980","68.283333","-165.533333"
"5196174362","Husnotiella asperifolia","Herbarium record",1974-08-01,"1974","68.133333","-151.75"
"5196174363","Husnotiella asperifolia","Herbarium record",1951-08-07,"1951","68.883333","-161.166667"
