"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1928953317","Lewinskya pylaisii","Herbarium record",1949-07-13,"1949","68.88","-164.62"
"2424028767","Lewinskya pylaisii","Herbarium record",2003-08-03,"2003","51.8303","-176.6297"
"1931199550","Lewinskya pylaisii","Herbarium record",1960-07-13,"1960","68.88","-164.62"
"1929058371","Lewinskya pylaisii","Herbarium record",1899-07-09,"1899","57.186688","-170.257481"
"1929452613","Lewinskya pylaisii","Herbarium record",1960-07-15,"1960","68.88","-164.58"
"1928311245","Lewinskya pylaisii","Herbarium record",1966-07-04,"1966","68.1","-165.75"
"1928604940","Lewinskya pylaisii","Herbarium record",1981-10-02,"1981","54.9","-159.25"
"2447317321","Lewinskya pylaisii","Herbarium record",1994-08-03,"1994","51.82969","-176.63144"
"1930950906","Lewinskya pylaisii","Herbarium record",1966-07-04,"1966","68.1","-165.75"
"1930553823","Lewinskya pylaisii","Herbarium record",1949-09-04,"1949","63.25","-154.7"
"3387502332","Lewinskya pylaisii","Herbarium record",2020-06-12,"2020","42.223778","-122.191472"
"5083711736","Lewinskya pylaisii","Herbarium record",2006-07-26,"2006","57.649167","-153.288889"
"3863590324","Lewinskya pylaisii","Herbarium record",2022-01-25,"2022","42.175226","-121.199328"
"1848745220","Lewinskya pylaisii","Herbarium record",2005-06-29,"2005","57.455972","-154.5855"
"5054343458","Lewinskya pylaisii","Herbarium record",2024-10-14,"2024","42.4912","-122.22266"
"3750592341","Lewinskya pylaisii","Herbarium record",2020-06-12,"2020","42.223153","-122.190819"
"4872706586","Lewinskya pylaisii","Herbarium record",2022-11-20,"2022","42.186904","-121.134999"
"4465334303","Lewinskya pylaisii","Herbarium record",1992-05-02,"1992","44.216667","-120.666667"
"3896990331","Lewinskya pylaisii","Herbarium record",2005-06-29,"2005","57.455972","-154.5855"
"3891630315","Lewinskya pylaisii","Herbarium record",2005-06-29,"2005","57.455972","-154.5855"
"4872706575","Lewinskya pylaisii","Herbarium record",2022-11-20,"2022","42.188075","-121.134458"
"4046086350","Lewinskya pylaisii","Herbarium record",1982-07-29,"1982","68.45","-149.3"
"4161008356","Lewinskya pylaisii","Herbarium record",2003-08-03,"2003","51.830278","-176.629722"
"1987786757","Lewinskya pylaisii","Herbarium record",1994-08-03,"1994","51.8297","-176.6314"
"1987758689","Lewinskya pylaisii","Herbarium record",1967-08-26,"1967","58.7","-124.7"
"1987778806","Lewinskya pylaisii","Herbarium record",2005-06-29,"2005","57.456","-154.586"
"1987805545","Lewinskya pylaisii","Herbarium record",2013-06-24,"2013","65.77","-151.74"
"4856629754","Lewinskya pylaisii","Herbarium record",1973-03-14,"1973","42.25","-120.7"
"4856394485","Lewinskya pylaisii","Herbarium record",1992-03-22,"1992","43.816667","-120.883333"
"4856411691","Lewinskya pylaisii","Herbarium record",1973-03-14,"1973","42.25","-120.7"
"4856405976","Lewinskya pylaisii","Herbarium record",1998-08-02,"1998","48.883333","-118.766667"
"4856372880","Lewinskya pylaisii","Herbarium record",1992-05-02,"1992","44.216667","-120.666667"
"4856471450","Lewinskya pylaisii","Herbarium record",1999-06-27,"1999","48.05","-120.716667"
"4856308983","Lewinskya pylaisii","Herbarium record",1994-09-02,"1994","43.333333","-122.566667"
"4856557365","Lewinskya pylaisii","Herbarium record",1994-09-02,"1994","43.333333","-122.566667"
"4856307134","Lewinskya pylaisii","Herbarium record",1997-09-06,"1997","46.933333","-121.033333"
"4856533087","Lewinskya pylaisii","Herbarium record",1994-09-02,"1994","43.333333","-122.566667"
"4856462783","Lewinskya pylaisii","Herbarium record",2000-06-06,"2000","48.433333","-119.9"
"4856463235","Lewinskya pylaisii","Herbarium record",1997-05-15,"1997","47.933333","-123.258333"
"4856656592","Lewinskya pylaisii","Herbarium record",2001-05-09,"2001","48.095833","-121.35"
"5196029296","Lewinskya pylaisii","Herbarium record",1800-01-01,"1800","64.013587","-151.542901"
"5196154670","Lewinskya pylaisii","Herbarium record",1966-07-04,"1966","68.1","-165.75"
"5196159169","Lewinskya pylaisii","Herbarium record",1993-07-20,"1993","65.4","-164.666667"
"5196159165","Lewinskya pylaisii","Herbarium record",1980-08-11,"1980","68.1","-165.8"
"5196161494","Lewinskya pylaisii","Herbarium record",1994-08-07,"1994","51.816667","-176.616667"
"5196161493","Lewinskya pylaisii","Herbarium record",1981-10-02,"1981","54.9","-159.25"
"5196161491","Lewinskya pylaisii","Herbarium record",1994-08-05,"1994","51.8297","-176.631433"
"5196215350","Lewinskya pylaisii","Herbarium record",2005-06-29,"2005","57.455972","-154.5855"
"5196215351","Lewinskya pylaisii","Herbarium record",2005-06-29,"2005","57.455972","-154.5855"
"5196215354","Lewinskya pylaisii","Herbarium record",2006-07-26,"2006","57.647917","-153.293639"
"5895629884","Lewinskya pylaisii","Herbarium record",1932-05-13,"1932","53.505414","-167.058947"
"5895635964","Lewinskya pylaisii","Herbarium record",1935-07-23,"1935","57.366292","-154.030224"
"1987905542","Lewinskya pylaisii","Herbarium record",2006-08-08,"2006","51.8","-176.6"
"1987750371","Lewinskya pylaisii","Herbarium record",1994-08-05,"1994","51.8297","-176.6314"
"1987787477","Lewinskya pylaisii","Herbarium record",2005-06-29,"2005","57.456","-154.586"
"1987797556","Lewinskya pylaisii","Herbarium record",2005-06-29,"2005","57.456","-154.586"
