"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"4445035121","Lewinskya striata","MATERIAL_SAMPLE",2015-05-17,"2015","49.183334","-123.15"
"4445032583","Lewinskya striata","MATERIAL_SAMPLE",2015-05-23,"2015","48.46583","-123.309166"
"4445026881","Lewinskya striata","MATERIAL_SAMPLE",2012-04-21,"2012","49.266666","-122.916664"
"1931349986","Lewinskya striata","Herbarium record",1987-07-09,"1987","60.15","-152.63"
"1930624968","Lewinskya striata","Herbarium record",1987-07-01,"1987","60.15","-152.63"
"1930161851","Lewinskya striata","Herbarium record",,"1904","46.758441","-122.030941"
"1930314561","Lewinskya striata","Herbarium record",1987-07-01,"1987","60.15","-152.63"
"1930176959","Lewinskya striata","Herbarium record",,"1904","46.758441","-122.030941"
"2005556189","Lewinskya striata","Herbarium record",1973-05-29,"1973","45.661783","-122.015639"
"2005556290","Lewinskya striata","Herbarium record",1945-02-25,"1945","45.689863","-121.77246"
"5003388440","Lewinskya striata","Herbarium record",2008-02-18,"2008","45.538194","-122.216083"
"4978765377","Lewinskya striata","Herbarium record",2003-01-26,"2003","45.833472","-122.384694"
"4978765706","Lewinskya striata","Herbarium record",2002-12-25,"2002","45.725556","-122.570278"
"5006683468","Lewinskya striata","Herbarium record",1996-07-06,"1996","47.583333","-121.833333"
"4977129738","Lewinskya striata","Herbarium record",2008-01-20,"2008","45.663722","-122.647944"
"1987802728","Lewinskya striata","Herbarium record",2015-06-06,"2015","49.23","-123.11"
"1987929833","Lewinskya striata","Herbarium record",2015-05-23,"2015","48.47","-123.31"
"1987832995","Lewinskya striata","Herbarium record",1979-06-13,"1979","49.2","-121.7"
"1987785194","Lewinskya striata","Herbarium record",2001-04-15,"2001","49.1","-123.1"
"1987792354","Lewinskya striata","Herbarium record",1997-05-02,"1997","49.3","-122.8"
"1987905658","Lewinskya striata","Herbarium record",1966-02-27,"1966","49.07","-122.2"
"1987862793","Lewinskya striata","Herbarium record",1977-07-23,"1977","58.8","-125.6"
"1987764654","Lewinskya striata","Herbarium record",1980-09-14,"1980","49.3","-122.5"
"1987759420","Lewinskya striata","Herbarium record",1981-02-07,"1981","49.2","-122.3"
"1987901504","Lewinskya striata","Herbarium record",2012-04-21,"2012","49.3","-122.9"
"1987815273","Lewinskya striata","Herbarium record",2002-10-24,"2002","48.1","-121.5"
"1987756068","Lewinskya striata","Herbarium record",2009-05-12,"2009","49.2","-123.1"
"4856471444","Lewinskya striata","Herbarium record",1999-06-13,"1999","47.483333","-121.75"
"4856306918","Lewinskya striata","Herbarium record",1997-04-21,"1997","47.8","-122.916667"
"4856372883","Lewinskya striata","Herbarium record",1993-02-06,"1993","44.466667","-122.45"
"4856277150","Lewinskya striata","Herbarium record",2002-09-18,"2002","45.158333","-121.648333"
"4856394576","Lewinskya striata","Herbarium record",1993-07-27,"1993","48.066667","-121.483333"
"5196211383","Lewinskya striata","Herbarium record",1993-06-22,"1993","60.15","-152.6"
"5895551553","Lewinskya striata","Herbarium record",1956-08-18,"1956","44.94306","-123.03389"
"5895552883","Lewinskya striata","Herbarium record",2001-07-19,"2001","46.4374274","-121.9586067"
"5895553496","Lewinskya striata","Herbarium record",1935-07-26,"1935","57.366292","-154.030138"
"5895556949","Lewinskya striata","Herbarium record",2001-07-18,"2001","45.8750318","-121.8316925"
"5895556970","Lewinskya striata","Herbarium record",1962-08-24,"1962","45.574382","-122.12797"
"5895559363","Lewinskya striata","Herbarium record",1966-07-12,"1966","47.83197","-121.511965"
"5895561792","Lewinskya striata","Herbarium record",1962-08-26,"1962","45.53194","-122.29"
"5895573223","Lewinskya striata","Herbarium record",2000-09-15,"2000","46.1663297","-121.867699"
"5895576903","Lewinskya striata","Herbarium record",2001-08-01,"2001","45.8459339","-121.6238866"
"5895585222","Lewinskya striata","Herbarium record",2001-08-01,"2001","47.485822","-122.209232"
"5895592915","Lewinskya striata","Herbarium record",1966-07-09,"1966","46.01028","-118.11917"
"5895611022","Lewinskya striata","Herbarium record",2000-09-27,"2000","46.5594294","-121.6903022"
"5895612787","Lewinskya striata","Herbarium record",1963-07-13,"1963","47.807456","-121.549325"
"5895627983","Lewinskya striata","Herbarium record",1956-08-15,"1956","43.592843","-122.247894"
"5895629387","Lewinskya striata","Herbarium record",1933-05-13,"1933","48.25556","-121.60028"
"5895629854","Lewinskya striata","Herbarium record",1959-07-06,"1959","46.765624","-121.63569"
"5895633476","Lewinskya striata","Herbarium record",1964-10-07,"1964","47.804403","-121.522819"
"5895652275","Lewinskya striata","Herbarium record",2007-04-06,"2007","47.351152","-121.639252"
"5895654097","Lewinskya striata","Herbarium record",1899-04-15,"1899","46.73184","-121.88962"
"5895669560","Lewinskya striata","Herbarium record",2001-07-12,"2001","45.8169322","-121.8316913"
"5895669927","Lewinskya striata","Herbarium record",1910-07-04,"1910","44.88972","-122.625842"
"5895672040","Lewinskya striata","Herbarium record",1945-02-25,"1945","45.69083","-121.76861"
"5895685679","Lewinskya striata","Herbarium record",1967-08-04,"1967","59.242029","-135.492492"
"5895687561","Lewinskya striata","Herbarium record",1977-05-29,"1977","47.804691","-121.547968"
"1987799114","Lewinskya striata","Herbarium record",1992-10-23,"1992","48.5","-123.1"
"1987864906","Lewinskya striata","Herbarium record",1991-07-12,"1991","49.2","-121.7"
"1987826775","Lewinskya striata","Herbarium record",1986-06-09,"1986","49.3","-125.3"
"1987901892","Lewinskya striata","Herbarium record",2008-03-18,"2008","49.2","-123.2"
