"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1930046737","Marsupella aquatica","Herbarium record",1994-08-14,"1994","51.82","-176.62"
"1931101425","Marsupella aquatica","Herbarium record",1994-08-16,"1994","51.84739","-176.64353"
"1930919399","Marsupella aquatica","Herbarium record",,"1985","51.964167","177.46"
"1930517832","Marsupella aquatica","Herbarium record",1940-08-12,"1940","60.366111","-147.739444"
"1931379733","Marsupella aquatica","Herbarium record",1997-07-24,"1997","60.37","-172.65"
"1929830368","Marsupella aquatica","Herbarium record",1933-09-03,"1933","48.255556","-121.600278"
"1929204197","Marsupella aquatica","Herbarium record",1994-08-16,"1994","51.84739","-176.64353"
"2005600952","Marsupella aquatica","Herbarium record",1985-08-16,"1985","53.217223","-132.353611"
"1804386813","Marsupella aquatica","Herbarium record",1984-08-10,"1984","50.1667","-127.667"
"1804450819","Marsupella aquatica","Herbarium record",1971-08-10,"1971","50.1667","-127.8"
"1804514552","Marsupella aquatica","Herbarium record",1985-08-16,"1985","53.0","-132.0"
"1804590305","Marsupella aquatica","Herbarium record",1985-08-10,"1985","53.1167","-132.0"
"1804403592","Marsupella aquatica","Herbarium record",1968-07-29,"1968","53.5833","-132.917"
"1804375128","Marsupella aquatica","Herbarium record",1964-07-31,"1964","53.1333","-132.083"
"1949668188","Marsupella aquatica","Herbarium record",1994-08-05,"1994","53.583333","-132.916667"
"1987905597","Marsupella aquatica","Herbarium record",1993-08-06,"1993","55.19","-162.78"
"1987793884","Marsupella aquatica","Herbarium record",2001-06-05,"2001","60.8","-148.7"
"4899445546","Marsupella aquatica","Herbarium record",2023-08-26,"2023","50.798611","-127.994722"
"1987722155","Marsupella aquatica","Herbarium record",2002-10-25,"2002","48.1","-121.7"
"1987884251","Marsupella aquatica","Herbarium record",1979-06-21,"1979","53.8","-130.2"
"1987861174","Marsupella aquatica","Herbarium record",1999-07-05,"1999","55.9","-159.5"
"1987855658","Marsupella aquatica","Herbarium record",1986-08-10,"1986","53.3","-129.6"
"1987901089","Marsupella aquatica","Herbarium record",1998-11-11,"1998","49.7","-123.2"
"1987812960","Marsupella aquatica","Herbarium record",2000-08-10,"2000","52.9","173.2"
"1987744859","Marsupella aquatica","Herbarium record",2016-08-19,"2016","52.16463","-174.44434"
"1987793815","Marsupella aquatica","Herbarium record",1994-08-16,"1994","51.8474","-176.6435"
"1987760502","Marsupella aquatica","Herbarium record",1974-09-14,"1974","49.1","-121.6"
"1987883036","Marsupella aquatica","Herbarium record",1995-07-17,"1995","54.9","-159.3"
"1987840276","Marsupella aquatica","Herbarium record",1971-07-05,"1971","52.4","-131.4"
"1987813920","Marsupella aquatica","Herbarium record",1994-08-09,"1994","51.833","-176.7357"
"1987727693","Marsupella aquatica","Herbarium record",2002-09-14,"2002","52.9","173.2"
"1987808761","Marsupella aquatica","Herbarium record",1999-05-15,"1999","48.6","-124.4"
"1987775721","Marsupella aquatica","Herbarium record",1994-08-09,"1994","51.8391","-176.7145"
"1987914364","Marsupella aquatica","Herbarium record",2013-07-28,"2013","52.87904","-170.00359"
"1987883881","Marsupella aquatica","Herbarium record",2000-08-10,"2000","52.9","173.2"
"1987770080","Marsupella aquatica","Herbarium record",1984-08-10,"1984","50.2","-127.7"
"1987785223","Marsupella aquatica","Herbarium record",2008-07-09,"2008","51.8264","-176.7646"
"1804425611","Marsupella aquatica","Herbarium record",1977-06-06,"1977","53.5833","-132.917"
"1804409638","Marsupella aquatica","Herbarium record",1985-08-08,"1985","53.5833","-132.833"
"5895574317","Marsupella aquatica","Herbarium record",1945-05-13,"1945","52.826417","173.12479"
