"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989069971","Marsupella emarginata","Herbarium record",1968-07-29,"1968","53.583333","-132.916667"
"1989045897","Marsupella emarginata","Herbarium record",1943-10-08,"1943","48.216667","-121.683333"
"5862700195","Marsupella emarginata","MATERIAL_SAMPLE",2024-04-23,"2024","50.13278","-125.13167"
"1929770646","Marsupella emarginata","Herbarium record",1943-10-08,"1943","48.22","-121.75"
"1931273476","Marsupella emarginata","Herbarium record",1943-10-08,"1943","48.22","-121.68"
"2423994301","Marsupella emarginata","Herbarium record",2015-06-27,"2015","50.175111","-123.123798"
"1929493269","Marsupella emarginata","Herbarium record",1994-08-21,"1994","51.92","-176.75"
"1929666388","Marsupella emarginata","Herbarium record",,"1981","59.47","-151.22"
"1930758169","Marsupella emarginata","Herbarium record",1989-01-21,"1989","44.3","-122.87"
"1930720577","Marsupella emarginata","Herbarium record",1952-07-21,"1952","68.2","-152.78"
"1930736448","Marsupella emarginata","Herbarium record",1996-07-22,"1996","54.92","-159.25"
"1931139437","Marsupella emarginata","Herbarium record",1977-03-05,"1977","44.754722","-123.146389"
"1928423608","Marsupella emarginata","Herbarium record",2000-08-19,"2000","52.88","173.17"
"1930018318","Marsupella emarginata","Herbarium record",1952-07-21,"1952","68.2","-152.78"
"1929756020","Marsupella emarginata","Herbarium record",1943-10-08,"1943","48.22","-121.75"
"1929493721","Marsupella emarginata","Herbarium record",1952-07-26,"1952","69.37","-145.05"
"1928466985","Marsupella emarginata","Herbarium record",1980-12-07,"1980","47.96194","-120.53111"
"1929568491","Marsupella emarginata","Herbarium record",1952-06-01,"1952","47.61028","-121.42556"
"1930086112","Marsupella emarginata","Herbarium record",2006-08-12,"2006","52.12","177.58"
"1931299229","Marsupella emarginata","Herbarium record",1952-07-27,"1952","69.37","-145.05"
"1929448735","Marsupella emarginata","Herbarium record",1934-04-22,"1934","48.255556","-121.600278"
"1930681850","Marsupella emarginata","Herbarium record",1952-07-21,"1952","68.2","-152.78"
"1930225762","Marsupella emarginata","Herbarium record",1952-06-01,"1952","47.61028","-121.42556"
"1930242244","Marsupella emarginata","Herbarium record",1952-07-19,"1952","68.2","-152.78"
"1927777617","Marsupella emarginata","Herbarium record",1952-07-29,"1952","69.37","-145.05"
"1927835444","Marsupella emarginata","Herbarium record",1943-10-08,"1943","48.22","-121.68"
"1928526458","Marsupella emarginata","Herbarium record",,"1978","49.75","-123.13"
"2005600877","Marsupella emarginata","Herbarium record",1975-09-19,"1975","51.94142","-176.655309"
"2005600925","Marsupella emarginata","Herbarium record",,"1934","49.363889","-124.733889"
"2005600729","Marsupella emarginata","Herbarium record",1967-07-06,"1967","53.374722","-168.052778"
"2005614622","Marsupella emarginata","Herbarium record",1968-06-19,"1968","52.90876","173.233296"
"2005600943","Marsupella emarginata","Herbarium record",1967-07-06,"1967","53.223889","-168.432222"
"2005600873","Marsupella emarginata","Herbarium record",1975-09-06,"1975","51.784444","-176.640278"
"2005601013","Marsupella emarginata","Herbarium record",1980-06-26,"1980","52.749979","-132.043597"
"2005600667","Marsupella emarginata","Herbarium record",1992-11-06,"1992","51.866318","-176.680481"
"2005600763","Marsupella emarginata","Herbarium record",1967-08-06,"1967","57.060105","-135.200867"
"2005600982","Marsupella emarginata","Herbarium record",1967-07-11,"1967","53.862978","-166.519577"
"2005601048","Marsupella emarginata","Herbarium record",1967-07-12,"1967","53.861465","-166.522934"
"2005615186","Marsupella emarginata","Herbarium record",1968-07-17,"1968","52.851343","173.114424"
"2005601145","Marsupella emarginata","Herbarium record",1975-09-06,"1975","51.825096","-176.637204"
"2005601189","Marsupella emarginata","Herbarium record",1967-07-05,"1967","53.37558","-167.862354"
"2005600728","Marsupella emarginata","Herbarium record",1967-07-13,"1967","53.844048","-166.510574"
"2005601026","Marsupella emarginata","Herbarium record",1967-07-12,"1967","53.866324","-166.517441"
"2005601154","Marsupella emarginata","Herbarium record",1967-07-12,"1967","53.855289","-166.50697"
"2005601086","Marsupella emarginata","Herbarium record",1975-09-06,"1975","51.836773","-176.590019"
"2005600754","Marsupella emarginata","Herbarium record",1964-09-05,"1964","48.06611","-121.50778"
"2005601110","Marsupella emarginata","Herbarium record",1967-07-13,"1967","53.794211","-166.632952"
"2005601083","Marsupella emarginata","Herbarium record",1975-06-15,"1975","51.843611","-176.656667"
"2005601183","Marsupella emarginata","Herbarium record",1967-07-13,"1967","53.844048","-166.510574"
"2005614943","Marsupella emarginata","Herbarium record",1967-07-07,"1967","53.416874","-168.134269"
"2005601121","Marsupella emarginata","Herbarium record",1967-07-11,"1967","53.866405","-166.524375"
"2005614947","Marsupella emarginata","Herbarium record",1968-06-20,"1968","52.843987","173.159184"
"2005601187","Marsupella emarginata","Herbarium record",1979-06-06,"1979","45.213214","-123.756246"
"2005601125","Marsupella emarginata","Herbarium record",1968-06-17,"1968","52.825193","173.182246"
"2005600714","Marsupella emarginata","Herbarium record",1967-07-06,"1967","53.374722","-168.052778"
"2005600742","Marsupella emarginata","Herbarium record",1967-07-12,"1967","53.867581","-166.532572"
"2005601076","Marsupella emarginata","Herbarium record",1980-06-26,"1980","52.754534","-132.048162"
"2005601105","Marsupella emarginata","Herbarium record",1932-03-31,"1932","48.222964","-121.636712"
"2005601213","Marsupella emarginata","Herbarium record",1980-06-26,"1980","52.754534","-132.048162"
"2005601197","Marsupella emarginata","Herbarium record",1980-06-26,"1980","52.753038","-132.044316"
"2005601094","Marsupella emarginata","Herbarium record",1975-06-15,"1975","51.83359","-176.608902"
"2005600635","Marsupella emarginata","Herbarium record",1967-08-09,"1967","57.068429","-135.276775"
"2005614965","Marsupella emarginata","Herbarium record",1967-07-07,"1967","53.416874","-168.134269"
"2005600805","Marsupella emarginata","Herbarium record",1967-07-13,"1967","53.673333","-166.648333"
"2005600574","Marsupella emarginata","Herbarium record",1975-09-06,"1975","51.834969","-176.594139"
"2005601179","Marsupella emarginata","Herbarium record",1934-04-22,"1934","48.254415","-121.574392"
"2005615175","Marsupella emarginata","Herbarium record",1967-07-06,"1967","53.3667","-168.05"
"2005600937","Marsupella emarginata","Herbarium record",1933-09-03,"1933","48.215826","-121.67138"
"1804409916","Marsupella emarginata","Herbarium record",1978-06-08,"1978","50.1667","-127.833"
"1804418118","Marsupella emarginata","Herbarium record",1969-08-20,"1969","50.1","-123.167"
"1804534564","Marsupella emarginata","Herbarium record",1986-08-04,"1986","51.85","-127.85"
"1804600511","Marsupella emarginata","Herbarium record",1979-03-28,"1979","49.8333","-121.333"
"1804419346","Marsupella emarginata","Herbarium record",1966-06-30,"1966","52.9833","-132.083"
"1804557102","Marsupella emarginata","Herbarium record",1967-07-28,"1967","52.75","-132.033"
"1804564051","Marsupella emarginata","Herbarium record",1977-06-06,"1977","53.5833","-132.917"
"1804534810","Marsupella emarginata","Herbarium record",1978-06-08,"1978","50.1667","-127.833"
"1804380703","Marsupella emarginata","Herbarium record",1963-06-11,"1963","54.3849741","-128.6272933"
"1804488045","Marsupella emarginata","Herbarium record",1966-06-24,"1966","53.0","-132.0"
"1949666261","Marsupella emarginata","Herbarium record",1991-08-01,"1991","53.566667","-132.866667"
"1949667530","Marsupella emarginata","Herbarium record",1997-07-14,"1997","53.583333","-132.816667"
"1987865121","Marsupella emarginata","Herbarium record",1966-06-20,"1966","53.3","-132.0"
"1987926866","Marsupella emarginata","Herbarium record",1966-06-24,"1966","53.0","-132.0"
"1987895483","Marsupella emarginata","Herbarium record",1971-06-08,"1971","50.2","-127.3"
"1987765247","Marsupella emarginata","Herbarium record",1965-05-03,"1965","49.1","-125.0"
"1987755397","Marsupella emarginata","Herbarium record",1969-06-26,"1969","48.6","-124.2"
"1987759019","Marsupella emarginata","Herbarium record",1967-08-13,"1967","56.6","-134.9"
"1987861295","Marsupella emarginata","Herbarium record",1970-06-10,"1970","49.6","-126.3"
"1987827226","Marsupella emarginata","Herbarium record",1962-07-04,"1962","47.91","-122.1"
"1987835371","Marsupella emarginata","Herbarium record",1974-06-21,"1974","49.4","-122.7"
"1987828070","Marsupella emarginata","Herbarium record",1967-11-10,"1967","49.4","-121.5"
"1987807592","Marsupella emarginata","Herbarium record",1966-07-28,"1966","52.5","-131.7"
"1987864038","Marsupella emarginata","Herbarium record",1979-06-23,"1979","53.7","-129.9"
"1987865053","Marsupella emarginata","Herbarium record",1971-08-23,"1971","49.7","-125.6"
"1987855539","Marsupella emarginata","Herbarium record",1978-04-02,"1978","49.7","-123.2"
"1987844791","Marsupella emarginata","Herbarium record",1974-05-06,"1974","48.8","-125.1"
"1987873584","Marsupella emarginata","Herbarium record",1966-07-23,"1966","53.3","-132.5"
"1987843928","Marsupella emarginata","Herbarium record",1970-04-15,"1970","51.0","-126.5"
"1987759877","Marsupella emarginata","Herbarium record",1988-05-14,"1988","49.4","-121.0"
"1987760259","Marsupella emarginata","Herbarium record",1977-05-24,"1977","50.2","-123.8"
"1987742342","Marsupella emarginata","Herbarium record",1968-03-09,"1968","48.6","-123.4"
"1987798714","Marsupella emarginata","Herbarium record",1961-08-23,"1961","53.0","-132.2"
"1987803222","Marsupella emarginata","Herbarium record",1963-08-17,"1963","49.6","-125.7"
"1987830246","Marsupella emarginata","Herbarium record",1969-07-08,"1969","49.0","-124.5"
"1987798620","Marsupella emarginata","Herbarium record",1980-08-26,"1980","50.1","-122.8"
"1987901161","Marsupella emarginata","Herbarium record",1965-09-01,"1965","49.3","-124.6"
"1987892248","Marsupella emarginata","Herbarium record",1980-07-08,"1980","49.1","-124.6"
"1987754903","Marsupella emarginata","Herbarium record",1967-07-25,"1967","57.06","-135.27"
"1987718969","Marsupella emarginata","Herbarium record",1967-07-29,"1967","57.1","-135.2"
"1987726762","Marsupella emarginata","Herbarium record",1986-08-13,"1986","54.0","-130.3"
"4513895283","Marsupella emarginata","Herbarium record",1980-07-22,"1980","49.4","-122.916667"
"1987787882","Marsupella emarginata","Herbarium record",1998-07-06,"1998","45.25","-123.75"
"1987772812","Marsupella emarginata","Herbarium record",1966-07-26,"1966","53.0","-131.9"
"1987833831","Marsupella emarginata","Herbarium record",1977-06-23,"1977","50.2","-127.8"
"1987824085","Marsupella emarginata","Herbarium record",1961-06-07,"1961","49.6","-123.2"
"1987822897","Marsupella emarginata","Herbarium record",1961-04-05,"1961","49.4","-123.1"
"1987801738","Marsupella emarginata","Herbarium record",1967-08-07,"1967","56.9","-135.0"
"1987812311","Marsupella emarginata","Herbarium record",1961-05-14,"1961","54.2","-130.2"
"1987788590","Marsupella emarginata","Herbarium record",1964-06-11,"1964","52.7","-131.8"
"1987803963","Marsupella emarginata","Herbarium record",1967-07-02,"1967","53.0","-132.1"
"1987867935","Marsupella emarginata","Herbarium record",1967-11-25,"1967","49.4","-123.1"
"1987786198","Marsupella emarginata","Herbarium record",1968-05-15,"1968","55.36","-131.5"
"1987783938","Marsupella emarginata","Herbarium record",1980-06-19,"1980","49.4","-123.2"
"1987749743","Marsupella emarginata","Herbarium record",1959-07-14,"1959","49.4","-123.0"
"1987787304","Marsupella emarginata","Herbarium record",1968-11-06,"1968","49.6","-121.4"
"1987756328","Marsupella emarginata","Herbarium record",1971-09-01,"1971","49.3","-125.2"
"1987737222","Marsupella emarginata","Herbarium record",1977-05-25,"1977","50.3","-125.0"
"1987844011","Marsupella emarginata","Herbarium record",1981-08-08,"1981","49.2","-121.7"
"1987785429","Marsupella emarginata","Herbarium record",1977-04-03,"1977","49.3","-122.8"
"1987782748","Marsupella emarginata","Herbarium record",2014-08-26,"2014","52.1","-173.5"
"1987765428","Marsupella emarginata","Herbarium record",1967-07-28,"1967","52.8","-132.0"
"1987934021","Marsupella emarginata","Herbarium record",1962-07-04,"1962","47.91","-122.1"
"1987772675","Marsupella emarginata","Herbarium record",2001-05-22,"2001","49.7","-123.3"
"1987768339","Marsupella emarginata","Herbarium record",1966-07-03,"1966","53.2","-132.4"
"1987767142","Marsupella emarginata","Herbarium record",1977-05-24,"1977","50.2","-124.0"
"1987888967","Marsupella emarginata","Herbarium record",1980-08-06,"1980","49.4","-123.0"
"1987785227","Marsupella emarginata","Herbarium record",1974-05-29,"1974","49.2","-122.7"
"1987774058","Marsupella emarginata","Herbarium record",,"1923","50.0","-117.4"
"1987762617","Marsupella emarginata","Herbarium record",1986-08-15,"1986","54.6","-130.3"
"1987745329","Marsupella emarginata","Herbarium record",1994-08-17,"1994","51.82","-176.65"
"1987852857","Marsupella emarginata","Herbarium record",1975-08-08,"1975","49.7","-125.3"
"1987847513","Marsupella emarginata","Herbarium record",1965-08-10,"1965","51.6","-128.0"
"1987839772","Marsupella emarginata","Herbarium record",1966-06-24,"1966","53.0","-132.0"
"1987898548","Marsupella emarginata","Herbarium record",2002-10-23,"2002","48.1","-121.5"
"1987896322","Marsupella emarginata","Herbarium record",1986-07-28,"1986","50.5","-125.6"
"1987884987","Marsupella emarginata","Herbarium record",1979-06-21,"1979","53.8","-130.2"
"1987742478","Marsupella emarginata","Herbarium record",2000-08-17,"2000","52.852","173.183"
"1987762405","Marsupella emarginata","Herbarium record",1980-06-20,"1980","50.0","-123.1"
"1987771691","Marsupella emarginata","Herbarium record",1969-07-30,"1969","49.0","-125.6"
"1987886464","Marsupella emarginata","Herbarium record",1980-05-12,"1980","49.4","-123.0"
"1987763246","Marsupella emarginata","Herbarium record",1962-09-05,"1962","49.5","-123.2"
"1987762021","Marsupella emarginata","Herbarium record",1970-08-04,"1970","50.8","-128.1"
"1987865244","Marsupella emarginata","Herbarium record",1967-08-12,"1967","56.6","-134.9"
"1987738626","Marsupella emarginata","Herbarium record",1968-06-04,"1968","56.47","-132.38"
"1987789071","Marsupella emarginata","Herbarium record",2013-08-18,"2013","56.2","-130.058"
"1987901195","Marsupella emarginata","Herbarium record",1968-05-13,"1968","55.4","-131.8"
"1987813589","Marsupella emarginata","Herbarium record",1969-06-03,"1969","48.5","-123.6"
"1987824570","Marsupella emarginata","Herbarium record",1975-06-10,"1975","49.1","-121.5"
"1987931659","Marsupella emarginata","Herbarium record",1969-07-01,"1969","48.6","-124.5"
"1987733603","Marsupella emarginata","Herbarium record",1964-06-10,"1964","52.6","-131.7"
"1987745996","Marsupella emarginata","Herbarium record",1980-06-11,"1980","50.8","-126.0"
"1987782451","Marsupella emarginata","Herbarium record",1967-08-15,"1967","56.6","-134.9"
"1987863703","Marsupella emarginata","Herbarium record",1968-07-31,"1968","53.0","-131.8"
"1987857454","Marsupella emarginata","Herbarium record",1957-08-16,"1957","52.8","-132.1"
"1987851275","Marsupella emarginata","Herbarium record",1969-07-08,"1969","49.0","-124.5"
"1987802352","Marsupella emarginata","Herbarium record",1970-09-12,"1970","50.2","-126.3"
"1987760285","Marsupella emarginata","Herbarium record",1980-08-07,"1980","49.4","-123.0"
"1987920694","Marsupella emarginata","Herbarium record",1970-08-09,"1970","50.3","-127.3"
"1987765257","Marsupella emarginata","Herbarium record",1986-08-05,"1986","52.4","-127.7"
"1987735500","Marsupella emarginata","Herbarium record",1977-05-25,"1977","50.3","-125.0"
"1987756217","Marsupella emarginata","Herbarium record",2000-08-23,"2000","52.9","172.9"
"1987821534","Marsupella emarginata","Herbarium record",1963-06-13,"1963","54.2","-130.0"
"1987920325","Marsupella emarginata","Herbarium record",1976-07-13,"1976","67.3","-157.0"
"1987891972","Marsupella emarginata","Herbarium record",1977-07-18,"1977","58.3","-129.5"
"1987739034","Marsupella emarginata","Herbarium record",1967-07-25,"1967","57.06","-135.27"
"1987882042","Marsupella emarginata","Herbarium record",1963-09-26,"1963","46.76","-121.79"
"1987840962","Marsupella emarginata","Herbarium record",1971-08-31,"1971","49.1","-125.8"
"1987930273","Marsupella emarginata","Herbarium record",1980-05-12,"1980","49.4","-123.0"
"1987737938","Marsupella emarginata","Herbarium record",1966-07-26,"1966","53.0","-131.9"
"1987748075","Marsupella emarginata","Herbarium record",1969-06-03,"1969","48.5","-123.6"
