"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2005600848","Moerckia hibernica","Herbarium record",1975-09-06,"1975","51.784444","-176.640278"
"2005600839","Moerckia hibernica","Herbarium record",1967-07-11,"1967","53.864068","-166.521384"
"1987854898","Moerckia hibernica","Herbarium record",1985-08-13,"1985","52.8","-132.0"
"1987739171","Moerckia hibernica","Herbarium record",2013-09-27,"2013","52.16","-120.21"
"1987736273","Moerckia hibernica","Herbarium record",1966-07-29,"1966","52.4","-131.4"
"4899444333","Moerckia hibernica","Herbarium record",1975-08-14,"1975","50.183333","-127.766667"
"1805286049","Moerckia hibernica","Herbarium record",1911-09-06,"1911","53.285143","-125.987019"
"1805291268","Moerckia hibernica","Herbarium record",1911-09-06,"1911","53.285143","-125.987019"
"5196144589","Moerckia hibernica","Herbarium record",2001-08-07,"2001","60.271667","-143.280283"
"1987924234","Moerckia hibernica","Herbarium record",1970-06-24,"1970","48.6","-124.6"
"1987746804","Moerckia hibernica","Herbarium record",1974-07-22,"1974","54.8","-127.3"
"1987899993","Moerckia hibernica","Herbarium record",1990-10-07,"1990","49.2","-121.7"
"1987838158","Moerckia hibernica","Herbarium record",1980-07-09,"1980","52.8","-132.0"
"1987816687","Moerckia hibernica","Herbarium record",1981-08-19,"1981","50.2","-127.8"
"1987819708","Moerckia hibernica","Herbarium record",1985-08-14,"1985","52.8","-132.0"
"1987718421","Moerckia hibernica","Herbarium record",1985-08-21,"1985","52.6","-131.8"
"3988769894","Moerckia hibernica","iNat record",2022-08-01,"2022","50.68618","-119.117859"
"3820680633","Moerckia hibernica","Herbarium record",1977-09-11,"1977","43.79591","-121.89346"
"4079500989","Moerckia hibernica","Herbarium record",2019-07-22,"2019","70.321258","-151.137769"
"4172296666","Moerckia hibernica","iNat record",2023-08-02,"2023","49.670818","-123.108841"
"4900903105","Moerckia hibernica","iNat record",2024-06-22,"2024","49.469305","-124.989406"
"4606608526","Moerckia hibernica","iNat record",2023-07-29,"2023","59.377033","-129.097733"
"5062650935","Moerckia hibernica","iNat record",2023-08-02,"2023","49.670868","-123.110211"
"4171759684","Moerckia hibernica","iNat record",2023-08-02,"2023","49.673408","-123.110564"
"5892636936","Moerckia hibernica","iNat record",2025-07-19,"2025","52.356167","-131.42395"
"5892757438","Moerckia hibernica","iNat record",2025-07-19,"2025","52.356762","-131.414459"
"4421054365","Moerckia hibernica","iNat record",2021-08-05,"2021","58.914863","-125.752182"
"4424431124","Moerckia hibernica","iNat record",2023-09-29,"2023","50.797693","-128.046147"
"4921734533","Moerckia hibernica","iNat record",2024-07-21,"2024","48.813515","-125.147575"
"5889791109","Moerckia hibernica","iNat record",2023-08-20,"2023","50.797323","-127.992082"
"4431142984","Moerckia hibernica","iNat record",2023-07-29,"2023","59.388176","-129.097846"
"4954708879","Moerckia hibernica","iNat record",2024-10-05,"2024","50.22283","-126.337845"
"4424504347","Moerckia hibernica","iNat record",2021-09-19,"2021","52.531958","-131.678102"
"4921654951","Moerckia hibernica","iNat record",2024-07-21,"2024","48.811939","-125.145958"
"5062626953","Moerckia hibernica","iNat record",2023-08-02,"2023","49.670868","-123.110211"
"4921860633","Moerckia hibernica","iNat record",2024-07-21,"2024","48.806641","-125.161858"
"4420729199","Moerckia hibernica","iNat record",2023-09-29,"2023","50.799783","-128.050959"
"4935632223","Moerckia hibernica","iNat record",2024-07-22,"2024","52.71366","-131.839074"
"4421249280","Moerckia hibernica","iNat record",2023-09-29,"2023","50.799858","-128.050507"
"2028250518","Moerckia hibernica","Herbarium record",1974-07-22,"1974","54.816667","-127.333333"
