"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989014430","Neoorthocaulis floerkei","Herbarium record",1977-07-30,"1977","57.683333","-126.783333"
"5861746948","Neoorthocaulis floerkei","MATERIAL_SAMPLE",2024-04-24,"2024","50.17361","-125.28139"
"1930673480","Neoorthocaulis floerkei","Herbarium record",1952-07-22,"1952","68.2","-152.78"
"1930646847","Neoorthocaulis floerkei","Herbarium record",1983-07-08,"1983","60.08","-166.0"
"1927829320","Neoorthocaulis floerkei","Herbarium record",1898-05-30,"1898","49.114205","-121.458909"
"1929760552","Neoorthocaulis floerkei","Herbarium record",1975-06-16,"1975","66.95","-156.17"
"1928109651","Neoorthocaulis floerkei","Herbarium record",1977-07-30,"1977","57.68","-126.78"
"1928779293","Neoorthocaulis floerkei","Herbarium record",1996-08-18,"1996","49.4","-122.95"
"1931362731","Neoorthocaulis floerkei","Herbarium record",1982-08-05,"1982","48.84194","-121.68667"
"1927971698","Neoorthocaulis floerkei","Herbarium record",1994-08-10,"1994","51.98619","-176.59333"
"1930358256","Neoorthocaulis floerkei","Herbarium record",,"1929","47.73","-121.08"
"1928530596","Neoorthocaulis floerkei","Herbarium record",1991-06-25,"1991","52.58","-118.97"
"1930629953","Neoorthocaulis floerkei","Herbarium record",2000-08-04,"2000","52.83","173.17"
"1930363021","Neoorthocaulis floerkei","Herbarium record",1975-09-18,"1975","66.97","-156.13"
"1930439012","Neoorthocaulis floerkei","Herbarium record",2000-08-09,"2000","52.8394","173.1367"
"1929952394","Neoorthocaulis floerkei","Herbarium record",1997-08-13,"1997","54.92","-162.33"
"1927874368","Neoorthocaulis floerkei","Herbarium record",2000-08-27,"2000","52.83","173.17"
"1928272539","Neoorthocaulis floerkei","Herbarium record",1963-07-02,"1963","70.48","-157.42"
"1928837145","Neoorthocaulis floerkei","Herbarium record",1993-10-24,"1993","49.45","-123.2"
"2005604616","Neoorthocaulis floerkei","Herbarium record",1990-07-24,"1990","52.16283","-174.331352"
"2005604465","Neoorthocaulis floerkei","Herbarium record",1991-07-27,"1991","49.393333","-122.944444"
"2005604614","Neoorthocaulis floerkei","Herbarium record",,"1934","49.666667","-125.833333"
"2005604406","Neoorthocaulis floerkei","Herbarium record",1968-06-20,"1968","52.86438","173.134664"
"2005604622","Neoorthocaulis floerkei","Herbarium record",1967-12-07,"1967","53.873611","-166.536667"
"2005604376","Neoorthocaulis floerkei","Herbarium record",1968-06-15,"1968","52.899187","172.947896"
"2005604455","Neoorthocaulis floerkei","Herbarium record",1967-07-12,"1967","53.846479","-166.514008"
"2005614953","Neoorthocaulis floerkei","Herbarium record",1990-07-19,"1990","51.810902","-176.573981"
"2005604457","Neoorthocaulis floerkei","Herbarium record",,"1924","49.972073","-117.362032"
"2005604399","Neoorthocaulis floerkei","Herbarium record",1978-10-22,"1978","48.8","-121.833333"
"2005604281","Neoorthocaulis floerkei","Herbarium record",1990-07-24,"1990","52.154405","-174.266807"
"2005604245","Neoorthocaulis floerkei","Herbarium record",1996-08-18,"1996","49.4","-122.95"
"2005604443","Neoorthocaulis floerkei","Herbarium record",1928-07-19,"1928","50.437778","-116.594444"
"2005615062","Neoorthocaulis floerkei","Herbarium record",1975-09-06,"1975","51.884076","-176.692653"
"1804463791","Neoorthocaulis floerkei","Herbarium record",1969-08-22,"1969","50.0164112","-123.0340139"
"1804452957","Neoorthocaulis floerkei","Herbarium record",1971-09-01,"1971","49.2496876","-125.2340527"
"1804455692","Neoorthocaulis floerkei","Herbarium record",1977-07-23,"1977","56.533025","-126.4513111"
"1804553577","Neoorthocaulis floerkei","Herbarium record",1982-07-22,"1982","49.3664073","-123.3340061"
"1804515120","Neoorthocaulis floerkei","Herbarium record",,"1956","50.7497489","-119.4179317"
"1804460186","Neoorthocaulis floerkei","Herbarium record",1977-07-18,"1977","58.2830095","-129.8684848"
"1804392035","Neoorthocaulis floerkei","Herbarium record",1885-07-20,"1885","51.45","-116.317"
"1804515849","Neoorthocaulis floerkei","Herbarium record",1977-07-30,"1977","57.6830381","-126.7843673"
"1949668058","Neoorthocaulis floerkei","Herbarium record",1978-07-19,"1978","50.916667","-124.75"
"1949668211","Neoorthocaulis floerkei","Herbarium record",1978-07-22,"1978","50.6","-124.866667"
"1987924873","Neoorthocaulis floerkei","Herbarium record",2011-09-11,"2011","49.4","-123.1"
"1987925244","Neoorthocaulis floerkei","Herbarium record",1975-09-08,"1975","50.0","-123.1"
"1987816667","Neoorthocaulis floerkei","Herbarium record",1970-08-16,"1970","49.7","-125.4"
"1987838557","Neoorthocaulis floerkei","Herbarium record",1970-09-12,"1970","50.2","-126.3"
"1987895682","Neoorthocaulis floerkei","Herbarium record",2001-08-03,"2001","61.2","-149.89"
"1987889920","Neoorthocaulis floerkei","Herbarium record",1996-09-08,"1996","52.9","-121.4"
"1987802140","Neoorthocaulis floerkei","Herbarium record",1966-07-24,"1966","53.0","-132.1"
"4513894985","Neoorthocaulis floerkei","Herbarium record",1977-07-20,"1977","59.25","-131.233333"
"1987723754","Neoorthocaulis floerkei","Herbarium record",1997-08-13,"1997","54.9","-162.3"
"1987846807","Neoorthocaulis floerkei","Herbarium record",1975-06-10,"1975","49.1","-121.5"
"1987827749","Neoorthocaulis floerkei","Herbarium record",1965-07-25,"1965","54.1","-125.0"
"1987827731","Neoorthocaulis floerkei","Herbarium record",1974-08-07,"1974","50.3","-122.4"
"1987787506","Neoorthocaulis floerkei","Herbarium record",1954-07-13,"1954","50.0","-118.0"
"4899445370","Neoorthocaulis floerkei","Herbarium record",2024-04-24,"2024","50.173611","-125.296667"
"1987719232","Neoorthocaulis floerkei","Herbarium record",1977-07-20,"1977","49.9","-117.6"
"1987793978","Neoorthocaulis floerkei","Herbarium record",1959-08-20,"1959","49.4","-123.0"
