"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"4445043947","Nogopterium gracile","MATERIAL_SAMPLE",2010-06-10,"2010","49.266666","-124.15"
"4450447674","Nogopterium gracile","MATERIAL_SAMPLE",2007-10-30,"2007","49.05","-122.28333"
"4445052010","Nogopterium gracile","MATERIAL_SAMPLE",2010-01-26,"2010","48.93639","-123.467224"
"1931137215","Nogopterium gracile","Herbarium record",,"1893","43.064832","-124.138992"
"1929444483","Nogopterium gracile","Herbarium record",1995-09-14,"1995","43.1194","-123.5741"
"2513190932","Nogopterium gracile","Herbarium record",1991-12-27,"1991","45.82","-121.15"
"2005561458","Nogopterium gracile","Herbarium record",1976-04-27,"1976","49.133333","-123.85"
"2005561547","Nogopterium gracile","Herbarium record",1970-05-12,"1970","48.483333","-123.38333"
"2005561541","Nogopterium gracile","Herbarium record",1969-08-21,"1969","48.85","-123.316667"
"2005561539","Nogopterium gracile","Herbarium record",1969-08-21,"1969","48.85","-123.316667"
"2005561527","Nogopterium gracile","Herbarium record",1962-08-25,"1962","45.548175","-122.1962"
"2005561482","Nogopterium gracile","Herbarium record",1969-08-07,"1969","44.289857","-117.572751"
"2005561593","Nogopterium gracile","Herbarium record",1962-06-02,"1962","48.746691","-123.22697"
"1949668552","Nogopterium gracile","Herbarium record",1996-03-01,"1996","48.324722","-123.543056"
"2013631575","Nogopterium gracile","Herbarium record",1995-04-04,"1995","46.125","-118.0"
"4999584468","Nogopterium gracile","Herbarium record",2024-07-02,"2024","44.27723","-124.0506"
"3803189306","Nogopterium gracile","Herbarium record",2008-03-27,"2008","45.69675","-122.337944"
"1987721525","Nogopterium gracile","Herbarium record",1967-02-18,"1967","49.28","-123.13"
"1987833130","Nogopterium gracile","Herbarium record",1969-08-21,"1969","48.85","-123.29"
"1987724141","Nogopterium gracile","Herbarium record",1970-05-13,"1970","48.5","-123.5"
"1987756908","Nogopterium gracile","Herbarium record",2017-05-13,"2017","48.8684","-123.377"
"1987766772","Nogopterium gracile","Herbarium record",1969-05-14,"1969","48.5","-123.5"
"1987764072","Nogopterium gracile","Herbarium record",1970-02-21,"1970","49.08","-122.19"
"1987908506","Nogopterium gracile","Herbarium record",1996-03-01,"1996","48.4","-123.5"
"1987731815","Nogopterium gracile","Herbarium record",2008-02-08,"2008","49.1","-122.2"
"1987858200","Nogopterium gracile","Herbarium record",1962-06-02,"1962","48.78","-123.28"
"1987771283","Nogopterium gracile","Herbarium record",2018-04-01,"2018","48.87","-123.36"
"1987871036","Nogopterium gracile","Herbarium record",1970-02-13,"1970","49.08","-122.19"
"1987912438","Nogopterium gracile","Herbarium record",1964-05-03,"1964","52.05","-128.15"
"1987894190","Nogopterium gracile","Herbarium record",1987-02-07,"1987","49.4","-121.5"
"1987909367","Nogopterium gracile","Herbarium record",2007-10-30,"2007","49.1","-122.3"
"1987805465","Nogopterium gracile","Herbarium record",2017-05-13,"2017","48.8686","-123.379"
"1987867299","Nogopterium gracile","Herbarium record",2017-05-13,"2017","48.8681","-123.3769"
"1987825318","Nogopterium gracile","Herbarium record",1969-08-21,"1969","48.8","-123.3"
"1987833054","Nogopterium gracile","Herbarium record",1996-06-25,"1996","48.44","-123.56"
"1987819137","Nogopterium gracile","Herbarium record",1962-06-04,"1962","48.96","-123.53"
"1065655825","Nogopterium gracile","Herbarium record",1994-11-20,"1994","44.49062","-123.42632"
"2252179625","Nogopterium gracile","Herbarium record",1976-04-27,"1976","49.166667","-123.95"
"2252178998","Nogopterium gracile","Herbarium record",1969-08-21,"1969","48.85","-123.316667"
"5895556551","Nogopterium gracile","Herbarium record",1962-06-02,"1962","48.75","-123.216667"
"5895563070","Nogopterium gracile","Herbarium record",,"1961","49.0","-123.683333"
"5895580478","Nogopterium gracile","Herbarium record",1925-04-02,"1925","45.62778","-122.01944"
"5895581200","Nogopterium gracile","Herbarium record",1969-08-21,"1969","48.844631","-123.278714"
"5895582628","Nogopterium gracile","Herbarium record",,"1926","48.05194","-122.17583"
"5895582898","Nogopterium gracile","Herbarium record",1948-09-16,"1948","60.050136","-148.066856"
"5895600397","Nogopterium gracile","Herbarium record",1962-06-04,"1962","48.961667","-123.528611"
"5895600614","Nogopterium gracile","Herbarium record",1961-06-03,"1961","48.783333","-123.15"
"5895602455","Nogopterium gracile","Herbarium record",1962-06-04,"1962","48.85","-123.3"
"5895604394","Nogopterium gracile","Herbarium record",1925-04-02,"1925","45.62778","-122.01944"
"5895623271","Nogopterium gracile","Herbarium record",1926-05-31,"1926","50.033333","-117.41111"
"5895635565","Nogopterium gracile","Herbarium record",1940-09-16,"1940","60.05083","-148.0675"
"5895644081","Nogopterium gracile","Herbarium record",1962-06-02,"1962","48.75","-123.216667"
"5895667717","Nogopterium gracile","Herbarium record",1995-09-14,"1995","43.1191403","-123.5749851"
"5895679734","Nogopterium gracile","Herbarium record",1962-08-28,"1962","44.56454","-123.464103"
"5895687521","Nogopterium gracile","Herbarium record",1943-07-12,"1943","48.149596","-122.595062"
"5076387355","Nogopterium gracile","Herbarium record",1993-12-24,"1993","44.401773","-123.344821"
"5076387447","Nogopterium gracile","Herbarium record",1993-03-05,"1993","44.412387","-123.331592"
"5076423144","Nogopterium gracile","Herbarium record",1999-12-11,"1999","44.564296","-123.274799"
"1987913343","Nogopterium gracile","Herbarium record",1965-08-26,"1965","48.47","-123.47"
"1987870288","Nogopterium gracile","Herbarium record",2017-05-13,"2017","48.87","-123.38"
"1987763748","Nogopterium gracile","Herbarium record",1976-03-27,"1976","49.08","-122.19"
"1987806889","Nogopterium gracile","Herbarium record",2010-01-26,"2010","48.94","-123.47"
"1987771530","Nogopterium gracile","Herbarium record",1994-03-21,"1994","43.2","-123.3"
"4513898201","Nogopterium gracile","Herbarium record",1983-01-31,"1983","48.35","-123.7"
"1987880078","Nogopterium gracile","Herbarium record",1965-05-01,"1965","48.48","-123.54"
"1987821297","Nogopterium gracile","Herbarium record",,"1961","48.53","-123.42"
"1987741404","Nogopterium gracile","Herbarium record",1966-07-18,"1966","50.05","-126.24"
"1987905733","Nogopterium gracile","Herbarium record",1969-05-14,"1969","48.7","-123.4"
"1987753109","Nogopterium gracile","Herbarium record",1966-05-06,"1966","49.72","-116.9"
"1987901190","Nogopterium gracile","Herbarium record",2013-04-02,"2013","48.4326","-123.3361"
"1987871377","Nogopterium gracile","Herbarium record",1969-03-10,"1969","48.78","-123.7"
"1987877620","Nogopterium gracile","Herbarium record",1961-10-01,"1961","48.47","-123.55"
