"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1929875317","Odontoschisma macounii","Herbarium record",1974-07-13,"1974","68.13","-145.53"
"1930150668","Odontoschisma macounii","Herbarium record",1951-08-16,"1951","68.88","-161.17"
"1930409169","Odontoschisma macounii","Herbarium record",1974-07-12,"1974","68.13","-145.53"
"1930577338","Odontoschisma macounii","Herbarium record",1951-07-14,"1951","70.65","-156.92"
"1929014603","Odontoschisma macounii","Herbarium record",1951-08-26,"1951","69.38","-152.17"
"1930563546","Odontoschisma macounii","Herbarium record",1952-07-22,"1952","68.2","-152.78"
"1931357703","Odontoschisma macounii","Herbarium record",1961-07-06,"1961","69.37","-145.05"
"1931246556","Odontoschisma macounii","Herbarium record",1953-08-12,"1953","68.22","-151.62"
"1929480180","Odontoschisma macounii","Herbarium record",1961-07-19,"1961","68.87","-158.37"
"1931247822","Odontoschisma macounii","Herbarium record",1973-07-12,"1973","70.47","-157.42"
"1930578663","Odontoschisma macounii","Herbarium record",1973-06-23,"1973","69.77","-147.17"
"1928374193","Odontoschisma macounii","Herbarium record",1973-06-23,"1973","69.77","-147.17"
"1931152885","Odontoschisma macounii","Herbarium record",1951-08-26,"1951","69.38","-152.17"
"1928119911","Odontoschisma macounii","Herbarium record",1952-07-26,"1952","69.37","-145.05"
"1928489246","Odontoschisma macounii","Herbarium record",1952-07-26,"1952","69.37","-145.05"
"1927896782","Odontoschisma macounii","Herbarium record",1951-08-11,"1951","68.88","-161.17"
"1928958498","Odontoschisma macounii","Herbarium record",1974-07-13,"1974","68.13","-145.53"
"1930846958","Odontoschisma macounii","Herbarium record",1972-07-26,"1972","69.32","-145.03"
"1928693579","Odontoschisma macounii","Herbarium record",1973-06-23,"1973","69.37","-152.17"
"1930758835","Odontoschisma macounii","Herbarium record",1972-07-19,"1972","68.75","-160.0"
"1929355721","Odontoschisma macounii","Herbarium record",1966-08-07,"1966","70.47","-157.42"
"1929539174","Odontoschisma macounii","Herbarium record",1973-07-12,"1973","70.47","-157.42"
"1930885325","Odontoschisma macounii","Herbarium record",1973-06-23,"1973","69.37","-152.17"
"1928539587","Odontoschisma macounii","Herbarium record",1974-08-20,"1974","68.37","-154.65"
"1929836515","Odontoschisma macounii","Herbarium record",1973-06-25,"1973","69.77","-147.17"
"1930716121","Odontoschisma macounii","Herbarium record",1973-06-25,"1973","69.77","-147.17"
"1928016104","Odontoschisma macounii","Herbarium record",1973-07-03,"1973","68.1","-165.75"
"1931009232","Odontoschisma macounii","Herbarium record",1961-07-15,"1961","68.08","-145.0"
"1931339260","Odontoschisma macounii","Herbarium record",1961-07-15,"1961","68.08","-145.0"
"1929436625","Odontoschisma macounii","Herbarium record",1963-07-14,"1963","68.78","-160.0"
"1930454811","Odontoschisma macounii","Herbarium record",1973-07-12,"1973","70.47","-157.42"
"1930543100","Odontoschisma macounii","Herbarium record",1952-07-15,"1952","68.72","-156.5"
"1930942903","Odontoschisma macounii","Herbarium record",1966-07-19,"1966","68.78","-160.0"
"1928159875","Odontoschisma macounii","Herbarium record",1974-08-01,"1974","68.13","-151.75"
"1928441808","Odontoschisma macounii","Herbarium record",1973-07-23,"1973","69.77","-147.17"
"1928215612","Odontoschisma macounii","Herbarium record",1952-06-27,"1952","69.38","-152.17"
"1930807022","Odontoschisma macounii","Herbarium record",1973-07-12,"1973","70.47","-157.42"
"1928139872","Odontoschisma macounii","Herbarium record",1952-06-28,"1952","68.97","-152.0"
"1929921415","Odontoschisma macounii","Herbarium record",1951-08-11,"1951","68.88","-161.17"
"1927848446","Odontoschisma macounii","Herbarium record",1953-08-12,"1953","68.22","-151.62"
