"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1930008413","Orthodicranum flagellare","Herbarium record",2007-05-15,"2007","51.83","-120.02"
"1931342784","Orthodicranum flagellare","Herbarium record",1960-07-07,"1960","64.501111","-165.406389"
"1978630400","Orthodicranum flagellare","Herbarium record",2017-08-04,"2017","68.11435","-149.43773"
"1987885598","Orthodicranum flagellare","Herbarium record",1980-09-20,"1980","51.9","-120.0"
"1987800725","Orthodicranum flagellare","Herbarium record",2013-06-19,"2013","51.64","-120.03"
"1987767755","Orthodicranum flagellare","Herbarium record",2003-08-12,"2003","51.72139","-124.6522"
"1987912225","Orthodicranum flagellare","Herbarium record",2007-05-17,"2007","53.9","-122.8"
"1987772361","Orthodicranum flagellare","Herbarium record",2013-06-21,"2013","51.64","-120.03"
"1987841994","Orthodicranum flagellare","Herbarium record",1927-06-01,"1927","49.8","-118.1"
"1987864399","Orthodicranum flagellare","Herbarium record",2007-05-15,"2007","51.8","-120.0"
"1987761770","Orthodicranum flagellare","Herbarium record",1969-08-02,"1969","49.0","-121.0"
"1052551414","Orthodicranum flagellare","Herbarium record",2007-05-15,"2007","51.833333","-120.016667"
"5196032471","Orthodicranum flagellare","Herbarium record",1800-01-01,"1800","62.702791","-150.326304"
"5196211811","Orthodicranum flagellare","Herbarium record",2001-07-22,"2001","63.243056","-143.379167"
"2252170606","Orthodicranum flagellare","Herbarium record",1943-08-04,"1943","53.966667","-122.716667"
"5895553178","Orthodicranum flagellare","Herbarium record",1943-08-04,"1943","53.966667","-122.716667"
"5895564151","Orthodicranum flagellare","Herbarium record",1927-06-03,"1927","49.783333","-118.133333"
"5895566305","Orthodicranum flagellare","Herbarium record",1951-06-05,"1951","59.746591","-154.900274"
"5895575209","Orthodicranum flagellare","Herbarium record",1945-08-29,"1945","47.95","-121.383333"
"5895584617","Orthodicranum flagellare","Herbarium record",,"1924","47.154727","-121.961556"
"4129545314","Orthodicranum flagellare","Herbarium record",2007-05-15,"2007","51.833333","-120.016666"
"5076373693","Orthodicranum flagellare","Herbarium record",1972-08-04,"1972","50.767629","-115.945149"
"5076373699","Orthodicranum flagellare","Herbarium record",,"1929","47.746222","-121.085933"
"5076433295","Orthodicranum flagellare","Herbarium record",1943-08-04,"1943","53.966667","-122.716667"
"5076433292","Orthodicranum flagellare","Herbarium record",1927-06-01,"1927","49.783333","-118.133333"
"1987787735","Orthodicranum flagellare","Herbarium record",2012-10-19,"2012","48.53","-123.42"
"1987869872","Orthodicranum flagellare","Herbarium record",1980-09-20,"1980","51.6","-120.0"
"1987732412","Orthodicranum flagellare","Herbarium record",1980-09-20,"1980","51.9","-120.0"
"1987726773","Orthodicranum flagellare","Herbarium record",1984-06-21,"1984","49.3","-122.7"
"1987854255","Orthodicranum flagellare","Herbarium record",2001-07-22,"2001","63.24","-142.38"
"1949666797","Orthodicranum flagellare","Herbarium record",1973-02-18,"1973","48.866667","-124.2"
"2028200780","Orthodicranum flagellare","Herbarium record",2007-05-17,"2007","53.883333","-122.8"
"2028162569","Orthodicranum flagellare","Herbarium record",1980-09-20,"1980","51.916667","-120.0"
"2028262690","Orthodicranum flagellare","Herbarium record",1980-09-20,"1980","51.916667","-120.0"
"2028309345","Orthodicranum flagellare","Herbarium record",2007-05-15,"2007","51.833333","-120.016667"
"2028191391","Orthodicranum flagellare","Herbarium record",1943-08-04,"1943","53.966667","-122.716667"
"4418814309","Orthodicranum flagellare","Herbarium record",1978-07-14,"1978","61.030291","-149.185278"
"4418814421","Orthodicranum flagellare","Herbarium record",1978-07-16,"1978","63.042294","-149.581116"
"4851112595","Orthodicranum flagellare","Herbarium record",1950-10-21,"1950","46.7291","-121.5568"
"3916074553","Orthodicranum flagellare","Herbarium record",1943-08-04,"1943","53.966667","-122.716667"
"5133580584","Orthodicranum flagellare","iNat record",2024-06-22,"2024","51.834464","-120.050977"
"1257924806","Orthodicranum flagellare","Herbarium record",2007-05-15,"2007","51.833333","-120.016667"
"1261813539","Orthodicranum flagellare","Herbarium record",1943-08-04,"1943","53.96666","-122.71666"
"2028250511","Orthodicranum flagellare","Herbarium record",1984-06-21,"1984","49.333333","-122.666667"
"2028235586","Orthodicranum flagellare","Herbarium record",1980-09-20,"1980","51.583333","-120.0"
"2028314433","Orthodicranum flagellare","Herbarium record",2001-07-22,"2001","63.243056","-142.379167"
"2028176403","Orthodicranum flagellare","Herbarium record",1943-08-04,"1943","53.966667","-122.716667"
"1091092274","Orthodicranum flagellare","Herbarium record",1927-06-03,"1927","49.781338","-118.142946"
