"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989126860","Platyhypnum molle","Herbarium record",1977-07-28,"1977","57.416667","-126.816667"
"4450543037","Platyhypnum molle","MATERIAL_SAMPLE",1982-08-19,"1982","49.683334","-125.61667"
"4445043941","Platyhypnum molle","MATERIAL_SAMPLE",2013-07-27,"2013","50.063915","-122.938805"
"4039049288","Platyhypnum molle","MATERIAL_SAMPLE",1977-07-28,"1977","57.417","-126.817"
"4445052006","Platyhypnum molle","MATERIAL_SAMPLE",1981-08-26,"1981","49.833332","-122.916664"
"1930171108","Platyhypnum molle","Herbarium record",1977-07-28,"1977","57.42","-126.82"
"1928721925","Platyhypnum molle","Herbarium record",1898-09-24,"1898","46.88833","-122.68722"
"1927825085","Platyhypnum molle","Herbarium record",2000-08-15,"2000","52.83","173.17"
"1929343421","Platyhypnum molle","Herbarium record",,"1919","46.88833","-122.68722"
"1928461509","Platyhypnum molle","Herbarium record",1905-09-12,"1905","46.88833","-122.68722"
"2447316756","Platyhypnum molle","Herbarium record",1994-08-21,"1994","51.92","-176.75"
"1929757991","Platyhypnum molle","Herbarium record",1898-09-24,"1898","46.88833","-122.68722"
"1930563102","Platyhypnum molle","Herbarium record",,"1889","46.88833","-122.68722"
"1930911001","Platyhypnum molle","Herbarium record",1987-08-27,"1987","60.13","-152.57"
"1928275347","Platyhypnum molle","Herbarium record",2011-07-06,"2011","44.4042","-121.2772"
"1931006659","Platyhypnum molle","Herbarium record",1960-07-20,"1960","47.97028","-123.86111"
"1928402104","Platyhypnum molle","Herbarium record",2009-07-29,"2009","44.4992","-123.5925"
"1929430320","Platyhypnum molle","Herbarium record",1898-09-24,"1898","46.88833","-122.68722"
"4988133442","Platyhypnum molle","Herbarium record",1992-07-12,"1992","68.65","-149.35"
"2005547734","Platyhypnum molle","Herbarium record",1977-07-28,"1977","57.433056","-126.765833"
"2005547718","Platyhypnum molle","Herbarium record",1898-09-24,"1898","46.85278","-121.75861"
"2005547730","Platyhypnum molle","Herbarium record",1971-09-19,"1971","50.059167","-122.956944"
"2005547817","Platyhypnum molle","Herbarium record",2000-08-15,"2000","52.856389","173.151667"
"3999224382","Platyhypnum molle","Herbarium record",1971-09-19,"1971","50.08333","-123.0"
"4855615479","Platyhypnum molle","Herbarium record",1972-08-27,"1972","49.908333","-123.008333"
"2569348231","Platyhypnum molle","Herbarium record",1994-08-21,"1994","51.916667","-176.75"
"3999222389","Platyhypnum molle","Herbarium record",1971-09-19,"1971","50.08333","-123.0"
"4608158328","Platyhypnum molle","Herbarium record",1977-07-19,"1977","58.233333","-129.483333"
"3999225387","Platyhypnum molle","Herbarium record",1971-09-19,"1971","50.08333","-123.0"
"3999225386","Platyhypnum molle","Herbarium record",1971-09-19,"1971","50.08333","-123.0"
