"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989011599","Platyhypnum smithii","Herbarium record",1985-08-16,"1985","53.0","-132.0"
"2979566299","Platyhypnum smithii","MATERIAL_SAMPLE",2019-08-14,"2019","56.169","-130.052"
"1928809198","Platyhypnum smithii","Herbarium record",1985-08-16,"1985","53.0","-132.0"
"1929163235","Platyhypnum smithii","Herbarium record",1898-09-24,"1898","46.88833","-122.68722"
"1929508803","Platyhypnum smithii","Herbarium record",2000-08-15,"2000","52.855868","173.216179"
"2005547959","Platyhypnum smithii","Herbarium record",1985-08-16,"1985","53.217223","-132.353611"
"2005547963","Platyhypnum smithii","Herbarium record",,"1928","50.533333","-116.06667"
"2005547914","Platyhypnum smithii","Herbarium record",1985-08-12,"1985","52.745833","-132.045555"
"1804409909","Platyhypnum smithii","Herbarium record",1890-08-12,"1890","51.4333","-116.333"
"5029281399","Platyhypnum smithii","Herbarium record",1975-06-29,"1975","52.933333","-132.083333"
"5029281459","Platyhypnum smithii","Herbarium record",1975-06-29,"1975","52.933333","-132.083333"
"1987828440","Platyhypnum smithii","Herbarium record",1971-10-03,"1971","49.7","-117.2"
"1987823320","Platyhypnum smithii","Herbarium record",1967-09-09,"1967","49.2","-121.7"
"1987742013","Platyhypnum smithii","Herbarium record",1971-10-03,"1971","49.7","-117.2"
"1987718686","Platyhypnum smithii","Herbarium record",1980-07-09,"1980","52.8","-132.1"
"1987911366","Platyhypnum smithii","Herbarium record",1985-08-12,"1985","52.8","-132.1"
"1987841641","Platyhypnum smithii","Herbarium record",2013-08-18,"2013","56.2","-130.058"
"1987899400","Platyhypnum smithii","Herbarium record",2012-11-03,"2012","51.92","-120.2"
"1987719483","Platyhypnum smithii","Herbarium record",1980-08-18,"1980","50.0","-123.1"
"1987793735","Platyhypnum smithii","Herbarium record",1980-09-03,"1980","50.1","-122.8"
"1987753611","Platyhypnum smithii","Herbarium record",1985-08-12,"1985","52.8","-132.1"
"4513892012","Platyhypnum smithii","Herbarium record",1975-06-29,"1975","52.933333","-132.083333"
"1987908080","Platyhypnum smithii","Herbarium record",1977-08-21,"1977","50.8","-116.8"
"1987923521","Platyhypnum smithii","Herbarium record",1974-09-22,"1974","49.1","-121.3"
"1987789257","Platyhypnum smithii","Herbarium record",1994-08-26,"1994","51.7199","-176.5971"
"1987850251","Platyhypnum smithii","Herbarium record",1971-10-03,"1971","49.7","-117.2"
"1987859956","Platyhypnum smithii","Herbarium record",2013-08-18,"2013","56.2","-130.058"
"1987732481","Platyhypnum smithii","Herbarium record",1971-10-02,"1971","49.1","-117.1"
"1987736784","Platyhypnum smithii","Herbarium record",1985-08-18,"1985","53.1","-132.0"
"1987741394","Platyhypnum smithii","Herbarium record",1971-10-02,"1971","49.1","-117.1"
"1805441922","Platyhypnum smithii","Herbarium record",,"1889","46.852008","-121.766275"
"5196196367","Platyhypnum smithii","Herbarium record",1995-07-31,"1995","53.666667","-166.666667"
"5196196371","Platyhypnum smithii","Herbarium record",1994-08-21,"1994","51.916667","-176.75"
"5196196376","Platyhypnum smithii","Herbarium record",2000-08-22,"2000","52.839444","173.136667"
"5196196373","Platyhypnum smithii","Herbarium record",2000-08-15,"2000","52.833333","173.15"
"5196196370","Platyhypnum smithii","Herbarium record",1994-08-26,"1994","51.719917","-176.597117"
"5895598474","Platyhypnum smithii","Herbarium record",1932-09-14,"1932","47.745211","-121.090279"
"5895600697","Platyhypnum smithii","Herbarium record",1958-07-31,"1958","47.392862","-121.44001"
