"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989142379","Polytrichum formosum","Herbarium record",1944-07-04,"1944","60.766667","-148.683333"
"1989130540","Polytrichum formosum","Herbarium record",1944-08-02,"1944","60.766667","-148.683333"
"1988644954","Polytrichum formosum","Herbarium record",1947-09-01,"1947","56.72","-134.36"
"1989119682","Polytrichum formosum","Herbarium record",1947-08-10,"1947","56.72","-134.36"
"1988805494","Polytrichum formosum","Herbarium record",1970-04-13,"1970","51.666667","-127.766667"
"1930652033","Polytrichum formosum","Herbarium record",1968-06-20,"1968","52.799312","173.173307"
"1931255507","Polytrichum formosum","Herbarium record",1968-06-17,"1968","52.826401","173.154765"
"1930749596","Polytrichum formosum","Herbarium record",1891-09-26,"1891","57.053056","-135.33"
"1927825380","Polytrichum formosum","Herbarium record",1968-06-18,"1968","52.868032","173.105871"
"1931046811","Polytrichum formosum","Herbarium record",1979-06-29,"1979","54.8","-127.27"
"1929746701","Polytrichum formosum","Herbarium record",1968-06-15,"1968","52.799946","173.171587"
"1928863377","Polytrichum formosum","Herbarium record",1983-08-31,"1983","62.5","-162.75"
"1929955661","Polytrichum formosum","Herbarium record",1983-07-08,"1983","60.17","-167.25"
"1930450001","Polytrichum formosum","Herbarium record",1966-06-26,"1966","53.33","-132.25"
"1930914477","Polytrichum formosum","Herbarium record",1899-07-25,"1899","58.301944","-134.419722"
"1928620124","Polytrichum formosum","Herbarium record",,"1892","57.053056","-135.33"
"1929044612","Polytrichum formosum","Herbarium record",1891-07-21,"1891","55.6025","-131.636111"
"1929199741","Polytrichum formosum","Herbarium record",1968-06-15,"1968","52.799946","173.171587"
"1929001931","Polytrichum formosum","Herbarium record",1968-06-15,"1968","52.799946","173.171587"
"1929195446","Polytrichum formosum","Herbarium record",1962-08-02,"1962","48.26667","-124.675"
"1931317966","Polytrichum formosum","Herbarium record",1998-07-28,"1998","57.18","-157.25"
"1930005344","Polytrichum formosum","Herbarium record",1968-06-20,"1968","52.799312","173.173307"
"1928857522","Polytrichum formosum","Herbarium record",1941-07-22,"1941","51.27","-117.52"
"1930681153","Polytrichum formosum","Herbarium record",1941-07-22,"1941","51.27","-117.52"
"1929866668","Polytrichum formosum","Herbarium record",1936-01-30,"1936","57.053056","-135.33"
"1929840192","Polytrichum formosum","Herbarium record",1911-08-12,"1911","55.342222","-131.646111"
"1930510595","Polytrichum formosum","Herbarium record",1940-07-13,"1940","55.342222","-131.646111"
"1930445603","Polytrichum formosum","Herbarium record",1968-06-16,"1968","52.795955","173.172676"
"1929021074","Polytrichum formosum","Herbarium record",,"1889","49.283333","-123.08333"
"1929041262","Polytrichum formosum","Herbarium record",1997-08-19,"1997","55.23","-162.77"
"1929223884","Polytrichum formosum","Herbarium record",,"1889","49.283333","-123.08333"
"1929496398","Polytrichum formosum","Herbarium record",1968-06-15,"1968","52.799946","173.171587"
"1931142696","Polytrichum formosum","Herbarium record",1890-07-24,"1890","51.03","-118.2"
"2005560451","Polytrichum formosum","Herbarium record",1941-07-22,"1941","51.266667","-117.516667"
"2005560468","Polytrichum formosum","Herbarium record",1962-07-09,"1962","53.121111","-132.498333"
