"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989186483","Polytrichum juniperinum","Herbarium record",1943-06-26,"1943","57.233333","-122.666667"
"1989510361","Polytrichum juniperinum","Herbarium record",1943-07-26,"1943","58.633333","-124.666667"
"1988733931","Polytrichum juniperinum","Herbarium record",1947-08-14,"1947","63.8","-149.5"
"1989381183","Polytrichum juniperinum","Herbarium record",,"1951","69.8","-155.383333"
"1989546196","Polytrichum juniperinum","Herbarium record",,"1951","69.8","-155.383333"
"1988848937","Polytrichum juniperinum","Herbarium record",1946-08-02,"1946","63.933333","-149.366667"
"1988716638","Polytrichum juniperinum","Herbarium record",,"1951","70.65","-156.916667"
"1989092760","Polytrichum juniperinum","Herbarium record",1969-07-30,"1969","64.55","-165.433333"
"1989406832","Polytrichum juniperinum","Herbarium record",1946-08-18,"1946","63.8","-149.5"
"1988990508","Polytrichum juniperinum","Herbarium record",,"1951","70.65","-156.916667"
"1989529248","Polytrichum juniperinum","Herbarium record",1966-06-26,"1966","53.333333","-132.25"
"1989257686","Polytrichum juniperinum","Herbarium record",1943-07-15,"1943","58.633333","-124.666667"
"1989451532","Polytrichum juniperinum","Herbarium record",1969-06-03,"1969","64.616667","-165.7"
"1989382990","Polytrichum juniperinum","Herbarium record",,"1952","68.966667","-152.0"
"1989534853","Polytrichum juniperinum","Herbarium record",,"1946","69.370833","-152.138333"
"1988904929","Polytrichum juniperinum","Herbarium record",1968-07-31,"1968","52.966667","-131.75"
"1989134542","Polytrichum juniperinum","Herbarium record",,"1965","52.366667","-126.716667"
"1988664996","Polytrichum juniperinum","Herbarium record",,"1951","69.466667","-151.5"
"1988856191","Polytrichum juniperinum","Herbarium record",1966-08-26,"1966","64.55","-165.55"
"1989397963","Polytrichum juniperinum","Herbarium record",1905-05-28,"1905","49.0","-119.0"
"1989498350","Polytrichum juniperinum","Herbarium record",1933-03-31,"1933","48.25","-121.6"
"1988952846","Polytrichum juniperinum","Herbarium record",1943-07-18,"1943","58.633333","-124.666667"
"1989020458","Polytrichum juniperinum","Herbarium record",,"1952","69.366667","-145.05"
"1988603591","Polytrichum juniperinum","Herbarium record",,"1951","69.466667","-151.5"
"1989040772","Polytrichum juniperinum","Herbarium record",1944-05-21,"1944","60.766667","-148.683333"
"1989170778","Polytrichum juniperinum","Herbarium record",1933-05-20,"1933","47.1","-122.433333"
"1988987324","Polytrichum juniperinum","Herbarium record",,"1951","69.466667","-151.5"
"1988958032","Polytrichum juniperinum","Herbarium record",1943-06-17,"1943","56.916667","-122.166667"
"1989502796","Polytrichum juniperinum","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"1989065661","Polytrichum juniperinum","Herbarium record",,"1951","69.8","-155.383333"
"4915973942","Polytrichum juniperinum","MATERIAL_SAMPLE",2006-07-04,"2006","51.95","-120.086"
"1931303881","Polytrichum juniperinum","Herbarium record",2005-08-11,"2005","51.56633","-178.81683"
"1928537365","Polytrichum juniperinum","Herbarium record",1948-08-29,"1948","66.5","-147.0"
"1931251101","Polytrichum juniperinum","Herbarium record",1976-07-18,"1976","68.03","-149.7"
"1930744958","Polytrichum juniperinum","Herbarium record",1949-09-04,"1949","63.25","-154.7"
"1930970919","Polytrichum juniperinum","Herbarium record",1949-08-22,"1949","58.625","-134.167"
"1928265432","Polytrichum juniperinum","Herbarium record",1889-05-08,"1889","47.4275","-117.37917"
"1929302504","Polytrichum juniperinum","Herbarium record",1966-07-02,"1966","68.1","-165.75"
"1931231926","Polytrichum juniperinum","Herbarium record",1950-09-04,"1950","68.78","-160.0"
"1930249996","Polytrichum juniperinum","Herbarium record",1948-08-29,"1948","66.5","-147.0"
"1930942596","Polytrichum juniperinum","Herbarium record",1966-07-13,"1966","69.38","-152.17"
"1931346134","Polytrichum juniperinum","Herbarium record",,"1895","45.519836","-123.110663"
"1927801813","Polytrichum juniperinum","Herbarium record",1993-07-04,"1993","42.55","-123.5603"
"1929687433","Polytrichum juniperinum","Herbarium record",1998-07-17,"1998","42.2189","-122.4939"
"1930143513","Polytrichum juniperinum","Herbarium record",1927-04-20,"1927","45.58556","-122.155"
"1929996863","Polytrichum juniperinum","Herbarium record",1937-03-27,"1937","47.25306","-122.44306"
"1928077436","Polytrichum juniperinum","Herbarium record",1957-07-28,"1957","46.43056","-118.63028"
"1929905082","Polytrichum juniperinum","Herbarium record",,"1984","64.38","-157.7"
"1930639468","Polytrichum juniperinum","Herbarium record",1942-04-01,"1942","47.58","-122.35083"
"1930630955","Polytrichum juniperinum","Herbarium record",1891-07-25,"1891","57.186688","-170.257481"
"1930747254","Polytrichum juniperinum","Herbarium record",2003-02-27,"2003","60.557222","-151.113333"
"1929512712","Polytrichum juniperinum","Herbarium record",1974-07-15,"1974","68.13","-145.53"
"1928719681","Polytrichum juniperinum","Herbarium record",1958-07-10,"1958","63.4","-150.42"
"1929307634","Polytrichum juniperinum","Herbarium record",,"1984","64.38","-157.7"
"1930578051","Polytrichum juniperinum","Herbarium record",1974-07-12,"1974","68.13","-145.53"
"1928238313","Polytrichum juniperinum","Herbarium record",1899-07-12,"1899","65.261875","-166.841575"
"1930809804","Polytrichum juniperinum","Herbarium record",,"1975","70.48","-157.42"
"1930853157","Polytrichum juniperinum","Herbarium record",1973-06-05,"1973","69.28","-145.02"
"1927943798","Polytrichum juniperinum","Herbarium record",1958-07-23,"1958","69.998074","-159.94238"
"1930925084","Polytrichum juniperinum","Herbarium record",2005-07-10,"2005","66.28411","-159.71744"
"1930065349","Polytrichum juniperinum","Herbarium record",1966-06-21,"1966","53.83","-132.08"
"1927997896","Polytrichum juniperinum","Herbarium record",1976-06-12,"1976","66.93","-156.1"
"1930622672","Polytrichum juniperinum","Herbarium record",1935-07-23,"1935","49.761712","-125.173279"
"1928303751","Polytrichum juniperinum","Herbarium record",1953-07-11,"1953","70.95","-157.45"
"1928678867","Polytrichum juniperinum","Herbarium record",1889-04-19,"1889","47.60621","-122.332071"
"1929190953","Polytrichum juniperinum","Herbarium record",1917-05-28,"1917","46.981206","-123.602663"
"1929465443","Polytrichum juniperinum","Herbarium record",1977-07-20,"1977","56.55","-126.43"
"1930122235","Polytrichum juniperinum","Herbarium record",1966-07-19,"1966","68.78","-160.0"
"1929972963","Polytrichum juniperinum","Herbarium record",1973-06-21,"1973","69.37","-152.17"
