"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"4444975543","Pseudoleskeella tectorum","MATERIAL_SAMPLE",2012-12-04,"2012","51.583332","-119.71667"
"4450447678","Pseudoleskeella tectorum","MATERIAL_SAMPLE",2009-10-08,"2009","49.458057","-120.51083"
"1930732143","Pseudoleskeella tectorum","Herbarium record",1949-08-08,"1949","62.55","-153.6"
"1931061091","Pseudoleskeella tectorum","Herbarium record",1970-08-20,"1970","68.37","-154.65"
"1930200595","Pseudoleskeella tectorum","Herbarium record",1974-08-16,"1974","69.32","-145.03"
"1929187636","Pseudoleskeella tectorum","Herbarium record",1974-07-16,"1974","68.13","-145.53"
"1929221012","Pseudoleskeella tectorum","Herbarium record",1974-08-02,"1974","68.13","-151.75"
"1929074856","Pseudoleskeella tectorum","Herbarium record",1951-08-23,"1951","69.38","-152.17"
"1931091241","Pseudoleskeella tectorum","Herbarium record",1974-07-16,"1974","68.13","-145.53"
"1928787847","Pseudoleskeella tectorum","Herbarium record",1960-07-07,"1960","68.92","-161.17"
"1929602577","Pseudoleskeella tectorum","Herbarium record",1974-08-14,"1974","69.32","-145.03"
"1928225184","Pseudoleskeella tectorum","Herbarium record",1965-07-25,"1965","69.37","-145.05"
"1927929122","Pseudoleskeella tectorum","Herbarium record",1952-07-15,"1952","68.72","-156.5"
"1928569080","Pseudoleskeella tectorum","Herbarium record",1952-07-27,"1952","69.37","-145.05"
"1930300483","Pseudoleskeella tectorum","Herbarium record",1982-07-29,"1982","68.45","-149.3"
"1929693545","Pseudoleskeella tectorum","Herbarium record",1974-07-06,"1974","68.1","-145.53"
"1930425726","Pseudoleskeella tectorum","Herbarium record",1960-07-21,"1960","69.37","-145.05"
"1929608700","Pseudoleskeella tectorum","Herbarium record",1951-08-07,"1951","68.88","-161.17"
"1929911531","Pseudoleskeella tectorum","Herbarium record",1952-07-28,"1952","69.37","-145.05"
"1928355802","Pseudoleskeella tectorum","Herbarium record",1974-08-13,"1974","69.32","-145.03"
"1930111727","Pseudoleskeella tectorum","Herbarium record",1960-07-23,"1960","69.33","-145.0"
"1930980561","Pseudoleskeella tectorum","Herbarium record",1917-05-22,"1917","46.86889","-123.94639"
"1930083002","Pseudoleskeella tectorum","Herbarium record",1973-07-03,"1973","68.1","-165.75"
"1929406448","Pseudoleskeella tectorum","Herbarium record",1960-07-13,"1960","68.88","-164.62"
"1929855049","Pseudoleskeella tectorum","Herbarium record",1952-07-27,"1952","69.37","-145.05"
"1929423410","Pseudoleskeella tectorum","Herbarium record",1952-07-23,"1952","68.2","-152.78"
"1928223696","Pseudoleskeella tectorum","Herbarium record",1951-08-26,"1951","69.38","-152.17"
"1929123007","Pseudoleskeella tectorum","Herbarium record",1952-07-27,"1952","69.37","-145.05"
"1930811911","Pseudoleskeella tectorum","Herbarium record",1974-07-06,"1974","68.1","-145.53"
"1928344708","Pseudoleskeella tectorum","Herbarium record",1960-07-13,"1960","68.88","-164.62"
"1928132783","Pseudoleskeella tectorum","Herbarium record",1961-07-07,"1961","69.33","-145.0"
"1929427778","Pseudoleskeella tectorum","Herbarium record",1966-07-02,"1966","68.1","-165.75"
"1929220829","Pseudoleskeella tectorum","Herbarium record",1974-07-02,"1974","69.37","-152.13"
"2005561339","Pseudoleskeella tectorum","Herbarium record",2003-06-04,"2003","50.865833","-121.738889"
"2005561332","Pseudoleskeella tectorum","Herbarium record",1977-07-23,"1977","59.427778","-126.10417"
