"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"3863574329","Pulvigera pringlei","Herbarium record",2021-04-23,"2021","42.576323","-122.989521"
"3863588327","Pulvigera pringlei","Herbarium record",2021-04-19,"2021","42.468427","-123.357157"
"4999584343","Pulvigera pringlei","Herbarium record",2024-07-02,"2024","44.277921","-124.048236"
"3886697304","Pulvigera pringlei","Herbarium record",2021-09-17,"2021","43.894228","-123.119228"
"3697798335","Pulvigera pringlei","Herbarium record",2020-08-03,"2020","42.936797","-123.758175"
"3713178338","Pulvigera pringlei","Herbarium record",2021-04-18,"2021","42.060023","-122.548815"
"4608158301","Pulvigera pringlei","Herbarium record",2023-06-06,"2023","44.025438","-122.856606"
"3986762341","Pulvigera pringlei","Herbarium record",2021-07-05,"2021","42.401936","-122.466672"
"3986760351","Pulvigera pringlei","Herbarium record",2021-07-19,"2021","44.353816","-122.109744"
"5052373578","Pulvigera pringlei","Herbarium record",2024-06-28,"2024","44.25047","-124.10032"
"3697802344","Pulvigera pringlei","Herbarium record",2020-09-22,"2020","44.1332","-123.650669"
"4980793347","Pulvigera pringlei","Herbarium record",2024-06-28,"2024","44.273532","-124.060772"
"3866677319","Pulvigera pringlei","Herbarium record",2021-07-13,"2021","42.435584","-122.408393"
"4900814540","Pulvigera pringlei","Herbarium record",2023-09-19,"2023","45.11739","-122.02588"
"3971226354","Pulvigera pringlei","Herbarium record",2021-05-31,"2021","44.171652","-122.587216"
"3971231359","Pulvigera pringlei","Herbarium record",2021-05-31,"2021","44.171652","-122.587216"
"3467028316","Pulvigera pringlei","Herbarium record",2021-08-19,"2021","42.728714","-123.322331"
"3886708304","Pulvigera pringlei","Herbarium record",2021-09-16,"2021","43.888936","-123.117749"
"3697813326","Pulvigera pringlei","Herbarium record",2020-09-28,"2020","43.942116","-123.151473"
"3971229341","Pulvigera pringlei","Herbarium record",2021-05-27,"2021","42.474442","-122.541458"
"3866973301","Pulvigera pringlei","Herbarium record",2021-06-16,"2021","44.137459","-122.435909"
"3697804335","Pulvigera pringlei","Herbarium record",2020-09-20,"2020","43.602124","-122.477103"
"5203403648","Pulvigera pringlei","Herbarium record",2023-03-05,"2023","44.464556","-124.081008"
"3863856308","Pulvigera pringlei","Herbarium record",2020-08-09,"2020","44.19285","-123.586756"
"3986765331","Pulvigera pringlei","Herbarium record",2021-07-12,"2021","42.397388","-122.462773"
"3698654315","Pulvigera pringlei","Herbarium record",2020-08-09,"2020","43.927479","-123.169088"
"3971231344","Pulvigera pringlei","Herbarium record",2021-05-23,"2021","42.503423","-122.525971"
"3697805334","Pulvigera pringlei","Herbarium record",2020-09-04,"2020","44.210209","-123.637059"
"3886693306","Pulvigera pringlei","Herbarium record",2021-09-15,"2021","44.297829","-122.625683"
"3713179332","Pulvigera pringlei","Herbarium record",2021-08-23,"2021","42.73063","-123.2785"
"1987876418","Pulvigera pringlei","Herbarium record",2017-08-19,"2017","49.28","-122.85"
"1987806478","Pulvigera pringlei","Herbarium record",1961-05-03,"1961","48.37","-123.73"
"1987846242","Pulvigera pringlei","Herbarium record",1976-02-15,"1976","49.28","-122.67"
"1987925760","Pulvigera pringlei","Herbarium record",1984-06-21,"1984","49.3","-122.7"
"1987891438","Pulvigera pringlei","Herbarium record",2007-04-17,"2007","49.131","-122.508"
"1987894663","Pulvigera pringlei","Herbarium record",1978-02-12,"1978","49.1","-117.7"
"1987767884","Pulvigera pringlei","Herbarium record",1960-11-11,"1960","49.08","-123.71"
"1987720429","Pulvigera pringlei","Herbarium record",1968-04-04,"1968","49.38","-123.34"
"1987858898","Pulvigera pringlei","Herbarium record",1962-04-24,"1962","48.37","-123.73"
"1987726485","Pulvigera pringlei","Herbarium record",1962-04-24,"1962","49.25","-123.25"
"1987855242","Pulvigera pringlei","Herbarium record",1966-05-05,"1966","48.39","-123.9"
"1987933419","Pulvigera pringlei","Herbarium record",1961-10-15,"1961","50.05","-125.34"
"1987851087","Pulvigera pringlei","Herbarium record",1980-04-16,"1980","49.7","-123.2"
"1987848561","Pulvigera pringlei","Herbarium record",1974-05-07,"1974","48.83","-125.14"
"1987862529","Pulvigera pringlei","Herbarium record",1969-10-02,"1969","49.7","-126.4"
"1987844496","Pulvigera pringlei","Herbarium record",1970-05-06,"1970","48.39","-123.9"
"1987788406","Pulvigera pringlei","Herbarium record",1977-07-27,"1977","49.13","-125.66"
"1987832778","Pulvigera pringlei","Herbarium record",1978-04-06,"1978","49.22","-122.6"
"1987831902","Pulvigera pringlei","Herbarium record",1970-10-30,"1970","49.0","-125.2"
"1987845791","Pulvigera pringlei","Herbarium record",1971-04-12,"1971","49.51","-124.29"
"1987851639","Pulvigera pringlei","Herbarium record",1980-09-14,"1980","49.3","-122.5"
"1987862593","Pulvigera pringlei","Herbarium record",1980-11-02,"1980","49.0","-125.2"
"1987760559","Pulvigera pringlei","Herbarium record",2016-03-24,"2016","49.06","-122.47"
"1990513766","Pulvigera pringlei","iNat record",2019-01-15,"2019","49.230528","-122.802843"
"4852044010","Pulvigera pringlei","iNat record",2024-04-22,"2024","50.116493","-125.224701"
"5108275355","Pulvigera pringlei","iNat record",2025-03-26,"2025","49.296204","-122.688721"
"5087754493","Pulvigera pringlei","iNat record",2025-03-09,"2025","49.28384","-122.777206"
"5087714999","Pulvigera pringlei","iNat record",2025-03-10,"2025","49.241734","-122.803024"
"4055012824","Pulvigera pringlei","iNat record",2023-03-03,"2023","48.754873","-122.35102"
"5154120673","Pulvigera pringlei","iNat record",2025-04-28,"2025","49.247707","-122.543617"
"4600103091","Pulvigera pringlei","iNat record",2024-03-20,"2024","48.793345","-125.1155"
"5153865773","Pulvigera pringlei","iNat record",2025-04-28,"2025","49.247707","-122.543617"
"3872978171","Pulvigera pringlei","iNat record",2022-07-11,"2022","48.793289","-125.115578"
"2826181046","Pulvigera pringlei","iNat record",2020-07-20,"2020","49.015125","-121.407586"
"4923736802","Pulvigera pringlei","iNat record",2024-03-27,"2024","49.263412","-123.251612"
"2864795871","Pulvigera pringlei","iNat record",2020-09-11,"2020","49.342639","-121.747169"
"4018189082","Pulvigera pringlei","iNat record",2023-01-13,"2023","49.818306","-125.064978"
"4062794223","Pulvigera pringlei","iNat record",2023-03-11,"2023","49.190567","-122.597809"
"4067633272","Pulvigera pringlei","iNat record",2023-03-17,"2023","49.343407","-123.417267"
"4011835602","Pulvigera pringlei","iNat record",2022-10-28,"2022","49.015999","-122.643326"
"5063961947","Pulvigera pringlei","iNat record",2025-01-24,"2025","49.353027","-122.867157"
"4063066182","Pulvigera pringlei","iNat record",2023-03-11,"2023","49.195606","-122.59655"
"5838383709","Pulvigera pringlei","iNat record",2025-09-27,"2025","49.209469","-121.080505"
"5166976008","Pulvigera pringlei","iNat record",2025-05-22,"2025","49.144828","-122.785738"
"5153163131","Pulvigera pringlei","iNat record",2025-04-27,"2025","49.02066","-122.661858"
"4519242754","Pulvigera pringlei","iNat record",2024-02-03,"2024","48.36901","-123.757614"
"3961071302","Pulvigera pringlei","iNat record",2022-10-29,"2022","49.283379","-124.157097"
"4011664139","Pulvigera pringlei","iNat record",2022-12-31,"2022","49.747438","-124.982166"
"5063691581","Pulvigera pringlei","iNat record",2025-01-20,"2025","49.350494","-123.014053"
"5167458950","Pulvigera pringlei","iNat record",2025-04-28,"2025","48.791229","-123.708504"
"4949957604","Pulvigera pringlei","iNat record",2024-09-24,"2024","49.280415","-122.920898"
"2529247789","Pulvigera pringlei","iNat record",2019-12-19,"2019","49.179644","-122.737686"
"5153498337","Pulvigera pringlei","iNat record",2025-04-26,"2025","49.293087","-122.697807"
"5076965956","Pulvigera pringlei","iNat record",2025-02-17,"2025","48.465556","-123.373628"
"4535871639","Pulvigera pringlei","iNat record",2022-11-25,"2022","49.856624","-125.11255"
"4607571742","Pulvigera pringlei","iNat record",2024-03-28,"2024","49.239288","-122.807808"
"5868288069","Pulvigera pringlei","iNat record",2025-10-19,"2025","49.051651","-123.793167"
"4039151199","Pulvigera pringlei","iNat record",2023-02-04,"2023","49.034455","-122.827209"
"5087104297","Pulvigera pringlei","iNat record",2025-02-15,"2025","47.924315","-122.601858"
"5134220679","Pulvigera pringlei","iNat record",2025-04-05,"2025","49.026146","-122.655937"
"5889448466","Pulvigera pringlei","iNat record",2025-07-24,"2025","49.757461","-123.154928"
"4034720159","Pulvigera pringlei","iNat record",2023-02-10,"2023","49.933795","-125.20388"
"5063994782","Pulvigera pringlei","iNat record",2025-01-24,"2025","49.363865","-122.853928"
"4075621214","Pulvigera pringlei","iNat record",2023-03-22,"2023","49.247295","-122.544426"
