"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"4976457933","Riccia campbelliana","iNat record",2024-10-27,"2024","48.53658","-123.530112"
"4974227642","Riccia campbelliana","iNat record",2024-10-17,"2024","48.533637","-123.530742"
"4993831552","Riccia campbelliana","iNat record",2024-11-28,"2024","48.536366","-123.529739"
"4976449306","Riccia campbelliana","iNat record",2024-10-27,"2024","48.53658","-123.530112"
"4976404320","Riccia campbelliana","iNat record",2024-10-27,"2024","48.53658","-123.530112"
"4987672892","Riccia campbelliana","iNat record",2024-10-27,"2024","48.536406","-123.529463"
"4973978891","Riccia campbelliana","iNat record",2024-10-14,"2024","48.536366","-123.529716"
"4976196141","Riccia campbelliana","iNat record",2024-10-27,"2024","48.536623","-123.529921"
"5006920498","Riccia campbelliana","iNat record",2024-11-27,"2024","48.536369","-123.529732"
"5007879161","Riccia campbelliana","iNat record",2024-11-27,"2024","48.536369","-123.529732"
"5153947809","Riccia campbelliana","iNat record",2025-04-25,"2025","48.536317","-123.529787"
"4994034069","Riccia campbelliana","iNat record",2024-11-27,"2024","48.536316","-123.529953"
