"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1929339253","Sauteria alpina","Herbarium record",1963-07-05,"1963","70.48","-157.42"
"1930253732","Sauteria alpina","Herbarium record",1951-07-23,"1951","69.47","-151.5"
"1927823043","Sauteria alpina","Herbarium record",1951-07-05,"1951","69.8","-155.38"
"1929442039","Sauteria alpina","Herbarium record",1952-07-27,"1952","69.37","-145.05"
"1927848514","Sauteria alpina","Herbarium record",1974-08-16,"1974","69.32","-145.03"
"1928101676","Sauteria alpina","Herbarium record",1963-07-02,"1963","70.48","-157.42"
"1929310217","Sauteria alpina","Herbarium record",1974-07-03,"1974","69.37","-152.13"
"1929057517","Sauteria alpina","Herbarium record",1974-08-20,"1974","68.37","-154.65"
"2005607203","Sauteria alpina","Herbarium record",1990-07-24,"1990","52.16283","-174.331352"
"4909454611","Sauteria alpina","Herbarium record",1995-07-26,"1995","54.916667","-159.25"
"1987765935","Sauteria alpina","Herbarium record",2008-08-11,"2008","58.69","-133.46"
"1805292205","Sauteria alpina","Herbarium record",,"1897","57.173625","-170.285986"
"1805288486","Sauteria alpina","Herbarium record",1897-09-01,"1897","57.173625","-170.285986"
"5195995209","Sauteria alpina","Herbarium record",1992-07-11,"1992","65.65","-164.333333"
"5195995210","Sauteria alpina","Herbarium record",1992-07-24,"1992","66.333333","-164.116667"
"5195995211","Sauteria alpina","Herbarium record",1993-07-11,"1993","64.866667","-165.75"
"5195995216","Sauteria alpina","Herbarium record",1993-07-10,"1993","64.766667","-165.4"
"5195995218","Sauteria alpina","Herbarium record",1992-07-12,"1992","65.8","-163.383333"
"5195997399","Sauteria alpina","Herbarium record",2006-07-28,"2006","57.583472","-153.394806"
"1987753200","Sauteria alpina","Herbarium record",1992-07-27,"1992","59.5","-137.8"
"1987919595","Sauteria alpina","Herbarium record",,"2013","55.61","-121.58"
"1987921542","Sauteria alpina","Herbarium record",2006-07-28,"2006","57.583","-153.395"
"1987741368","Sauteria alpina","Herbarium record",1981-07-19,"1981","58.3","-129.5"
"4438882454","Sauteria alpina","iNat record",2021-07-30,"2021","58.656452","-124.658897"
"4079508114","Sauteria alpina","Herbarium record",2017-07-29,"2017","70.264911","-152.112734"
"367456713","Sauteria alpina","Herbarium record",2006-07-28,"2006","68.45","-149.516667"
"367456712","Sauteria alpina","Herbarium record",2006-07-28,"2006","68.45","-149.516667"
"4465471476","Sauteria alpina","iNat record",2023-07-26,"2023","59.240234","-130.556488"
"4910964393","Sauteria alpina","iNat record",2024-07-11,"2024","59.699642","-137.146637"
"4453872206","Sauteria alpina","iNat record",2023-08-11,"2023","59.546581","-133.622253"
"4440664384","Sauteria alpina","iNat record",2023-08-11,"2023","59.54615","-133.621414"
"4438838009","Sauteria alpina","iNat record",2023-08-11,"2023","59.545864","-133.62149"
"4458505378","Sauteria alpina","iNat record",2023-08-11,"2023","59.543747","-133.619202"
"4465427479","Sauteria alpina","iNat record",2023-07-26,"2023","59.240234","-130.556488"
"4438645171","Sauteria alpina","iNat record",2023-07-26,"2023","59.240211","-130.555237"
"4438857332","Sauteria alpina","iNat record",2019-07-27,"2019","58.598708","-124.652564"
"4438647446","Sauteria alpina","iNat record",2021-07-28,"2021","52.442827","-119.758338"
"4438669142","Sauteria alpina","iNat record",2023-07-26,"2023","59.240265","-130.555573"
"4607352962","Sauteria alpina","iNat record",2021-07-28,"2021","52.442827","-119.758338"
"4440935359","Sauteria alpina","iNat record",2023-08-11,"2023","59.54615","-133.621414"
"1805287941","Sauteria alpina","Herbarium record",1913-07-05,"1913","51.396666","-116.390277"
"1805301652","Sauteria alpina","Herbarium record",,"1897","57.173625","-170.285986"
"1805291131","Sauteria alpina","Herbarium record",1913-07-19,"1913","50.625556","-125.788611"
"1805299442","Sauteria alpina","Herbarium record",1897-08-29,"1897","57.173625","-170.285986"
"1805296170","Sauteria alpina","Herbarium record",1913-07-05,"1913","51.396666","-116.390277"
"1805300341","Sauteria alpina","Herbarium record",1913-07-19,"1913","52.8325","-120.705278"
"328296807","Sauteria alpina","Herbarium record",1960-07-10,"1960","68.58333","-161.16667"
"328296808","Sauteria alpina","Herbarium record",1960-07-23,"1960","69.33333","-145.0"
"328296809","Sauteria alpina","Herbarium record",1960-07-23,"1960","69.33333","-145.0"
