"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988933959","Scapania undulata","Herbarium record",1932-08-01,"1932","46.15","-121.516667"
"1988773804","Scapania undulata","Herbarium record",1977-07-23,"1977","56.533333","-126.45"
"1930839072","Scapania undulata","Herbarium record",1934-06-03,"1934","47.46306","-124.33833"
"1928509147","Scapania undulata","Herbarium record",1935-03-26,"1935","43.67","-123.87"
"1930108341","Scapania undulata","Herbarium record",1935-03-24,"1935","44.187099","-123.815174"
"1928962298","Scapania undulata","Herbarium record",1931-08-17,"1931","47.6689","-121.1053"
"1928726942","Scapania undulata","Herbarium record",1949-06-29,"1949","68.33","-151.0"
"1929406678","Scapania undulata","Herbarium record",1949-08-20,"1949","51.872778","-176.195556"
"1937506694","Scapania undulata","Herbarium record",2018-03-27,"2018","42.71717","-124.35667"
"1930501783","Scapania undulata","Herbarium record",1905-07-25,"1905","48.5215","-121.989315"
"1929903429","Scapania undulata","Herbarium record",1977-08-06,"1977","44.015462","-121.57618"
"1929473461","Scapania undulata","Herbarium record",,"1981","54.9","-159.25"
"1929876110","Scapania undulata","Herbarium record",1932-08-01,"1932","46.15","-121.52"
"1928450751","Scapania undulata","Herbarium record",1919-08-27,"1919","46.91556","-121.82444"
"1929454189","Scapania undulata","Herbarium record",1935-03-26,"1935","43.67","-123.87"
"1930605098","Scapania undulata","Herbarium record",1966-06-21,"1966","53.83","-132.08"
"1930791813","Scapania undulata","Herbarium record",1977-07-23,"1977","56.53","-126.45"
"1930756185","Scapania undulata","Herbarium record",1932-08-01,"1932","46.15","-121.52"
"1928588752","Scapania undulata","Herbarium record",2013-07-25,"2013","42.0878","-123.37"
"1928320979","Scapania undulata","Herbarium record",1977-08-06,"1977","44.015462","-121.57618"
"1931165136","Scapania undulata","Herbarium record",1936-11-26,"1936","47.63472","-122.49278"
"1931223985","Scapania undulata","Herbarium record",1997-09-10,"1997","43.5967","-123.7742"
"1931376412","Scapania undulata","Herbarium record",1893-09-09,"1893","49.17","-122.97"
"1931372741","Scapania undulata","Herbarium record",1890-05-13,"1890","51.03","-118.2"
"1930777449","Scapania undulata","Herbarium record",1983-03-17,"1983","44.051389","-124.057222"
"1929770328","Scapania undulata","Herbarium record",1952-07-19,"1952","68.2","-152.78"
"1928030051","Scapania undulata","Herbarium record",1935-03-26,"1935","43.67","-123.87"
"1930348752","Scapania undulata","Herbarium record",1953-06-19,"1953","47.21528","-123.09944"
"1928279843","Scapania undulata","Herbarium record",,"1895","46.88833","-122.68722"
"1931323750","Scapania undulata","Herbarium record",1931-09-04,"1931","47.585","-119.41056"
"1930082118","Scapania undulata","Herbarium record",2013-07-25,"2013","42.0878","-123.37"
"1928124984","Scapania undulata","Herbarium record",1932-08-01,"1932","46.15","-121.52"
"1929123280","Scapania undulata","Herbarium record",,"1891","58.489059","-134.134077"
"1930069365","Scapania undulata","Herbarium record",1988-07-12,"1988","47.878869","-124.277206"
"1929546533","Scapania undulata","Herbarium record",1998-07-18,"1998","42.2253","-122.4831"
"1931038182","Scapania undulata","Herbarium record",1997-08-12,"1997","54.92","-162.33"
"1930267134","Scapania undulata","Herbarium record",1940-03-02,"1940","44.597048","-123.458534"
"1928326481","Scapania undulata","Herbarium record",1992-06-01,"1992","47.81639","-124.24917"
"1929159546","Scapania undulata","Herbarium record",1890-05-19,"1890","51.03","-118.2"
"1929481921","Scapania undulata","Herbarium record",,"1883","46.456846","-120.738703"
"1930874231","Scapania undulata","Herbarium record",1935-03-26,"1935","43.67","-123.87"
"1928652459","Scapania undulata","Herbarium record",1891-08-06,"1891","58.301944","-134.419722"
"1930616166","Scapania undulata","Herbarium record",1932-08-01,"1932","46.15","-121.52"
"1930174985","Scapania undulata","Herbarium record",,"1895","46.88833","-122.68722"
"1929969938","Scapania undulata","Herbarium record",1935-03-24,"1935","44.187099","-123.815174"
"1929372993","Scapania undulata","Herbarium record",1976-07-13,"1976","67.28","-157.0"
"1929757625","Scapania undulata","Herbarium record",1948-09-30,"1948","60.050833","-148.0675"
"1930463918","Scapania undulata","Herbarium record",1977-08-06,"1977","44.030114","-121.596611"
"1929143220","Scapania undulata","Herbarium record",2007-06-15,"2007","44.5103","-124.0733"
"2005603312","Scapania undulata","Herbarium record",1935-03-24,"1935","44.147696","-123.749256"
"2005603321","Scapania undulata","Herbarium record",1964-09-13,"1964","53.019167","-132.085555"
"2005603256","Scapania undulata","Herbarium record",1964-09-11,"1964","54.301605","-130.317403"
"2005603305","Scapania undulata","Herbarium record",1931-08-30,"1931","46.78622","-121.735372"
"2005603319","Scapania undulata","Herbarium record",1964-09-13,"1964","53.019167","-132.085555"
"2005603313","Scapania undulata","Herbarium record",1964-09-05,"1964","48.06611","-121.50778"
