"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989420382","Scorpidium revolvens","Herbarium record",1966-06-28,"1966","52.983333","-132.083333"
"1988668055","Scorpidium revolvens","Herbarium record",1967-07-01,"1967","53.133333","-132.083333"
"1988669220","Scorpidium revolvens","Herbarium record",,"1951","69.8","-155.383333"
"1989043408","Scorpidium revolvens","Herbarium record",1977-08-02,"1977","57.65","-126.766667"
"1989328650","Scorpidium revolvens","Herbarium record",1977-07-22,"1977","56.583333","-126.466667"
"1989402427","Scorpidium revolvens","Herbarium record",,"1951","69.8","-155.383333"
"1989046776","Scorpidium revolvens","Herbarium record",1977-07-28,"1977","57.416667","-126.816667"
"1989554483","Scorpidium revolvens","Herbarium record",1962-06-21,"1962","49.7","-124.433333"
"1989174452","Scorpidium revolvens","Herbarium record",,"1951","69.8","-155.383333"
"1989378620","Scorpidium revolvens","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"1988918067","Scorpidium revolvens","Herbarium record",1978-07-30,"1978","50.383333","-117.666667"
"1989257095","Scorpidium revolvens","Herbarium record",,"1951","70.65","-156.916667"
"1930082685","Scorpidium revolvens","Herbarium record",1966-07-04,"1966","68.1","-165.75"
"1929838912","Scorpidium revolvens","Herbarium record",1977-07-17,"1977","66.32","-150.4"
"1928610375","Scorpidium revolvens","Herbarium record",1952-07-26,"1952","69.37","-145.05"
"1930493612","Scorpidium revolvens","Herbarium record",1983-07-07,"1983","69.63","-142.25"
"1930077361","Scorpidium revolvens","Herbarium record",1976-08-08,"1976","67.05","-159.0"
"1928066916","Scorpidium revolvens","Herbarium record",1974-08-06,"1974","68.13","-151.75"
"1929118507","Scorpidium revolvens","Herbarium record",1963-07-10,"1963","68.78","-160.0"
"1928791244","Scorpidium revolvens","Herbarium record",1952-07-15,"1952","68.72","-156.5"
"1930524264","Scorpidium revolvens","Herbarium record",1983-07-24,"1983","69.47","-142.97"
"1928331538","Scorpidium revolvens","Herbarium record",1953-08-12,"1953","68.22","-151.62"
"2423961391","Scorpidium revolvens","Herbarium record",2006-08-23,"2006","51.75867","-176.49144"
"1928056356","Scorpidium revolvens","Herbarium record",1958-07-21,"1958","71.268921","-156.788611"
"1931352109","Scorpidium revolvens","Herbarium record",1963-07-05,"1963","70.48","-157.42"
"1930950424","Scorpidium revolvens","Herbarium record",1974-08-01,"1974","68.13","-151.75"
"2423987527","Scorpidium revolvens","Herbarium record",2008-07-18,"2008","51.8328413","-176.6687933"
"1931190649","Scorpidium revolvens","Herbarium record",1983-08-04,"1983","68.13","-147.17"
"2423971667","Scorpidium revolvens","Herbarium record",2007-08-07,"2007","53.83","-166.47"
"1931292636","Scorpidium revolvens","Herbarium record",1983-08-17,"1983","66.87","-151.75"
"1928938302","Scorpidium revolvens","Herbarium record",1974-07-12,"1974","68.13","-145.53"
"1931368469","Scorpidium revolvens","Herbarium record",1972-07-12,"1972","70.23","-150.92"
"1929342839","Scorpidium revolvens","Herbarium record",1952-07-12,"1952","68.72","-156.5"
"1929538294","Scorpidium revolvens","Herbarium record",1949-08-23,"1949","56.93","-158.62"
"1931237919","Scorpidium revolvens","Herbarium record",1961-07-11,"1961","68.13","-145.0"
