"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989022942","Scorpidium scorpioides","Herbarium record",,"1951","69.8","-155.38333"
"1988820069","Scorpidium scorpioides","Herbarium record",1977-07-19,"1977","56.58333","-126.41667"
"1989140491","Scorpidium scorpioides","Herbarium record",,"1951","69.466667","-151.5"
"1989523564","Scorpidium scorpioides","Herbarium record",1968-08-01,"1968","52.833333","-132.083333"
"1988719553","Scorpidium scorpioides","Herbarium record",1960-07-24,"1960","69.31667","-145.05"
"1989204576","Scorpidium scorpioides","Herbarium record",,"1951","69.8","-155.38333"
"1988772027","Scorpidium scorpioides","Herbarium record",1977-08-04,"1977","57.81667","-126.38333"
"1988878300","Scorpidium scorpioides","Herbarium record",1943-08-25,"1943","59.583333","-126.5"
"1988609636","Scorpidium scorpioides","Herbarium record",,"1951","68.883333","-161.166667"
"1928214341","Scorpidium scorpioides","Herbarium record",1973-07-23,"1973","69.77","-147.17"
"1928789373","Scorpidium scorpioides","Herbarium record",1951-07-03,"1951","69.8","-155.38"
"1928230224","Scorpidium scorpioides","Herbarium record",1977-07-27,"1977","70.32","-151.97"
"1928691307","Scorpidium scorpioides","Herbarium record",1973-07-12,"1973","70.47","-157.42"
"1931341042","Scorpidium scorpioides","Herbarium record",1951-09-24,"1951","59.7","-154.88"
"1928517657","Scorpidium scorpioides","Herbarium record",1972-08-06,"1972","71.321347","-156.658123"
"1928198603","Scorpidium scorpioides","Herbarium record",1976-07-27,"1976","67.6","-149.75"
"2447316665","Scorpidium scorpioides","Herbarium record",2008-07-07,"2008","51.850028","-176.700419"
"1929647601","Scorpidium scorpioides","Herbarium record",1972-07-12,"1972","70.23","-150.92"
"1931172167","Scorpidium scorpioides","Herbarium record",,"1890","51.43","-116.33"
"1929148594","Scorpidium scorpioides","Herbarium record",1960-08-02,"1960","69.38","-152.17"
"1928973938","Scorpidium scorpioides","Herbarium record",1972-07-12,"1972","70.23","-150.92"
"1928051651","Scorpidium scorpioides","Herbarium record",1974-08-01,"1974","68.13","-151.75"
"1929548870","Scorpidium scorpioides","Herbarium record",1996-07-07,"1996","54.92","-159.25"
"1929861648","Scorpidium scorpioides","Herbarium record",1974-07-15,"1974","68.13","-145.53"
"1928585224","Scorpidium scorpioides","Herbarium record",1951-08-22,"1951","66.918889","-151.516111"
"1929776928","Scorpidium scorpioides","Herbarium record",1953-08-11,"1953","66.93","-151.53"
"1931073932","Scorpidium scorpioides","Herbarium record",1974-07-12,"1974","68.13","-145.53"
"1929176714","Scorpidium scorpioides","Herbarium record",1990-08-09,"1990","68.62","-149.63"
"1929074447","Scorpidium scorpioides","Herbarium record",1972-08-07,"1972","70.2","-148.83"
