"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1928510121","Sphagnum alaskense","Herbarium record",2007-08-07,"2007","53.83","-166.47"
"1928773502","Sphagnum alaskense","Herbarium record",2006-08-20,"2006","51.83292","-176.67289"
"1928180332","Sphagnum alaskense","Herbarium record",2008-07-10,"2008","51.888819","-176.687228"
"1929579922","Sphagnum alaskense","Herbarium record",1985-09-02,"1985","63.25","-158.83"
"1931308174","Sphagnum alaskense","Herbarium record",2001-08-11,"2001","60.725","-150.58"
"1927843945","Sphagnum alaskense","Herbarium record",2001-08-02,"2001","60.725","-150.58"
"1931265728","Sphagnum alaskense","Herbarium record",2006-08-20,"2006","51.83292","-176.67289"
"1928806788","Sphagnum alaskense","Herbarium record",2008-08-10,"2008","60.5678","-149.575"
"1929377715","Sphagnum alaskense","Herbarium record",2001-08-06,"2001","58.37","-156.83"
"1929115041","Sphagnum alaskense","Herbarium record",2001-08-05,"2001","58.7","-156.63"
"1929200989","Sphagnum alaskense","Herbarium record",2007-08-07,"2007","53.83","-166.47"
"1928595844","Sphagnum alaskense","Herbarium record",1983-07-08,"1983","60.17","-167.25"
"1930217172","Sphagnum alaskense","Herbarium record",2001-08-02,"2001","60.725","-150.58"
"1929262839","Sphagnum alaskense","Herbarium record",1977-06-28,"1977","60.8","-149.0"
"4126246348","Sphagnum alaskense","Herbarium record",2008-07-10,"2008","51.888819","-176.687228"
"4126249355","Sphagnum alaskense","Herbarium record",2007-08-07,"2007","53.833333","-166.466667"
"4126252358","Sphagnum alaskense","Herbarium record",2007-08-07,"2007","53.833333","-166.466667"
"4126251359","Sphagnum alaskense","Herbarium record",2006-08-20,"2006","51.831333","-176.672972"
"1987877528","Sphagnum alaskense","Herbarium record",2007-08-07,"2007","53.8","-166.5"
"1987803308","Sphagnum alaskense","Herbarium record",2008-08-13,"2008","54.1233","-164.9711"
"1987829267","Sphagnum alaskense","Herbarium record",1998-06-25,"1998","57.3018","-127.148102"
"1987740605","Sphagnum alaskense","Herbarium record",2000-06-19,"2000","54.18","-130.21"
"1987876950","Sphagnum alaskense","Herbarium record",1994-08-04,"1994","51.8","-176.7"
"1987898965","Sphagnum alaskense","Herbarium record",2006-08-20,"2006","51.831","-176.673"
"1987906254","Sphagnum alaskense","Herbarium record",2003-07-19,"2003","66.56","-159.0"
"1987735766","Sphagnum alaskense","Herbarium record",2000-08-12,"2000","52.9","173.2"
"1987852239","Sphagnum alaskense","Herbarium record",2008-07-10,"2008","51.8888","-176.6872"
"1987909177","Sphagnum alaskense","Herbarium record",2008-07-24,"2008","51.8234","-176.6801"
"1987814408","Sphagnum alaskense","Herbarium record",1986-08-14,"1986","54.24","-130.16"
"1987876828","Sphagnum alaskense","Herbarium record",2006-08-20,"2006","51.831","-176.673"
"1987853053","Sphagnum alaskense","Herbarium record",2000-09-14,"2000","50.81","-128.21"
"1987906420","Sphagnum alaskense","Herbarium record",2000-08-22,"2000","52.84","173.14"
"1987730943","Sphagnum alaskense","Herbarium record",1986-08-08,"1986","52.8","-129.1"
"3016557535","Sphagnum alaskense","Herbarium record",2008-08-02,"2008","58.285278","-134.45"
"3016557532","Sphagnum alaskense","Herbarium record",2008-08-07,"2008","60.716667","-150.583333"
"5196028654","Sphagnum alaskense","Herbarium record",2012-08-29,"2012","59.6448","-149.75208"
"1042350948","Sphagnum alaskense","Herbarium record",2001-08-11,"2001","60.4478979","-151.0664775"
"1042351564","Sphagnum alaskense","Herbarium record",2001-08-05,"2001","58.6978972","-156.6329135"
"1042363428","Sphagnum alaskense","Herbarium record",2010-05-05,"2010","53.4192","-132.5493"
"1042444900","Sphagnum alaskense","Herbarium record",2010-05-09,"2010","53.3205","-132.5762"
"1042372845","Sphagnum alaskense","Herbarium record",1992-07-25,"1992","60.7978959","-149.1665433"
"1042351506","Sphagnum alaskense","Herbarium record",2008-08-03,"2008","58.6450187","-134.9335034"
"1042387684","Sphagnum alaskense","Herbarium record",2001-08-11,"2001","60.7167","-150.5833"
"2609731609","Sphagnum alaskense","Herbarium record",1997-08-14,"1997","54.9167","-162.3333"
"1042373542","Sphagnum alaskense","Herbarium record",2001-08-13,"2001","60.2311951","-151.3664707"
"1042341312","Sphagnum alaskense","Herbarium record",2000-08-03,"2000","53.1167","-132.4167"
"1042421856","Sphagnum alaskense","Herbarium record",2008-08-02,"2008","58.2881121","-134.6682138"
"1042372789","Sphagnum alaskense","Herbarium record",2001-08-06,"2001","58.3645929","-156.8663133"
"1042351715","Sphagnum alaskense","Herbarium record",2001-08-11,"2001","60.7146009","-150.5830905"
"1042351434","Sphagnum alaskense","Herbarium record",2000-08-03,"2000","53.1144374","-132.4171957"
"1042373469","Sphagnum alaskense","Herbarium record",2000-07-29,"2000","54.1644499","-130.2005671"
"1042410995","Sphagnum alaskense","Herbarium record",2000-07-31,"2000","54.0644483","-131.8005152"
"2609731693","Sphagnum alaskense","Herbarium record",1998-07-09,"1998","57.5667","-156.8"
"2609731844","Sphagnum alaskense","Herbarium record",1996-07-04,"1996","55.3333","-160.4833"
"1042421934","Sphagnum alaskense","Herbarium record",2001-08-17,"2001","60.7812743","-161.8160697"
"1042351461","Sphagnum alaskense","Herbarium record",2008-08-02,"2008","58.283112","-134.4504217"
"1042454384","Sphagnum alaskense","Herbarium record",2000-07-29,"2000","54.1644499","-130.2005671"
"1042349048","Sphagnum alaskense","Herbarium record",2001-08-18,"2001","60.7812743","-161.8160697"
"2609731807","Sphagnum alaskense","Herbarium record",2001-07-24,"2001","62.7972","-141.2917"
"1042454980","Sphagnum alaskense","Herbarium record",2000-08-01,"2000","53.2477388","-132.217202"
"1042351481","Sphagnum alaskense","Herbarium record",2008-07-22,"2008","51.8326825","-176.6636969"
"1042371031","Sphagnum alaskense","Herbarium record",2008-08-02,"2008","58.2882121","-134.6685138"
"1042458269","Sphagnum alaskense","Herbarium record",2000-07-31,"2000","54.0644483","-131.8005152"
"1042421911","Sphagnum alaskense","Herbarium record",2008-08-06,"2008","60.7255012","-150.5977897"
"1042421886","Sphagnum alaskense","Herbarium record",2001-08-18,"2001","60.7979747","-161.8160691"
"1987932881","Sphagnum alaskense","Herbarium record",2003-08-14,"2003","52.37","173.67"
"1987921618","Sphagnum alaskense","Herbarium record",2000-06-13,"2000","53.95","-130.27"
"1987830752","Sphagnum alaskense","Herbarium record",1986-08-13,"1986","54.0","-130.3"
