"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988936494","Sphagnum fuscum","Herbarium record",1977-06-20,"1977","63.1","-145.616667"
"1989470022","Sphagnum fuscum","Herbarium record",1984-09-04,"1984","58.35","-135.666667"
"1989404217","Sphagnum fuscum","Herbarium record",1986-08-17,"1986","58.266667","-134.516667"
"1989501235","Sphagnum fuscum","Herbarium record",1977-07-21,"1977","59.666667","-131.3"
"1988973020","Sphagnum fuscum","Herbarium record",1975-08-20,"1975","65.166667","-147.866667"
"1988962718","Sphagnum fuscum","Herbarium record",1975-07-02,"1975","52.3","-131.466667"
"1989089288","Sphagnum fuscum","Herbarium record",1975-07-02,"1975","52.3","-131.466667"
"1989099046","Sphagnum fuscum","Herbarium record",1965-04-18,"1965","52.0","-123.5"
"1989156072","Sphagnum fuscum","Herbarium record",1977-07-15,"1977","56.133333","-129.866667"
"1989264640","Sphagnum fuscum","Herbarium record",1971-09-07,"1971","65.166667","-147.883333"
"1989293794","Sphagnum fuscum","Herbarium record",1970-04-13,"1970","51.666667","-127.766667"
"1988663212","Sphagnum fuscum","Herbarium record",1983-08-07,"1983","67.833333","-144.0"
"1988684914","Sphagnum fuscum","Herbarium record",,"1951","70.65","-156.916667"
"1988689840","Sphagnum fuscum","Herbarium record",1974-08-10,"1974","65.1","-147.75"
"1988999160","Sphagnum fuscum","Herbarium record",1983-08-18,"1983","66.383333","-152.75"
"1989151688","Sphagnum fuscum","Herbarium record",,"1982","62.6","-141.033333"
"1989073676","Sphagnum fuscum","Herbarium record",,"1970","64.55","-165.433333"
"1989336552","Sphagnum fuscum","Herbarium record",,"1946","69.370833","-152.138333"
"1989153129","Sphagnum fuscum","Herbarium record",1973-07-09,"1973","67.883333","-155.083333"
"1988634199","Sphagnum fuscum","Herbarium record",1989-08-04,"1989","65.9","-157.466667"
"1988610178","Sphagnum fuscum","Herbarium record",1970-07-12,"1970","64.55","-165.433333"
"1988690380","Sphagnum fuscum","Herbarium record",1984-09-03,"1984","58.35","-135.666667"
"1988885547","Sphagnum fuscum","Herbarium record",1984-06-20,"1984","49.166667","-122.833333"
"1989035256","Sphagnum fuscum","Herbarium record",1983-08-17,"1983","66.583333","-151.916667"
"1988672150","Sphagnum fuscum","Herbarium record",1974-06-24,"1974","64.875","-147.766667"
"1989085203","Sphagnum fuscum","Herbarium record",1988-06-24,"1988","52.8","-119.183333"
"1989484195","Sphagnum fuscum","Herbarium record",1977-07-17,"1977","66.316667","-150.4"
"1988654007","Sphagnum fuscum","Herbarium record",1974-06-28,"1974","64.875","-147.766667"
"1988624368","Sphagnum fuscum","Herbarium record",1967-07-25,"1967","53.583333","-132.916667"
"1988629064","Sphagnum fuscum","Herbarium record",1975-07-02,"1975","52.3","-131.466667"
"1988914830","Sphagnum fuscum","Herbarium record",1977-07-17,"1977","66.316667","-150.4"
"1988990176","Sphagnum fuscum","Herbarium record",1972-08-18,"1972","65.4","-145.966667"
"1989060731","Sphagnum fuscum","Herbarium record",,"1970","58.783333","-122.716667"
