"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988698843","Sphagnum papillosum","Herbarium record",1982-05-21,"1982","49.083333","-122.833333"
"1989326717","Sphagnum papillosum","Herbarium record",1970-04-13,"1970","51.666667","-127.766667"
"1989391270","Sphagnum papillosum","Herbarium record",1975-07-01,"1975","52.333333","-131.45"
"1988624766","Sphagnum papillosum","Herbarium record",1975-06-28,"1975","52.933333","-132.1"
"1989176204","Sphagnum papillosum","Herbarium record",1977-06-26,"1977","60.466667","-151.1"
"1989109843","Sphagnum papillosum","Herbarium record",1975-07-02,"1975","52.3","-131.466667"
"1989078547","Sphagnum papillosum","Herbarium record",1981-08-18,"1981","50.166667","-127.75"
"1989308618","Sphagnum papillosum","Herbarium record",1997-01-24,"1997","47.733333","-124.333333"
"1988665609","Sphagnum papillosum","Herbarium record",1975-07-02,"1975","52.3","-131.466667"
"1988870814","Sphagnum papillosum","Herbarium record",1992-08-19,"1992","58.333333","-134.566667"
"1989195465","Sphagnum papillosum","Herbarium record",1967-07-30,"1967","53.966667","-132.833333"
"1989292370","Sphagnum papillosum","Herbarium record",1975-07-01,"1975","52.333333","-131.45"
"1988954059","Sphagnum papillosum","Herbarium record",1982-08-05,"1982","66.316667","-150.4"
"1989193884","Sphagnum papillosum","Herbarium record",1974-08-24,"1974","49.116667","-125.083333"
"1989367306","Sphagnum papillosum","Herbarium record",,"1981","60.833333","-150.9"
"1989126661","Sphagnum papillosum","Herbarium record",1971-07-02,"1971","52.083333","-130.983333"
"1989446204","Sphagnum papillosum","Herbarium record",1968-05-19,"1968","55.55","-133.05"
"1988903634","Sphagnum papillosum","Herbarium record",1967-07-28,"1967","52.75","-132.033333"
"1989438011","Sphagnum papillosum","Herbarium record",1975-07-02,"1975","52.3","-131.466667"
"1989535309","Sphagnum papillosum","Herbarium record",1975-07-02,"1975","52.3","-131.466667"
"1989210935","Sphagnum papillosum","Herbarium record",1975-06-28,"1975","52.933333","-132.1"
"4520859198","Sphagnum papillosum","Herbarium record",2006-07-29,"2006","61.16653","-149.80889"
"1988996629","Sphagnum papillosum","Herbarium record",1975-07-01,"1975","52.333333","-131.45"
"1988917847","Sphagnum papillosum","Herbarium record",1986-08-17,"1986","58.28333","-134.53333"
"1989481166","Sphagnum papillosum","Herbarium record",1970-04-13,"1970","51.666667","-127.766667"
"1989362690","Sphagnum papillosum","Herbarium record",1983-08-01,"1983","54.216667","-130.0"
"5863843391","Sphagnum papillosum","MATERIAL_SAMPLE",2024-04-24,"2024","50.173058","-125.29611"
"1929657721","Sphagnum papillosum","Herbarium record",1979-06-25,"1979","53.62","-129.78"
"1928255959","Sphagnum papillosum","Herbarium record",2015-09-06,"2015","58.0956","-135.3833"
"1928191043","Sphagnum papillosum","Herbarium record",1971-07-04,"1971","52.27","-131.32"
"1930405489","Sphagnum papillosum","Herbarium record",2008-07-19,"2008","51.83","-176.6797"
"1931319353","Sphagnum papillosum","Herbarium record",1992-07-19,"1992","58.33","-134.57"
"1931274398","Sphagnum papillosum","Herbarium record",1988-07-12,"1988","52.8","173.17"
"1929161711","Sphagnum papillosum","Herbarium record",1948-09-20,"1948","60.050833","-148.0675"
"1929823754","Sphagnum papillosum","Herbarium record",1983-07-21,"1983","53.68","-130.25"
"1929644384","Sphagnum papillosum","Herbarium record",1983-07-25,"1983","53.37","-129.42"
"1930000256","Sphagnum papillosum","Herbarium record",1968-05-19,"1968","55.55","-133.05"
"1931147809","Sphagnum papillosum","Herbarium record",,"1981","60.83","-150.9"
"1929668175","Sphagnum papillosum","Herbarium record",,"1982","47.17778","-120.79472"
"1928829058","Sphagnum papillosum","Herbarium record",1997-08-18,"1997","55.23","-162.77"
