"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989549209","Sphagnum squarrosum","Herbarium record",1966-07-14,"1966","69.383333","-152.166667"
"1989226580","Sphagnum squarrosum","Herbarium record",1966-07-14,"1966","69.383333","-152.166667"
"1989505383","Sphagnum squarrosum","Herbarium record",1951-07-22,"1951","69.466667","-151.5"
"1988598393","Sphagnum squarrosum","Herbarium record",1974-07-07,"1974","64.875","-147.683333"
"1988686132","Sphagnum squarrosum","Herbarium record",1975-06-30,"1975","52.933333","-132.1"
"1988688927","Sphagnum squarrosum","Herbarium record",1951-08-04,"1951","68.883333","-161.166667"
"1988779201","Sphagnum squarrosum","Herbarium record",1977-07-25,"1977","70.316667","-151.966667"
"1989161263","Sphagnum squarrosum","Herbarium record",1988-06-23,"1988","52.666667","-118.95"
"1989431607","Sphagnum squarrosum","Herbarium record",1968-08-04,"1968","52.833333","-132.133333"
"1989244695","Sphagnum squarrosum","Herbarium record",1951-07-03,"1951","69.8","-155.383333"
"1989378840","Sphagnum squarrosum","Herbarium record",1966-07-12,"1966","69.383333","-152.166667"
"1989393756","Sphagnum squarrosum","Herbarium record",1970-04-16,"1970","50.883333","-126.166667"
"1989080467","Sphagnum squarrosum","Herbarium record",1966-08-08,"1966","70.466667","-157.416667"
"1989077506","Sphagnum squarrosum","Herbarium record",1983-09-01,"1983","62.166667","-162.5"
"1989412801","Sphagnum squarrosum","Herbarium record",1966-07-21,"1966","68.783333","-160.0"
"1989437390","Sphagnum squarrosum","Herbarium record",1977-07-15,"1977","56.016667","-129.916667"
"1988792800","Sphagnum squarrosum","Herbarium record",1960-07-01,"1960","71.283333","-156.783333"
"1988692027","Sphagnum squarrosum","Herbarium record",1966-07-02,"1966","68.1","-165.75"
"1988762915","Sphagnum squarrosum","Herbarium record",1981-08-20,"1981","50.166667","-127.75"
"1989045111","Sphagnum squarrosum","Herbarium record",1974-07-27,"1974","64.916667","-147.833333"
"1989333007","Sphagnum squarrosum","Herbarium record",1966-07-12,"1966","69.383333","-152.166667"
"1989283519","Sphagnum squarrosum","Herbarium record",,"1946","69.370833","-152.138333"
"1988741230","Sphagnum squarrosum","Herbarium record",1945-10-01,"1945","47.733333","-121.066667"
"1988944638","Sphagnum squarrosum","Herbarium record",1977-07-15,"1977","56.066667","-129.133333"
"1989044696","Sphagnum squarrosum","Herbarium record",1974-07-27,"1974","64.916667","-147.833333"
"1989038305","Sphagnum squarrosum","Herbarium record",1968-07-31,"1968","52.966667","-131.75"
"1989308030","Sphagnum squarrosum","Herbarium record",1974-07-15,"1974","64.85","-147.916667"
"1988660311","Sphagnum squarrosum","Herbarium record",1983-07-09,"1983","60.283333","-166.25"
"1988778658","Sphagnum squarrosum","Herbarium record",1966-07-03,"1966","68.1","-165.75"
"1989006076","Sphagnum squarrosum","Herbarium record",1966-07-03,"1966","68.1","-165.75"
"1988890584","Sphagnum squarrosum","Herbarium record",1966-07-03,"1966","68.1","-165.75"
"1988716887","Sphagnum squarrosum","Herbarium record",1970-09-13,"1970","49.833333","-123.1"
"1988856681","Sphagnum squarrosum","Herbarium record",1983-08-28,"1983","61.166667","-161.083333"
"1989497932","Sphagnum squarrosum","Herbarium record",2014-09-11,"2014","43.74867","-122.00897"
"1989516364","Sphagnum squarrosum","Herbarium record",1974-07-01,"1974","64.866667","-147.783333"
"1989337986","Sphagnum squarrosum","Herbarium record",1974-08-24,"1974","65.066667","-147.666667"
"1988987422","Sphagnum squarrosum","Herbarium record",1974-08-05,"1974","64.866667","-147.85"
"1988748164","Sphagnum squarrosum","Herbarium record",1974-08-11,"1974","65.083333","-147.7"
"1988946463","Sphagnum squarrosum","Herbarium record",1977-07-16,"1977","57.083333","-130.25"
"1989072960","Sphagnum squarrosum","Herbarium record",1973-07-08,"1973","67.883333","-155.083333"
"1989017775","Sphagnum squarrosum","Herbarium record",1977-07-15,"1977","56.066667","-129.133333"
"1989031715","Sphagnum squarrosum","Herbarium record",1961-08-26,"1961","53.25","-132.333333"
"1989206399","Sphagnum squarrosum","Herbarium record",1974-08-06,"1974","64.875","-147.766667"
"1989078103","Sphagnum squarrosum","Herbarium record",1965-08-03,"1965","51.783333","-176.833333"
"1930967988","Sphagnum squarrosum","Herbarium record",,"1951","69.38","-152.17"
"1930724804","Sphagnum squarrosum","Herbarium record",1939-07-12,"1939","58.067222","-153.181944"
"1930342167","Sphagnum squarrosum","Herbarium record",1966-07-03,"1966","68.1","-165.75"
"1929794534","Sphagnum squarrosum","Herbarium record",2001-08-05,"2001","58.7","-156.65"
"1929965362","Sphagnum squarrosum","Herbarium record",1978-03-17,"1978","45.32","-123.93"
"1930074579","Sphagnum squarrosum","Herbarium record",1981-08-20,"1981","50.17","-127.75"
"1930449038","Sphagnum squarrosum","Herbarium record",1973-07-08,"1973","67.88","-155.08"
"1930429524","Sphagnum squarrosum","Herbarium record",1982-08-16,"1982","66.2","-148.13"
"1930582360","Sphagnum squarrosum","Herbarium record",,"1898","47.36139","-122.01917"
"1930593588","Sphagnum squarrosum","Herbarium record",2008-06-17,"2008","42.9031","-124.5039"
"1928699401","Sphagnum squarrosum","Herbarium record",,"1951","69.38","-152.17"
"1929528776","Sphagnum squarrosum","Herbarium record",1898-09-08,"1898","48.48222","-121.28778"
"1930972208","Sphagnum squarrosum","Herbarium record",1981-07-01,"1981","60.52","-150.2"
"1931297914","Sphagnum squarrosum","Herbarium record",1996-07-13,"1996","54.92","-159.25"
"1929303730","Sphagnum squarrosum","Herbarium record",1966-07-12,"1966","69.38","-152.17"
"1930884399","Sphagnum squarrosum","Herbarium record",1978-03-16,"1978","45.63","-123.93"
"1931339130","Sphagnum squarrosum","Herbarium record",1891-07-26,"1891","53.579167","-166.950278"
"2423967384","Sphagnum squarrosum","Herbarium record",2013-07-28,"2013","52.879039","-170.003589"
"1929802850","Sphagnum squarrosum","Herbarium record",1996-07-08,"1996","54.92","-159.25"
"1931378321","Sphagnum squarrosum","Herbarium record",1972-07-12,"1972","70.23","-150.92"
"1930021937","Sphagnum squarrosum","Herbarium record",1984-05-30,"1984","45.83","-123.83"
"1929594694","Sphagnum squarrosum","Herbarium record",1989-08-02,"1989","65.8","-157.12"
"1929811135","Sphagnum squarrosum","Herbarium record",1966-07-03,"1966","68.1","-165.75"
"1929937501","Sphagnum squarrosum","Herbarium record",1977-09-10,"1977","44.03","-121.58"
"1929401928","Sphagnum squarrosum","Herbarium record",1966-07-14,"1966","69.38","-152.17"
"1930067064","Sphagnum squarrosum","Herbarium record",1978-03-16,"1978","45.63","-123.93"
"1927961413","Sphagnum squarrosum","Herbarium record",1988-07-19,"1988","52.9","173.225"
"1928322600","Sphagnum squarrosum","Herbarium record",1986-08-07,"1986","51.75","-176.78"
"1930520008","Sphagnum squarrosum","Herbarium record",1960-08-05,"1960","69.28","-152.5"
"1927946116","Sphagnum squarrosum","Herbarium record",1949-07-26,"1949","63.351111","-169.515556"
"1928185687","Sphagnum squarrosum","Herbarium record",1939-07-12,"1939","57.992222","-152.969167"
"1928485632","Sphagnum squarrosum","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1930511979","Sphagnum squarrosum","Herbarium record",,"1943","55.342222","-131.646111"
"1929469477","Sphagnum squarrosum","Herbarium record",1906-10-20,"1906","46.20333","-123.38194"
"1929215451","Sphagnum squarrosum","Herbarium record",1969-06-28,"1969","64.85","-146.97"
"1929749789","Sphagnum squarrosum","Herbarium record",,"1951","69.38","-152.17"
"1930746682","Sphagnum squarrosum","Herbarium record",1986-09-03,"1986","44.5894","-122.4886"
"1927920045","Sphagnum squarrosum","Herbarium record",1961-07-30,"1961","68.28","-158.33"
"1928007092","Sphagnum squarrosum","Herbarium record",1939-07-12,"1939","58.067222","-153.181944"
"1929737803","Sphagnum squarrosum","Herbarium record",1899-06-10,"1899","58.3825","-135.912778"
"1929776290","Sphagnum squarrosum","Herbarium record",1892-06-18,"1892","59.436111","-146.328889"
"1928058453","Sphagnum squarrosum","Herbarium record",1997-08-13,"1997","54.92","-162.33"
