"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989399000","Sphenolobus minutus","Herbarium record",1974-09-29,"1974","50.4","-122.3"
"1988995108","Sphenolobus minutus","Herbarium record",1977-07-30,"1977","57.666667","-126.75"
"1931044562","Sphenolobus minutus","Herbarium record",1952-07-02,"1952","68.4","-154.85"
"1930510198","Sphenolobus minutus","Herbarium record",1952-06-28,"1952","68.97","-152.0"
"1928035561","Sphenolobus minutus","Herbarium record",1951-08-23,"1951","69.38","-152.17"
"1928716103","Sphenolobus minutus","Herbarium record",1973-07-23,"1973","69.77","-147.17"
"1928218495","Sphenolobus minutus","Herbarium record",1973-07-12,"1973","70.47","-157.42"
"1928640982","Sphenolobus minutus","Herbarium record",1973-07-12,"1973","70.47","-157.42"
"1928477866","Sphenolobus minutus","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1931252010","Sphenolobus minutus","Herbarium record",1974-11-01,"1974","62.606667","-143.073056"
"1931230366","Sphenolobus minutus","Herbarium record",1974-08-01,"1974","68.13","-151.75"
"1930823370","Sphenolobus minutus","Herbarium record",1952-07-22,"1952","69.37","-145.05"
"1928330308","Sphenolobus minutus","Herbarium record",1974-07-12,"1974","68.13","-145.53"
"1928389860","Sphenolobus minutus","Herbarium record",1973-06-23,"1973","69.37","-152.17"
"1930128456","Sphenolobus minutus","Herbarium record",1973-07-25,"1973","69.77","-147.17"
"1929212754","Sphenolobus minutus","Herbarium record",,"1973","68.840833","-161.1175"
"1928074267","Sphenolobus minutus","Herbarium record",1951-07-23,"1951","69.47","-151.5"
"1930212488","Sphenolobus minutus","Herbarium record",1951-07-05,"1951","69.8","-155.38"
"1930299401","Sphenolobus minutus","Herbarium record",1963-07-09,"1963","68.78","-160.0"
"1930787193","Sphenolobus minutus","Herbarium record",1949-07-01,"1949","61.783611","-147.658333"
"1928470763","Sphenolobus minutus","Herbarium record",1951-07-03,"1951","69.8","-155.38"
"1931142097","Sphenolobus minutus","Herbarium record",1975-07-27,"1975","66.9917","-156.15"
"1928511087","Sphenolobus minutus","Herbarium record",1996-07-13,"1996","54.92","-159.25"
"1928113849","Sphenolobus minutus","Herbarium record",1973-07-12,"1973","70.47","-157.42"
"1931337211","Sphenolobus minutus","Herbarium record",1974-07-12,"1974","68.13","-145.53"
"1930248966","Sphenolobus minutus","Herbarium record",1951-07-22,"1951","69.47","-151.5"
"1930136511","Sphenolobus minutus","Herbarium record",1953-08-12,"1953","68.22","-151.62"
"1930521554","Sphenolobus minutus","Herbarium record",1973-07-12,"1973","70.47","-157.42"
"1931068505","Sphenolobus minutus","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1930516028","Sphenolobus minutus","Herbarium record",1974-08-01,"1974","68.13","-151.75"
"1929473839","Sphenolobus minutus","Herbarium record",2010-06-04,"2010","44.845","-122.2061"
"1930818339","Sphenolobus minutus","Herbarium record",1951-07-05,"1951","69.8","-155.38"
"1928367931","Sphenolobus minutus","Herbarium record",1951-07-10,"1951","69.8","-155.38"
"1928717560","Sphenolobus minutus","Herbarium record",1973-06-23,"1973","69.77","-147.17"
"1930088482","Sphenolobus minutus","Herbarium record",1951-07-10,"1951","69.8","-155.38"
"1927870021","Sphenolobus minutus","Herbarium record",1973-07-26,"1973","68.75","-148.33"
"1929961754","Sphenolobus minutus","Herbarium record",1951-08-13,"1951","67.3","-150.25"
"1931128528","Sphenolobus minutus","Herbarium record",1973-07-23,"1973","68.18","-154.15"
"1930814169","Sphenolobus minutus","Herbarium record",1974-07-05,"1974","69.37","-152.13"
"1931017119","Sphenolobus minutus","Herbarium record",1974-08-13,"1974","69.32","-145.03"
"1929441289","Sphenolobus minutus","Herbarium record",1949-07-13,"1949","64.501111","-165.406389"
"1930848931","Sphenolobus minutus","Herbarium record",1952-07-01,"1952","68.4","-154.85"
"1927819399","Sphenolobus minutus","Herbarium record",1973-06-23,"1973","69.77","-147.17"
"1929427327","Sphenolobus minutus","Herbarium record",1951-08-13,"1951","67.3","-150.28"
"1929545634","Sphenolobus minutus","Herbarium record",1973-07-25,"1973","69.77","-147.17"
"1929561253","Sphenolobus minutus","Herbarium record",1973-06-23,"1973","69.77","-147.17"
"1931318808","Sphenolobus minutus","Herbarium record",1972-07-19,"1972","68.75","-160.0"
"1930518394","Sphenolobus minutus","Herbarium record",,"1973","69.366944","-152.144167"
"1929273190","Sphenolobus minutus","Herbarium record",1952-07-02,"1952","68.4","-154.85"
"1929932831","Sphenolobus minutus","Herbarium record",1956-07-23,"1956","63.42","-150.33"
"1928404177","Sphenolobus minutus","Herbarium record",1952-07-26,"1952","69.37","-145.05"
"1929344621","Sphenolobus minutus","Herbarium record",1973-07-23,"1973","69.77","-147.17"
"1928491658","Sphenolobus minutus","Herbarium record",1966-07-19,"1966","68.78","-160.0"
"1928866695","Sphenolobus minutus","Herbarium record",1973-07-03,"1973","67.77","-143.75"
"1928974856","Sphenolobus minutus","Herbarium record",1973-07-26,"1973","68.75","-148.33"
"1928492213","Sphenolobus minutus","Herbarium record",1952-06-28,"1952","68.97","-152.0"
"1927768684","Sphenolobus minutus","Herbarium record",2005-07-13,"2005","66.12453","-159.55161"
"1930275833","Sphenolobus minutus","Herbarium record",1973-07-12,"1973","70.47","-157.42"
"1927978855","Sphenolobus minutus","Herbarium record",1961-07-19,"1961","68.87","-158.37"
"1930008541","Sphenolobus minutus","Herbarium record",1952-06-28,"1952","68.97","-152.0"
"1930141246","Sphenolobus minutus","Herbarium record",1953-07-22,"1953","66.88","-162.55"
"1930485534","Sphenolobus minutus","Herbarium record",1951-08-14,"1951","68.88","-161.17"
"1927923588","Sphenolobus minutus","Herbarium record",1973-07-08,"1973","67.88","-155.08"
"1930963285","Sphenolobus minutus","Herbarium record",1951-07-03,"1951","69.8","-155.38"
"1929840997","Sphenolobus minutus","Herbarium record",1973-06-18,"1973","71.321347","-156.658123"
"1930056039","Sphenolobus minutus","Herbarium record",1952-06-27,"1952","69.38","-152.17"
"1928946631","Sphenolobus minutus","Herbarium record",,"1951","69.38","-152.17"
"1930139320","Sphenolobus minutus","Herbarium record",1973-07-27,"1973","68.48","-154.05"
"1928222295","Sphenolobus minutus","Herbarium record",,"1951","69.38","-152.17"
"1928529275","Sphenolobus minutus","Herbarium record",1956-07-24,"1956","63.42","-150.33"
