"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1804484160","Splachnum ampullaceum","Herbarium record",1977-08-18,"1977","50.3","-116.75"
"1804529787","Splachnum ampullaceum","Herbarium record",1985-08-05,"1985","54.0","-132.0"
"4132381388","Splachnum ampullaceum","Herbarium record",1974-07-01,"1974","59.416667","-126.133333"
"4132383382","Splachnum ampullaceum","Herbarium record",1997-03-05,"1997","47.741667","-124.25"
"4513899205","Splachnum ampullaceum","Herbarium record",1974-07-01,"1974","59.25","-126.08"
"1987744640","Splachnum ampullaceum","Herbarium record",2007-08-15,"2007","58.548908","-127.638901"
"1987893760","Splachnum ampullaceum","Herbarium record",2011-06-18,"2011","58.4","-134.66"
"1987856663","Splachnum ampullaceum","Herbarium record",1931-07-18,"1931","52.7","-121.5"
"1987934083","Splachnum ampullaceum","Herbarium record",,"1975","50.2","-127.8"
"4513887055","Splachnum ampullaceum","Herbarium record",1974-07-01,"1974","59.25","-126.08"
"1987931378","Splachnum ampullaceum","Herbarium record",1977-08-18,"1977","50.3","-116.3"
"1987926128","Splachnum ampullaceum","Herbarium record",,"1961","54.0","-130.4"
"1987892390","Splachnum ampullaceum","Herbarium record",2007-08-12,"2007","59.25","-128.585602"
"1987768877","Splachnum ampullaceum","Herbarium record",2008-09-21,"2008","57.87","-123.03"
"1987809973","Splachnum ampullaceum","Herbarium record",1957-07-04,"1957","54.1","-122.0"
"1987724957","Splachnum ampullaceum","Herbarium record",2003-07-16,"2003","66.47","-157.2"
"1987819639","Splachnum ampullaceum","Herbarium record",2007-08-13,"2007","58.541359","-127.6119"
"3016532921","Splachnum ampullaceum","Herbarium record",2008-08-08,"2008","60.45","-151.06667"
"4856253276","Splachnum ampullaceum","Herbarium record",2000-05-25,"2000","47.85","-124.283333"
"4856309074","Splachnum ampullaceum","Herbarium record",1997-03-05,"1997","47.741667","-124.25"
"4856462773","Splachnum ampullaceum","Herbarium record",2000-05-25,"2000","47.85","-124.283333"
"4856471519","Splachnum ampullaceum","Herbarium record",2000-05-25,"2000","47.85","-124.283333"
"5196025945","Splachnum ampullaceum","Herbarium record",2008-08-03,"2008","63.633604","-151.845748"
"5196026114","Splachnum ampullaceum","Herbarium record",2002-07-04,"2002","63.954611","-150.175173"
"5196028871","Splachnum ampullaceum","Herbarium record",2006-08-01,"2006","63.960099","-150.594069"
"5196032470","Splachnum ampullaceum","Herbarium record",1800-01-01,"1800","62.702791","-150.326304"
"5196116932","Splachnum ampullaceum","Herbarium record",1993-07-06,"1993","65.529667","-163.322"
"5895558538","Splachnum ampullaceum","Herbarium record",1980-09-10,"1980","42.2797634","-122.1977382"
"5895589258","Splachnum ampullaceum","Herbarium record",2013-08-13,"2013","47.985428","-123.114626"
"5895649543","Splachnum ampullaceum","Herbarium record",1954-08-16,"1954","60.3","-148.9"
"5895677619","Splachnum ampullaceum","Herbarium record",1957-08-24,"1957","54.116667","-122.0"
"1987918079","Splachnum ampullaceum","Herbarium record",1983-07-13,"1983","53.7","-132.1"
"1987878059","Splachnum ampullaceum","Herbarium record",2000-07-12,"2000","57.2","-158.1"
"1987839065","Splachnum ampullaceum","Herbarium record",1969-07-23,"1969","53.2","-131.8"
"1987823125","Splachnum ampullaceum","Herbarium record",2011-09-26,"2011","52.3","-119.2"
"1987724522","Splachnum ampullaceum","Herbarium record",1979-07-21,"1979","54.3","-128.5"
"1987737667","Splachnum ampullaceum","Herbarium record",2005-07-30,"2005","50.7","-115.6"
"1987857308","Splachnum ampullaceum","Herbarium record",2002-06-22,"2002","53.8","-132.1"
"1987806246","Splachnum ampullaceum","Herbarium record",2003-07-28,"2003","51.3","-117.5"
"1987725995","Splachnum ampullaceum","Herbarium record",2007-06-21,"2007","54.4","-162.7"
"1987855887","Splachnum ampullaceum","Herbarium record",1985-08-05,"1985","54.0","-132.0"
"1987903237","Splachnum ampullaceum","Herbarium record",1985-08-05,"1985","53.8","-132.1"
"1987757725","Splachnum ampullaceum","Herbarium record",1985-08-05,"1985","54.0","-132.0"
"1987782045","Splachnum ampullaceum","Herbarium record",1957-08-05,"1957","53.2","-131.8"
"2028249413","Splachnum ampullaceum","Herbarium record",1985-08-05,"1985","53.0","-132.0"
"4079505244","Splachnum ampullaceum","Herbarium record",2013-07-31,"2013","70.003526","-152.080033"
"4079510778","Splachnum ampullaceum","Herbarium record",2013-07-31,"2013","70.003526","-152.080033"
"4851117756","Splachnum ampullaceum","Herbarium record",1957-08-05,"1957","53.25","-132.333333"
"4952426154","Splachnum ampullaceum","iNat record",2024-08-25,"2024","53.870129","-132.080872"
"4945622461","Splachnum ampullaceum","iNat record",2023-05-12,"2023","47.952487","-124.03914"
"4414182361","Splachnum ampullaceum","iNat record",2023-09-09,"2023","60.976648","-149.116049"
"5828601431","Splachnum ampullaceum","iNat record",2025-09-13,"2025","52.145832","-128.094005"
"5897571622","Splachnum ampullaceum","iNat record",2025-07-15,"2025","53.624111","-132.761505"
"5892543318","Splachnum ampullaceum","iNat record",2025-07-19,"2025","52.356728","-131.421188"
"3881548636","Splachnum ampullaceum","iNat record",2022-08-01,"2022","54.040703","-131.881758"
"4952302629","Splachnum ampullaceum","iNat record",2024-08-23,"2024","53.930538","-132.088089"
"4980473452","Splachnum ampullaceum","iNat record",2024-07-29,"2024","54.513845","-124.252663"
"2251882167","Splachnum ampullaceum","iNat record",2019-04-28,"2019","54.30022","-130.25998"
"5760386324","Splachnum ampullaceum","iNat record",2024-08-13,"2024","53.585461","-132.893173"
"5037155996","Splachnum ampullaceum","iNat record",2024-08-14,"2024","53.579353","-132.897461"
"5892656262","Splachnum ampullaceum","iNat record",2025-07-12,"2025","54.069286","-131.812744"
"4438716363","Splachnum ampullaceum","iNat record",2023-08-19,"2023","58.503008","-122.692185"
"5837780633","Splachnum ampullaceum","iNat record",2025-09-21,"2025","55.40353","-127.766411"
"5206690676","Splachnum ampullaceum","iNat record",2025-06-09,"2025","51.641825","-128.022557"
"3925113943","Splachnum ampullaceum","iNat record",2022-09-13,"2022","52.308043","-128.35183"
"4176918770","Splachnum ampullaceum","iNat record",2023-05-26,"2023","53.927559","-132.106331"
"4978201275","Splachnum ampullaceum","iNat record",2024-07-29,"2024","57.149681","-135.580779"
"3966749571","Splachnum ampullaceum","iNat record",2022-09-13,"2022","52.30845","-128.351527"
