"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988724712","Tomentypnum nitens","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"1988790071","Tomentypnum nitens","Herbarium record",1943-07-28,"1943","59.366667","-126.05"
"1989050028","Tomentypnum nitens","Herbarium record",1971-05-15,"1971","64.616667","-165.7"
"1989257182","Tomentypnum nitens","Herbarium record",1943-09-04,"1943","56.916667","-122.2"
"1989507532","Tomentypnum nitens","Herbarium record",1943-06-11,"1943","57.083333","-122.583333"
"1988996503","Tomentypnum nitens","Herbarium record",1971-05-15,"1971","64.616667","-165.7"
"1988753438","Tomentypnum nitens","Herbarium record",1978-05-31,"1978","58.666667","-124.416667"
"1988860292","Tomentypnum nitens","Herbarium record",1977-08-04,"1977","57.816667","-126.383333"
"1989506218","Tomentypnum nitens","Herbarium record",1977-08-02,"1977","57.65","-126.766667"
"1928205258","Tomentypnum nitens","Herbarium record",2006-06-11,"2006","65.06403","-147.66144"
"1929846440","Tomentypnum nitens","Herbarium record",1951-07-11,"1951","70.65","-156.92"
"1930589225","Tomentypnum nitens","Herbarium record",1992-06-20,"1992","43.88","-121.8"
"1927851419","Tomentypnum nitens","Herbarium record",1966-06-24,"1966","68.88","-161.17"
"1928166614","Tomentypnum nitens","Herbarium record",1977-08-02,"1977","57.65","-126.77"
"2447332013","Tomentypnum nitens","Herbarium record",2013-07-13,"2013","53.274656","-124.83256"
"1928582232","Tomentypnum nitens","Herbarium record",1966-06-25,"1966","68.88","-161.17"
"1929201962","Tomentypnum nitens","Herbarium record",1951-08-18,"1951","67.41","-150.1075"
"1929218055","Tomentypnum nitens","Herbarium record",1960-07-24,"1960","68.633","-166.192"
"1928851443","Tomentypnum nitens","Herbarium record",1973-07-23,"1973","69.77","-147.17"
"1928919771","Tomentypnum nitens","Herbarium record",1949-08-08,"1949","62.52","-153.63"
"1929018600","Tomentypnum nitens","Herbarium record",1973-08-01,"1973","68.48","-154.05"
"1929692846","Tomentypnum nitens","Herbarium record",,"1982","62.82","-141.67"
"1928990103","Tomentypnum nitens","Herbarium record",1973-06-26,"1973","67.42","-153.72"
