"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989418544","Tortella spitsbergensis","Herbarium record",1982-07-28,"1982","67.6","-149.75"
"1930048378","Tortella spitsbergensis","Herbarium record",1982-08-02,"1982","70.25","-148.67"
"1927799464","Tortella spitsbergensis","Herbarium record",1974-07-26,"1974","69.88","-142.3"
"1930467780","Tortella spitsbergensis","Herbarium record",1953-08-12,"1953","68.22","-151.62"
"1929677752","Tortella spitsbergensis","Herbarium record",1982-07-29,"1982","68.45","-149.3"
"1931010110","Tortella spitsbergensis","Herbarium record",1973-07-06,"1973","68.1","-165.75"
"1928323191","Tortella spitsbergensis","Herbarium record",1953-08-12,"1953","68.22","-151.62"
"1930882397","Tortella spitsbergensis","Herbarium record",1973-07-23,"1973","69.77","-147.17"
"1930393683","Tortella spitsbergensis","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1929213055","Tortella spitsbergensis","Herbarium record",1973-07-24,"1973","69.77","-147.17"
"2005572488","Tortella spitsbergensis","Herbarium record",1977-07-26,"1977","58.444722","-124.860278"
"2005572435","Tortella spitsbergensis","Herbarium record",1977-07-26,"1977","58.433333","-125.383333"
"2005572501","Tortella spitsbergensis","Herbarium record",1977-07-26,"1977","58.433333","-125.383333"
"5198276967","Tortella spitsbergensis","Herbarium record",2014-07-22,"2014","68.499499","-146.033658"
"1987813341","Tortella spitsbergensis","Herbarium record",1977-07-26,"1977","58.4","-124.9"
"5196036021","Tortella spitsbergensis","Herbarium record",1993-07-16,"1993","65.333333","-163.45"
"5196036007","Tortella spitsbergensis","Herbarium record",1992-07-11,"1992","65.65","-164.333333"
"5196036002","Tortella spitsbergensis","Herbarium record",1992-07-11,"1992","65.65","-164.333333"
"5196036022","Tortella spitsbergensis","Herbarium record",1992-07-14,"1992","65.4","-164.666667"
"5196117081","Tortella spitsbergensis","Herbarium record",2016-06-30,"2016","68.4844","-142.4728"
"2252195257","Tortella spitsbergensis","Herbarium record",1977-07-26,"1977","58.435","-124.86"
"2252195103","Tortella spitsbergensis","Herbarium record",1977-07-26,"1977","58.435","-124.86"
"2252196063","Tortella spitsbergensis","Herbarium record",1974-07-26,"1974","69.883333","-142.3"
"4076840347","Tortella spitsbergensis","Herbarium record",1977-07-26,"1977","58.428009","-124.849978"
"5076448080","Tortella spitsbergensis","Herbarium record",1977-07-26,"1977","58.45","-124.933333"
"1987762550","Tortella spitsbergensis","Herbarium record",1977-07-26,"1977","58.4","-124.9"
"1987767366","Tortella spitsbergensis","Herbarium record",1977-07-26,"1977","58.4","-124.9"
"1987928333","Tortella spitsbergensis","Herbarium record",1982-07-29,"1982","68.5","-149.3"
"1987850140","Tortella spitsbergensis","Herbarium record",1977-07-26,"1977","58.4","-124.9"
"1987763617","Tortella spitsbergensis","Herbarium record",1977-07-26,"1977","58.4","-124.9"
"4849576255","Tortella spitsbergensis","Herbarium record",1973-07-04,"1973","68.1","-165.75"
"1211207394","Tortella spitsbergensis","Herbarium record",1990-08-09,"1990","68.616667","-149.633333"
"79074114","Tortella spitsbergensis","Herbarium record",1998-08-03,"1998","64.939167","-166.198333"
"1261771355","Tortella spitsbergensis","Herbarium record",1953-08-12,"1953","68.21666","-151.61666"
"1261771365","Tortella spitsbergensis","Herbarium record",1951-08-04,"1951","68.88333","-161.16666"
"1261771385","Tortella spitsbergensis","Herbarium record",1977-07-20,"1977","68.45","-149.3"
"2028216930","Tortella spitsbergensis","Herbarium record",1982-07-28,"1982","67.6","-149.75"
"2028236974","Tortella spitsbergensis","Herbarium record",1976-07-17,"1976","58.666667","-124.666667"
"2028174396","Tortella spitsbergensis","Herbarium record",1982-07-29,"1982","68.45","-149.3"
"2028228683","Tortella spitsbergensis","Herbarium record",1967-07-29,"1967","63.458132","-150.850009"
