"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989026414","Tortella tortuosa","Herbarium record",1968-08-01,"1968","52.833333","-132.083333"
"1989421417","Tortella tortuosa","Herbarium record",1944-07-27,"1944","60.766667","-148.683333"
"1989445113","Tortella tortuosa","Herbarium record",1977-07-26,"1977","57.433333","-126.85"
"1989246547","Tortella tortuosa","Herbarium record",1944-07-27,"1944","60.766667","-148.683333"
"1989091339","Tortella tortuosa","Herbarium record",1988-06-25,"1988","52.633333","-119.05"
"1989159287","Tortella tortuosa","Herbarium record",1943-07-18,"1943","58.633333","-124.666667"
"2248814422","Tortella tortuosa","MATERIAL_SAMPLE",2010-05-05,"2010","53.276","-132.096"
"1929068158","Tortella tortuosa","Herbarium record",1972-08-18,"1972","65.48","-145.42"
"1928958354","Tortella tortuosa","Herbarium record",1974-08-01,"1974","68.13","-151.75"
"1931185666","Tortella tortuosa","Herbarium record",1974-08-01,"1974","68.13","-151.75"
"1928220105","Tortella tortuosa","Herbarium record",1951-07-03,"1951","69.8","-155.38"
"1929206726","Tortella tortuosa","Herbarium record",1972-08-18,"1972","65.48","-145.42"
"1929068565","Tortella tortuosa","Herbarium record",1974-07-16,"1974","68.13","-145.53"
"1931290908","Tortella tortuosa","Herbarium record",1977-07-26,"1977","57.43","-126.85"
"1929745489","Tortella tortuosa","Herbarium record",1997-08-15,"1997","54.92","-162.33"
"5135826751","Tortella tortuosa","Herbarium record",1979-09-11,"1979","65.38","-145.95"
"1929618206","Tortella tortuosa","Herbarium record",1963-03-26,"1963","47.19083","-122.58139"
"1928626618","Tortella tortuosa","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"5132787511","Tortella tortuosa","Herbarium record",1976-06-23,"1976","67.07","-156.92"
"1928954938","Tortella tortuosa","Herbarium record",1974-07-26,"1974","69.88","-142.3"
"1930396881","Tortella tortuosa","Herbarium record",1984-06-10,"1984","50.35","-115.83"
"1931164139","Tortella tortuosa","Herbarium record",1974-08-02,"1974","68.13","-151.75"
"2423967627","Tortella tortuosa","Herbarium record",2008-08-20,"2008","53.3206593","-168.3762008"
"1930379527","Tortella tortuosa","Herbarium record",1952-07-21,"1952","68.2","-152.78"
"1928359778","Tortella tortuosa","Herbarium record",1980-08-04,"1980","53.07","-119.22"
"5132792911","Tortella tortuosa","Herbarium record",1977-07-30,"1977","58.78","-125.12"
"5132789334","Tortella tortuosa","Herbarium record",1961-07-19,"1961","68.87","-158.37"
"1931008228","Tortella tortuosa","Herbarium record",,"1975","66.95","-156.17"
"1929470366","Tortella tortuosa","Herbarium record",1991-06-25,"1991","52.58","-118.97"
"5132800644","Tortella tortuosa","Herbarium record",1973-07-03,"1973","68.1","-165.75"
"1927773525","Tortella tortuosa","Herbarium record",1974-07-26,"1974","69.88","-142.3"
"5132794689","Tortella tortuosa","Herbarium record",1976-06-08,"1976","66.97","-156.13"
"1929190379","Tortella tortuosa","Herbarium record",1952-07-11,"1952","68.72","-156.5"
"5069383371","Tortella tortuosa","Herbarium record",1977-07-18,"1977","58.25","-129.48"
"1928483351","Tortella tortuosa","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1929428256","Tortella tortuosa","Herbarium record",1980-08-27,"1980","50.37","-115.78"
"1929509748","Tortella tortuosa","Herbarium record",1974-08-07,"1974","69.32","-145.05"
"1928164098","Tortella tortuosa","Herbarium record",1952-07-19,"1952","68.2","-152.78"
"5132801644","Tortella tortuosa","Herbarium record",1973-07-03,"1973","68.1","-165.75"
"1928860512","Tortella tortuosa","Herbarium record",1952-07-19,"1952","68.2","-152.78"
"2005571637","Tortella tortuosa","Herbarium record",1962-07-10,"1962","53.25","-132.333333"
"2005571642","Tortella tortuosa","Herbarium record",1974-08-20,"1974","49.183333","-121.73333"
"2005571621","Tortella tortuosa","Herbarium record",1964-09-27,"1964","59.866667","-132.5"
"2005571616","Tortella tortuosa","Herbarium record",1964-09-12,"1964","53.25","-132.333333"
"2005571607","Tortella tortuosa","Herbarium record",1966-07-06,"1966","52.333333","-131.475"
"2005571640","Tortella tortuosa","Herbarium record",1963-03-26,"1963","48.863458","-121.682363"
"2005571648","Tortella tortuosa","Herbarium record",1992-07-26,"1992","59.883333","-138.31667"
"2005571736","Tortella tortuosa","Herbarium record",1898-04-15,"1898","48.17528","-117.72361"
"2005571675","Tortella tortuosa","Herbarium record",,"1928","51.466667","-116.583333"
"2005571515","Tortella tortuosa","Herbarium record",1909-05-27,"1909","50.860556","-118.551389"
"2005571618","Tortella tortuosa","Herbarium record",1977-07-30,"1977","57.666667","-126.75"
"2005571619","Tortella tortuosa","Herbarium record",1970-11-15,"1970","51.483333","-116.48333"
"2005571672","Tortella tortuosa","Herbarium record",1968-07-01,"1968","62.214371","-146.827274"
"2005571625","Tortella tortuosa","Herbarium record",1965-05-05,"1965","48.933333","-125.516667"
"2005571638","Tortella tortuosa","Herbarium record",1968-08-11,"1968","58.781111","-136.146667"
"2005571573","Tortella tortuosa","Herbarium record",1979-09-20,"1979","64.575833","-165.356667"
"2005571583","Tortella tortuosa","Herbarium record",,"1964","52.997778","-123.6075"
"2005571578","Tortella tortuosa","Herbarium record",1971-06-19,"1971","59.416667","-133.916667"
"2828819397","Tortella tortuosa","Herbarium record",1989-08-20,"1989","49.183333","-121.733333"
"1804475630","Tortella tortuosa","Herbarium record",1971-07-07,"1971","52.7667","-131.867"
"1804485437","Tortella tortuosa","Herbarium record",1979-06-13,"1979","49.1667","-121.667"
"1804538453","Tortella tortuosa","Herbarium record",1976-07-16,"1976","58.9333","-125.833"
"1804479805","Tortella tortuosa","Herbarium record",1974-06-29,"1974","58.6167","-124.717"
