"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989496241","Tortula hoppeana","Herbarium record",1977-07-20,"1977","56.55","-126.433333"
"1928553238","Tortula hoppeana","Herbarium record",1973-06-21,"1973","69.37","-152.17"
"2423963446","Tortula hoppeana","Herbarium record",2008-08-16,"2008","54.049989","-165.512939"
"1931380467","Tortula hoppeana","Herbarium record",1997-08-12,"1997","54.92","-162.33"
"1929729968","Tortula hoppeana","Herbarium record",1951-07-21,"1951","69.38","-152.17"
"1927770339","Tortula hoppeana","Herbarium record",1963-07-05,"1963","46.49972","-122.37111"
"1928737970","Tortula hoppeana","Herbarium record",1953-07-27,"1953","68.878113","-166.196494"
"1930332129","Tortula hoppeana","Herbarium record",1977-07-20,"1977","56.55","-126.43"
"1928194480","Tortula hoppeana","Herbarium record",1952-07-25,"1952","69.37","-145.05"
"1928452040","Tortula hoppeana","Herbarium record",1962-07-26,"1962","48.26667","-124.675"
"1927831212","Tortula hoppeana","Herbarium record",1956-08-02,"1956","63.53","-151.0"
"1928718212","Tortula hoppeana","Herbarium record",1973-06-21,"1973","69.37","-152.17"
"1931299810","Tortula hoppeana","Herbarium record",1997-08-12,"1997","54.92","-162.33"
"1930218764","Tortula hoppeana","Herbarium record",1973-06-21,"1973","69.37","-152.17"
"1931180052","Tortula hoppeana","Herbarium record",1963-08-22,"1963","46.91556","-121.68361"
"1931318251","Tortula hoppeana","Herbarium record",1891-08-23,"1891","53.87","-166.53"
"1930291981","Tortula hoppeana","Herbarium record",1997-07-15,"1997","57.15","-170.25"
"1930321831","Tortula hoppeana","Herbarium record",1998-09-15,"1998","42.2594","-122.4992"
"1930794511","Tortula hoppeana","Herbarium record",1974-08-15,"1974","69.32","-145.03"
"1929514494","Tortula hoppeana","Herbarium record",1963-08-22,"1963","46.91556","-121.68361"
"1930272340","Tortula hoppeana","Herbarium record",1974-08-20,"1974","68.37","-154.65"
"1928820808","Tortula hoppeana","Herbarium record",1951-07-21,"1951","69.38","-152.17"
"1928408676","Tortula hoppeana","Herbarium record",1976-07-26,"1976","68.13","-149.5"
"1929410686","Tortula hoppeana","Herbarium record",1963-07-08,"1963","68.78","-160.0"
"2005535404","Tortula hoppeana","Herbarium record",1927-07-22,"1927","51.5","-116.466667"
"2005535435","Tortula hoppeana","Herbarium record",1963-07-05,"1963","46.88333","-121.88333"
"2005535526","Tortula hoppeana","Herbarium record",1928-07-07,"1928","50.533333","-116.06667"
"2005535415","Tortula hoppeana","Herbarium record",1977-08-05,"1977","57.816667","-126.383333"
"1804392777","Tortula hoppeana","Herbarium record",1981-07-20,"1981","58.3333","-129.5"
"1804445345","Tortula hoppeana","Herbarium record",1977-07-20,"1977","56.55","-126.433"
"1804455028","Tortula hoppeana","Herbarium record",1977-08-05,"1977","57.8167","-126.383"
"1804537683","Tortula hoppeana","Herbarium record",1977-07-20,"1977","56.55","-126.433"
"1804600155","Tortula hoppeana","Herbarium record",1956-06-06,"1956","54.5","-127.5"
"1804510362","Tortula hoppeana","Herbarium record",1981-07-18,"1981","58.3333","-129.5"
"1804587281","Tortula hoppeana","Herbarium record",1969-07-25,"1969","51.05","-115.781"
"1804443196","Tortula hoppeana","Herbarium record",1961-07-19,"1961","52.0","-120.0"
"1804365475","Tortula hoppeana","Herbarium record",1977-08-04,"1977","57.8333","-126.383"
"1804481954","Tortula hoppeana","Herbarium record",1977-07-26,"1977","57.4333","-126.85"
"1949668596","Tortula hoppeana","Herbarium record",1977-09-01,"1977","49.883333","-114.883333"
"2520195941","Tortula hoppeana","Herbarium record",2008-08-16,"2008","54.049989","-165.512939"
"3969423330","Tortula hoppeana","Herbarium record",2005-06-29,"2005","57.4535","-154.586556"
"3969420329","Tortula hoppeana","Herbarium record",2005-06-29,"2005","57.4535","-154.586556"
"1884022396","Tortula hoppeana","Herbarium record",2017-07-08,"2017","47.873028","-123.06275"
"1987876847","Tortula hoppeana","Herbarium record",1992-07-26,"1992","59.9","-137.8"
"1987757369","Tortula hoppeana","Herbarium record",1976-07-10,"1976","49.7","-117.2"
"1987900025","Tortula hoppeana","Herbarium record",1976-07-26,"1976","59.0","-133.0"
"1987891194","Tortula hoppeana","Herbarium record",1998-07-14,"1998","57.6","-156.8"
"1987814600","Tortula hoppeana","Herbarium record",1978-07-26,"1978","49.8","-117.6"
"1987860802","Tortula hoppeana","Herbarium record",1976-05-20,"1976","49.3","-118.1"
"1987765532","Tortula hoppeana","Herbarium record",1981-07-29,"1981","51.8","-119.9"
"1987910979","Tortula hoppeana","Herbarium record",,"1963","46.21","-119.21"
"1987786150","Tortula hoppeana","Herbarium record",1963-08-22,"1963","46.89","-122.69"
"1987767795","Tortula hoppeana","Herbarium record",1963-10-19,"1963","45.75","-122.66"
"1987803648","Tortula hoppeana","Herbarium record",1976-07-10,"1976","60.0","-136.9"
"1987739084","Tortula hoppeana","Herbarium record",1952-07-25,"1952","69.4","-145.0"
"1987757919","Tortula hoppeana","Herbarium record",1963-10-19,"1963","46.7","-118.23"
"1987856075","Tortula hoppeana","Herbarium record",1978-07-14,"1978","49.8","-117.1"
"1987862556","Tortula hoppeana","Herbarium record",,"2003","51.78222","-124.8411"
"1987898735","Tortula hoppeana","Herbarium record",1975-09-14,"1975","50.1","-122.8"
"1987777128","Tortula hoppeana","Herbarium record",,"1976","59.0","-133.0"
"1987746528","Tortula hoppeana","Herbarium record",1976-07-09,"1976","59.7","-136.8"
"1987825032","Tortula hoppeana","Herbarium record",1962-07-26,"1962","46.7","-118.23"
"1987766221","Tortula hoppeana","Herbarium record",1964-06-20,"1964","49.1","-120.8"
"1987736297","Tortula hoppeana","Herbarium record",1955-07-10,"1955","51.4","-116.3"
"1987733978","Tortula hoppeana","Herbarium record",1977-08-24,"1977","51.2","-123.1"
"1987738225","Tortula hoppeana","Herbarium record",1976-07-09,"1976","59.7","-136.8"
"1987888501","Tortula hoppeana","Herbarium record",1977-07-18,"1977","58.3","-129.5"
"1987867125","Tortula hoppeana","Herbarium record",,"1976","59.0","-133.0"
"1987825082","Tortula hoppeana","Herbarium record",1969-07-05,"1969","49.7","-118.9"
"1987863170","Tortula hoppeana","Herbarium record",1983-08-17,"1983","49.1","-120.2"
"1987741826","Tortula hoppeana","Herbarium record",1977-08-16,"1977","51.2","-123.1"
"1987775982","Tortula hoppeana","Herbarium record",1983-09-29,"1983","49.6","-123.1"
"1987884887","Tortula hoppeana","Herbarium record",1963-07-03,"1963","47.91","-122.1"
"1987751357","Tortula hoppeana","Herbarium record",1977-08-19,"1977","50.5","-116.0"
"1987758722","Tortula hoppeana","Herbarium record",1974-08-23,"1974","59.0","-133.0"
"1987739051","Tortula hoppeana","Herbarium record",1977-07-21,"1977","59.7","-131.5"
"1987836011","Tortula hoppeana","Herbarium record",1960-07-27,"1960","69.3","-145.0"
"1987839941","Tortula hoppeana","Herbarium record",1977-07-25,"1977","49.8","-117.1"
"1987866270","Tortula hoppeana","Herbarium record",,"1976","59.0","-133.0"
"1987818178","Tortula hoppeana","Herbarium record",,"1976","59.0","-133.0"
"1987872633","Tortula hoppeana","Herbarium record",1970-09-13,"1970","50.1","-122.8"
"1987802427","Tortula hoppeana","Herbarium record",1974-08-24,"1974","46.6","-122.86"
"1987867680","Tortula hoppeana","Herbarium record",1997-07-14,"1997","57.2","-170.3"
"1987810065","Tortula hoppeana","Herbarium record",1977-07-13,"1977","51.2","-123.1"
"1987831088","Tortula hoppeana","Herbarium record",1977-08-04,"1977","51.2","-123.1"
"1987850795","Tortula hoppeana","Herbarium record",2013-09-13,"2013","51.3372","-116.3467"
"1987746309","Tortula hoppeana","Herbarium record",1981-07-20,"1981","58.3","-129.5"
"1987734136","Tortula hoppeana","Herbarium record",1966-09-13,"1966","49.9","-123.0"
"1987818694","Tortula hoppeana","Herbarium record",,"1976","59.0","-133.0"
"1987722515","Tortula hoppeana","Herbarium record",1977-07-13,"1977","51.2","-123.1"
"1987720360","Tortula hoppeana","Herbarium record",1977-07-14,"1977","51.2","-123.1"
"1987929849","Tortula hoppeana","Herbarium record",1978-07-17,"1978","50.3","-117.1"
"1987741904","Tortula hoppeana","Herbarium record",1977-07-22,"1977","50.0","-117.3"
"1987869185","Tortula hoppeana","Herbarium record",2005-06-29,"2005","57.454","-154.587"
"1987864436","Tortula hoppeana","Herbarium record",1968-09-21,"1968","50.1","-122.8"
"1987832912","Tortula hoppeana","Herbarium record",,"1976","59.0","-133.0"
"1987791627","Tortula hoppeana","Herbarium record",1978-08-21,"1978","50.7","-116.8"
"1987774911","Tortula hoppeana","Herbarium record",1976-07-23,"1976","51.2","-117.5"
"1987763470","Tortula hoppeana","Herbarium record",1974-10-13,"1974","50.1","-122.8"
"1987748377","Tortula hoppeana","Herbarium record",2006-08-03,"2006","54.43","-162.71"
"1987729704","Tortula hoppeana","Herbarium record",1976-05-20,"1976","49.3","-116.8"
"1987785767","Tortula hoppeana","Herbarium record",1963-10-19,"1963","46.7","-118.23"
"1804390046","Tortula hoppeana","Herbarium record",1977-07-20,"1977","56.55","-126.433"
"1804364683","Tortula hoppeana","Herbarium record",1983-09-29,"1983","49.5833","-123.083"
"4997524452","Tortula hoppeana","Herbarium record",1977-07-26,"1977","57.433333","-126.85"
"4035311371","Tortula hoppeana","Herbarium record",1982-07-30,"1982","68.48333","-149.41667"
"4856276600","Tortula hoppeana","Herbarium record",1999-06-24,"1999","47.290278","-120.550833"
"4856502545","Tortula hoppeana","Herbarium record",1998-08-08,"1998","47.783333","-123.483333"
"4856256806","Tortula hoppeana","Herbarium record",1999-06-24,"1999","47.290278","-120.550833"
"4856495677","Tortula hoppeana","Herbarium record",2002-07-25,"2002","42.781667","-118.758333"
"5196186611","Tortula hoppeana","Herbarium record",1998-07-14,"1998","57.566667","-156.8"
"5196204935","Tortula hoppeana","Herbarium record",1997-08-12,"1997","54.916667","-162.333333"
"5196207349","Tortula hoppeana","Herbarium record",2009-06-22,"2009","63.507692","-150.06169"
"5196207486","Tortula hoppeana","Herbarium record",2009-07-28,"2009","63.41934","-150.666453"
"5196220040","Tortula hoppeana","Herbarium record",1993-07-28,"1993","55.266667","-162.883333"
"5196220042","Tortula hoppeana","Herbarium record",1992-07-10,"1992","64.916667","-164.983333"
"5196220044","Tortula hoppeana","Herbarium record",1992-07-26,"1992","66.333333","-164.116667"
"5196220051","Tortula hoppeana","Herbarium record",1993-06-28,"1993","61.1","-149.666667"
"5196220155","Tortula hoppeana","Herbarium record",1952-07-30,"1952","69.366667","-145.05"
"5196220156","Tortula hoppeana","Herbarium record",1976-07-26,"1976","68.133333","-149.5"
"5196220157","Tortula hoppeana","Herbarium record",1951-07-21,"1951","69.383333","-152.166667"
"5196220158","Tortula hoppeana","Herbarium record",1951-08-23,"1951","69.383333","-152.166667"
"5196220159","Tortula hoppeana","Herbarium record",1992-07-10,"1992","64.916667","-164.983333"
"5196220160","Tortula hoppeana","Herbarium record",1977-07-21,"1977","69.033333","-148.766667"
"5196220161","Tortula hoppeana","Herbarium record",1976-07-26,"1976","68.133333","-149.5"
"5196233655","Tortula hoppeana","Herbarium record",2006-07-20,"2006","63.751621","-149.194983"
"5196233714","Tortula hoppeana","Herbarium record",2006-07-21,"2006","63.758193","-149.407452"
"5196233771","Tortula hoppeana","Herbarium record",2001-07-30,"2001","63.649532","-149.232159"
"2252194627","Tortula hoppeana","Herbarium record",1956-08-02,"1956","63.533333","-151.0"
"5895554917","Tortula hoppeana","Herbarium record",1959-06-29,"1959","47.94889","-123.25806"
