"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1929556263","Tortula laureri","Herbarium record",1974-08-13,"1974","69.32","-145.03"
"1931021260","Tortula laureri","Herbarium record",1952-07-25,"1952","69.37","-145.05"
"1929976915","Tortula laureri","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1930111850","Tortula laureri","Herbarium record",1965-07-25,"1965","69.37","-145.05"
"1929392686","Tortula laureri","Herbarium record",1961-07-25,"1961","68.87","-158.37"
"1928375118","Tortula laureri","Herbarium record",1952-07-17,"1952","68.72","-156.5"
"1927871856","Tortula laureri","Herbarium record",1963-07-13,"1963","68.78","-160.0"
"1928801186","Tortula laureri","Herbarium record",1974-08-20,"1974","68.37","-154.58"
"1928436469","Tortula laureri","Herbarium record",1966-07-03,"1966","68.1","-165.75"
"1928496885","Tortula laureri","Herbarium record",1960-07-15,"1960","68.88","-164.62"
"1928523288","Tortula laureri","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1930845508","Tortula laureri","Herbarium record",1952-07-13,"1952","68.72","-156.5"
"1928949358","Tortula laureri","Herbarium record",1952-07-17,"1952","68.72","-156.5"
"1928647009","Tortula laureri","Herbarium record",1952-07-22,"1952","68.2","-152.78"
"1927926778","Tortula laureri","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1928966403","Tortula laureri","Herbarium record",1951-07-11,"1951","70.65","-156.92"
"1928554377","Tortula laureri","Herbarium record",1952-07-25,"1952","69.37","-145.05"
"1928915171","Tortula laureri","Herbarium record",1960-07-25,"1960","69.37","-145.05"
"1929360240","Tortula laureri","Herbarium record",1963-07-10,"1963","68.78","-160.0"
"1930056344","Tortula laureri","Herbarium record",1965-07-25,"1965","69.37","-145.05"
"1930176451","Tortula laureri","Herbarium record",1961-07-25,"1961","68.87","-158.37"
"1930170162","Tortula laureri","Herbarium record",1963-07-14,"1963","68.78","-160.0"
"1930638973","Tortula laureri","Herbarium record",1952-07-12,"1952","68.72","-156.5"
"1928270789","Tortula laureri","Herbarium record",1951-07-03,"1951","69.8","-155.38"
"1929032582","Tortula laureri","Herbarium record",1952-07-22,"1952","68.2","-152.78"
"1929243036","Tortula laureri","Herbarium record",1953-07-29,"1953","68.878113","-166.196494"
"1987745246","Tortula laureri","Herbarium record",1951-07-20,"1951","69.2","-143.8"
"5196186593","Tortula laureri","Herbarium record",1952-07-30,"1952","69.366667","-145.05"
"5196186600","Tortula laureri","Herbarium record",1951-07-11,"1951","70.65","-156.916667"
"5196186603","Tortula laureri","Herbarium record",1952-07-25,"1952","69.366667","-145.05"
"5196186609","Tortula laureri","Herbarium record",1977-07-23,"1977","68.366667","-149.3"
"5196186614","Tortula laureri","Herbarium record",1951-08-04,"1951","68.883333","-161.166667"
"5196186615","Tortula laureri","Herbarium record",1977-07-23,"1977","68.366667","-149.3"
"5895657822","Tortula laureri","Herbarium record",1952-07-25,"1952","69.366667","-145.05"
"4068399888","Tortula laureri","Herbarium record",1998-09-02,"1998","43.125","-122.125"
"1261794950","Tortula laureri","Herbarium record",1977-07-23,"1977","68.36666","-149.3"
"1261794978","Tortula laureri","Herbarium record",1977-07-23,"1977","68.36666","-149.3"
"2028173478","Tortula laureri","Herbarium record",,"1952","69.366667","-145.05"
"4909566727","Tortula laureri","Herbarium record",1949-06-29,"1949","68.33","-151.0"
"3467350184","Tortula laureri","Herbarium record",1952-07-25,"1952","69.37","-145.05"
"4997564988","Tortula laureri","Herbarium record",1951-07-03,"1951","69.8","-155.383333"
"4997525748","Tortula laureri","Herbarium record",1952-07-25,"1952","69.366667","-145.05"
"4997478509","Tortula laureri","Herbarium record",1952-07-25,"1952","69.366667","-145.05"
"4997560226","Tortula laureri","Herbarium record",1951-07-11,"1951","70.65","-156.916667"
"4997524506","Tortula laureri","Herbarium record",1951-08-04,"1951","68.883333","-161.166667"
