"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989454528","Ulota drummondii","Herbarium record",1944-04-22,"1944","60.76667","-148.68333"
"1988794738","Ulota drummondii","Herbarium record",1944-05-27,"1944","60.76667","-148.68333"
"1988950735","Ulota drummondii","Herbarium record",1944-04-20,"1944","60.76667","-148.76667"
"1930855924","Ulota drummondii","Herbarium record",1967-08-07,"1967","58.376785","-134.641998"
"1930663067","Ulota drummondii","Herbarium record",1987-07-01,"1987","60.15","-152.63"
"1929871647","Ulota drummondii","Herbarium record",1899-07-03,"1899","57.79","-152.407222"
"1930920985","Ulota drummondii","Herbarium record",,"1981","54.9","-159.25"
"1929866339","Ulota drummondii","Herbarium record",,"1981","54.9","-159.25"
"1929144222","Ulota drummondii","Herbarium record",1967-08-07,"1967","58.376785","-134.641998"
"1928919614","Ulota drummondii","Herbarium record",1987-07-01,"1987","60.15","-152.63"
"2005572732","Ulota drummondii","Herbarium record",1968-06-08,"1968","57.396111","-153.483333"
"2005572764","Ulota drummondii","Herbarium record",1948-09-26,"1948","59.46222","-151.41278"
"1987859856","Ulota drummondii","Herbarium record",1998-08-25,"1998","56.0","-159.8"
"1987904072","Ulota drummondii","Herbarium record",1961-08-27,"1961","53.2","-132.07"
"1987782447","Ulota drummondii","Herbarium record",2006-09-02,"2006","60.1","-149.441"
"1987913354","Ulota drummondii","Herbarium record",1967-07-29,"1967","52.8","-132.0"
"1987761925","Ulota drummondii","Herbarium record",1996-07-11,"1996","54.9","-159.3"
"1987755155","Ulota drummondii","Herbarium record",1999-07-06,"1999","55.9","-159.5"
"1987784298","Ulota drummondii","Herbarium record",1998-07-16,"1998","57.6","-156.8"
"1987756421","Ulota drummondii","Herbarium record",1996-07-10,"1996","54.9","-159.3"
"4513883673","Ulota drummondii","Herbarium record",1975-07-04,"1975","53.166667","-131.833333"
"1987922043","Ulota drummondii","Herbarium record",1993-08-11,"1993","55.18","-162.82"
"1987765000","Ulota drummondii","Herbarium record",1967-07-03,"1967","53.2","-132.3"
"1987855981","Ulota drummondii","Herbarium record",1988-09-12,"1988","60.1","-152.6"
"1987898117","Ulota drummondii","Herbarium record",1998-07-30,"1998","57.2","-157.3"
