"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989273436","Ulota obtusiuscula","Herbarium record",1977-05-19,"1977","47.83333","-123.93333"
"1988654432","Ulota obtusiuscula","Herbarium record",1966-07-10,"1966","52.83333","-132.25"
"2979439343","Ulota obtusiuscula","MATERIAL_SAMPLE",2019-07-18,"2019","53.349","-132.435"
"4445026879","Ulota obtusiuscula","MATERIAL_SAMPLE",2012-08-18,"2012","49.33993","-121.30722"
"1927794230","Ulota obtusiuscula","Herbarium record",1899-06-04,"1899","55.117861","-131.563986"
"1929937261","Ulota obtusiuscula","Herbarium record",,"1932","48.07","-121.5"
"1927783091","Ulota obtusiuscula","Herbarium record",1898-07-12,"1898","47.82066","-121.555109"
"1931228058","Ulota obtusiuscula","Herbarium record",1950-07-11,"1950","47.75028","-123.74972"
"1928017907","Ulota obtusiuscula","Herbarium record",1968-05-23,"1968","55.53","-132.0"
"1927880017","Ulota obtusiuscula","Herbarium record",1963-07-02,"1963","48.070087","-121.745466"
"1931167666","Ulota obtusiuscula","Herbarium record",1977-05-19,"1977","47.83","-123.93"
"1930872010","Ulota obtusiuscula","Herbarium record",1922-08-04,"1922","48.85389","-120.15583"
"1929028037","Ulota obtusiuscula","Herbarium record",,"1921","48.85389","-120.15583"
"1930938896","Ulota obtusiuscula","Herbarium record",1923-08-11,"1923","47.010381","-122.016221"
"1928706121","Ulota obtusiuscula","Herbarium record",1923-08-11,"1923","47.010381","-122.016221"
"1930282107","Ulota obtusiuscula","Herbarium record",1990-04-22,"1990","57.78873","-135.252519"
"1928843341","Ulota obtusiuscula","Herbarium record",1923-08-11,"1923","47.010381","-122.016221"
"1930808508","Ulota obtusiuscula","Herbarium record",,"1932","48.07","-121.5"
"1928317889","Ulota obtusiuscula","Herbarium record",1987-07-09,"1987","60.15","-152.63"
"1929515826","Ulota obtusiuscula","Herbarium record",1950-06-18,"1950","47.75028","-123.74972"
"1929309018","Ulota obtusiuscula","Herbarium record",1923-08-11,"1923","47.010381","-122.016221"
"1928305799","Ulota obtusiuscula","Herbarium record",1899-06-10,"1899","58.3825","-135.912778"
"1928790875","Ulota obtusiuscula","Herbarium record",1987-06-28,"1987","60.12","-152.57"
"1929538071","Ulota obtusiuscula","Herbarium record",1987-06-28,"1987","60.12","-152.57"
"1929539878","Ulota obtusiuscula","Herbarium record",1966-07-10,"1966","52.83","-132.25"
"1931149284","Ulota obtusiuscula","Herbarium record",1891-08-12,"1891","57.053056","-135.33"
"2515672851","Ulota obtusiuscula","Herbarium record",1966-07-10,"1966","52.83333","-132.25"
"2005572869","Ulota obtusiuscula","Herbarium record",1923-08-11,"1923","47.010381","-122.016221"
"2005572909","Ulota obtusiuscula","Herbarium record",1979-06-24,"1979","50.114444","-118.305556"
"2005572850","Ulota obtusiuscula","Herbarium record",1967-08-04,"1967","57.05306","-135.33"
"2005572844","Ulota obtusiuscula","Herbarium record",1948-05-23,"1948","59.46222","-151.41278"
"2005572897","Ulota obtusiuscula","Herbarium record",1926-07-13,"1926","49.7","-123.15"
"2005572946","Ulota obtusiuscula","Herbarium record",1966-06-22,"1966","53.25","-132.333333"
"2005572676","Ulota obtusiuscula","Herbarium record",1961-08-22,"1961","52.75","-131.833333"
"2005572856","Ulota obtusiuscula","Herbarium record",1968-08-04,"1968","53.25","-132.333333"
"2005572825","Ulota obtusiuscula","Herbarium record",1974-08-22,"1974","49.337268","-121.362605"
"2005572858","Ulota obtusiuscula","Herbarium record",1966-07-10,"1966","53.25","-132.333333"
