"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"3706484334","Vinealobryum nicholsonii","Herbarium record",2021-05-12,"2021","42.337407","-122.672889"
"3338215307","Vinealobryum nicholsonii","Herbarium record",2019-11-13,"2019","49.057449","-122.105722"
"3706477324","Vinealobryum nicholsonii","Herbarium record",2020-05-27,"2020","42.037299","-122.420329"
"1668938825","Vinealobryum nicholsonii","Herbarium record",2017-05-25,"2017","45.661901","-120.507051"
"3125358326","Vinealobryum nicholsonii","Herbarium record",1998-06-29,"1998","44.558333","-119.833333"
"2532980925","Vinealobryum nicholsonii","Herbarium record",2019-06-24,"2019","44.61458","-122.255589"
"3764076374","Vinealobryum nicholsonii","Herbarium record",2021-05-11,"2021","42.31214","-122.661953"
"3746429327","Vinealobryum nicholsonii","Herbarium record",2020-03-22,"2020","42.067589","-122.399553"
"3706469338","Vinealobryum nicholsonii","Herbarium record",2021-05-03,"2021","42.315431","-122.660213"
"2532980929","Vinealobryum nicholsonii","Herbarium record",2019-07-08,"2019","44.650709","-122.098492"
"3706476333","Vinealobryum nicholsonii","Herbarium record",2021-05-08,"2021","42.538348","-122.743594"
"3706482334","Vinealobryum nicholsonii","Herbarium record",2021-05-08,"2021","42.538348","-122.743594"
"3706472336","Vinealobryum nicholsonii","Herbarium record",2020-04-07,"2020","42.022436","-122.620334"
"2855641308","Vinealobryum nicholsonii","Herbarium record",2000-09-01,"2000","42.0125","-123.15"
"2365568921","Vinealobryum nicholsonii","Herbarium record",2018-03-26,"2018","42.304528","-123.751806"
"3746416321","Vinealobryum nicholsonii","Herbarium record",2020-04-07,"2020","42.022054","-122.621907"
"1987780921","Vinealobryum nicholsonii","Herbarium record",1962-05-05,"1962","48.5","-123.4"
"1987867704","Vinealobryum nicholsonii","Herbarium record",2009-08-22,"2009","49.2","-123.2"
"1987798930","Vinealobryum nicholsonii","Herbarium record",1980-06-27,"1980","49.2","-119.6"
"3713184333","Vinealobryum nicholsonii","Herbarium record",2021-08-20,"2021","42.725926","-123.327361"
"3746414336","Vinealobryum nicholsonii","Herbarium record",2020-06-11,"2020","42.068844","-122.389835"
"4856277180","Vinealobryum nicholsonii","Herbarium record",2002-09-18,"2002","45.158333","-121.648333"
"1987862295","Vinealobryum nicholsonii","Herbarium record",1980-06-27,"1980","49.2","-119.6"
"1987933626","Vinealobryum nicholsonii","Herbarium record",1979-07-18,"1979","49.9","-119.5"
"4911360014","Vinealobryum nicholsonii","Herbarium record",2023-08-04,"2023","46.0183","-121.7485"
"4911360028","Vinealobryum nicholsonii","Herbarium record",2023-08-04,"2023","46.0183","-121.7485"
"4911359796","Vinealobryum nicholsonii","Herbarium record",2023-08-04,"2023","46.0183","-121.7485"
"4911359795","Vinealobryum nicholsonii","Herbarium record",2023-08-04,"2023","46.0183","-121.7485"
"4911359794","Vinealobryum nicholsonii","Herbarium record",2023-08-04,"2023","46.0183","-121.7485"
