"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989386802","Warnstorfia fluitans","Herbarium record",1946-08-14,"1946","63.8","-149.5"
"1988968667","Warnstorfia fluitans","Herbarium record",1969-09-22,"1969","64.566667","-165.55"
"1988930624","Warnstorfia fluitans","Herbarium record",1969-09-22,"1969","64.566667","-165.55"
"1988910969","Warnstorfia fluitans","Herbarium record",1984-09-03,"1984","58.35","-135.666667"
"1931023295","Warnstorfia fluitans","Herbarium record",1975-07-25,"1975","66.95","-156.18"
"1929172577","Warnstorfia fluitans","Herbarium record",1899-06-22,"1899","59.945798","-139.622889"
"1928644297","Warnstorfia fluitans","Herbarium record",1985-09-04,"1985","63.78","-156.67"
"1928691901","Warnstorfia fluitans","Herbarium record",1975-06-27,"1975","66.97","-156.15"
"1930581360","Warnstorfia fluitans","Herbarium record",1953-07-14,"1953","70.95","-157.45"
"1930864375","Warnstorfia fluitans","Herbarium record",1977-07-24,"1977","66.78","-155.0"
"1930254506","Warnstorfia fluitans","Herbarium record",1925-07-10,"1925","47.55722","-120.90556"
"1930199789","Warnstorfia fluitans","Herbarium record",1985-08-30,"1985","63.57","-157.48"
"1928967999","Warnstorfia fluitans","Herbarium record",1985-07-18,"1985","64.53","-156.55"
"1931151940","Warnstorfia fluitans","Herbarium record",1990-08-08,"1990","68.62","-149.6"
"1931143792","Warnstorfia fluitans","Herbarium record",1975-06-27,"1975","66.97","-156.15"
"1928773372","Warnstorfia fluitans","Herbarium record",1997-07-20,"1997","60.37","-172.65"
"1928621582","Warnstorfia fluitans","Herbarium record",1996-07-22,"1996","54.92","-159.25"
"1930310271","Warnstorfia fluitans","Herbarium record",2005-07-18,"2005","66.5611","-159.99894"
"1930883471","Warnstorfia fluitans","Herbarium record",1985-09-02,"1985","63.92","-157.67"
"1930897617","Warnstorfia fluitans","Herbarium record",1974-08-05,"1974","68.13","-151.75"
"1929650526","Warnstorfia fluitans","Herbarium record",,"1970","47.70972","-119.33167"
"1927937432","Warnstorfia fluitans","Herbarium record",1975-07-25,"1975","66.95","-156.18"
"1930211891","Warnstorfia fluitans","Herbarium record",1996-07-22,"1996","54.92","-159.25"
"1927950533","Warnstorfia fluitans","Herbarium record",1996-07-14,"1996","54.92","-159.25"
"1928701181","Warnstorfia fluitans","Herbarium record",1997-08-02,"1997","60.97","-149.1"
"1929501748","Warnstorfia fluitans","Herbarium record",1981-07-01,"1981","60.52","-150.2"
"1930596897","Warnstorfia fluitans","Herbarium record",1976-07-23,"1976","68.78","-148.8"
"1929718578","Warnstorfia fluitans","Herbarium record",1925-07-10,"1925","47.55722","-120.90556"
"1930740384","Warnstorfia fluitans","Herbarium record",1973-07-04,"1973","68.1","-165.75"
"1929128033","Warnstorfia fluitans","Herbarium record",1973-07-25,"1973","69.77","-147.17"
"1930199752","Warnstorfia fluitans","Herbarium record",1975-07-25,"1975","66.95","-156.18"
"1930610069","Warnstorfia fluitans","Herbarium record",1976-07-22,"1976","69.03","-149.77"
"1927900649","Warnstorfia fluitans","Herbarium record",1983-08-18,"1983","66.33","-152.08"
"1930693068","Warnstorfia fluitans","Herbarium record",1983-08-18,"1983","66.33","-152.08"
"2005539712","Warnstorfia fluitans","Herbarium record",1927-07-22,"1927","51.5","-116.466324"
"2005539711","Warnstorfia fluitans","Herbarium record",1987-07-04,"1987","60.75306","-148.78556"
"2005539731","Warnstorfia fluitans","Herbarium record",1898-09-24,"1898","47.28333","-121.52722"
"2005539781","Warnstorfia fluitans","Herbarium record",1898-09-24,"1898","47.28333","-121.52722"
"2005539737","Warnstorfia fluitans","Herbarium record",1961-05-18,"1961","53.618571","-132.030288"
"2005539626","Warnstorfia fluitans","Herbarium record",1997-07-20,"1997","60.60056","-172.93083"
"2005539801","Warnstorfia fluitans","Herbarium record",2000-08-19,"2000","52.883333","173.166667"
"2005539648","Warnstorfia fluitans","Herbarium record",1982-06-18,"1982","49.133333","-125.9"
"2005539807","Warnstorfia fluitans","Herbarium record",1977-10-09,"1977","49.995604","-123.15"
"2005539709","Warnstorfia fluitans","Herbarium record",2000-08-21,"2000","52.86028","173.17639"
"3756230317","Warnstorfia fluitans","Herbarium record",1965-08-05,"1965","52.4","-126.683333"
"4438085359","Warnstorfia fluitans","Herbarium record",1997-03-04,"1997","47.983333","-124.475"
"3756229320","Warnstorfia fluitans","Herbarium record",1997-03-03,"1997","47.733333","-124.333333"
"3756228319","Warnstorfia fluitans","Herbarium record",1992-05-01,"1992","44.983333","-119.65"
"3756241318","Warnstorfia fluitans","Herbarium record",1997-03-04,"1997","47.983333","-124.475"
"3756232318","Warnstorfia fluitans","Herbarium record",1992-05-01,"1992","44.983333","-119.65"
"3756240319","Warnstorfia fluitans","Herbarium record",1997-03-05,"1997","47.741667","-124.25"
"4999584466","Warnstorfia fluitans","Herbarium record",2023-09-17,"2023","45.987709","-121.800202"
"3756242315","Warnstorfia fluitans","Herbarium record",1997-03-03,"1997","47.733333","-124.333333"
"4423020359","Warnstorfia fluitans","Herbarium record",1965-08-05,"1965","52.4","-126.683333"
"4520141309","Warnstorfia fluitans","Herbarium record",1999-03-05,"1999","47.741667","-124.25"
"4412413309","Warnstorfia fluitans","Herbarium record",1992-05-01,"1992","44.983333","-119.65"
"4995113412","Warnstorfia fluitans","Herbarium record",2023-09-17,"2023","45.975963","-121.814187"
"1994898605","Warnstorfia fluitans","Herbarium record",1980-07-13,"1980","49.25","-125.141667"
"1987768797","Warnstorfia fluitans","Herbarium record",1977-07-11,"1977","49.8","-117.2"
"1987834964","Warnstorfia fluitans","Herbarium record",1985-07-18,"1985","64.5","-156.6"
"1987890436","Warnstorfia fluitans","Herbarium record",1978-06-21,"1978","59.7","-151.6"
"1987914111","Warnstorfia fluitans","Herbarium record",1970-06-24,"1970","48.6","-124.6"
"1987839829","Warnstorfia fluitans","Herbarium record",1997-08-02,"1997","61.0","-149.1"
"1987853123","Warnstorfia fluitans","Herbarium record",2005-07-18,"2005","66.56","-158.999"
"1987805138","Warnstorfia fluitans","Herbarium record",1966-07-30,"1966","53.1","-131.7"
"1987789739","Warnstorfia fluitans","Herbarium record",1967-07-29,"1967","57.06","-135.31"
"1987768309","Warnstorfia fluitans","Herbarium record",2000-07-21,"2000","57.3","-157.3"
"1987845679","Warnstorfia fluitans","Herbarium record",2000-07-07,"2000","56.2","-160.4"
"1987805094","Warnstorfia fluitans","Herbarium record",1970-06-24,"1970","48.6","-124.6"
"1987747427","Warnstorfia fluitans","Herbarium record",1997-08-02,"1997","61.0","-149.1"
"1987818344","Warnstorfia fluitans","Herbarium record",1970-06-16,"1970","49.8","-126.1"
"1987783788","Warnstorfia fluitans","Herbarium record",1977-08-12,"1977","49.9","-116.2"
"1987767402","Warnstorfia fluitans","Herbarium record",1996-07-22,"1996","54.9","-159.3"
"1987766290","Warnstorfia fluitans","Herbarium record",2013-08-17,"2013","56.22","-130.072"
"1987890874","Warnstorfia fluitans","Herbarium record",1996-06-28,"1996","54.41806","-124.974998"
"1987745984","Warnstorfia fluitans","Herbarium record",1958-07-21,"1958","53.0","-121.1"
"1987730533","Warnstorfia fluitans","Herbarium record",1977-07-24,"1977","58.7","-124.6"
"1987923038","Warnstorfia fluitans","Herbarium record",2005-07-30,"2005","56.94508","-128.5802"
"1987928627","Warnstorfia fluitans","Herbarium record",1996-07-22,"1996","54.9","-159.3"
"1987930513","Warnstorfia fluitans","Herbarium record",2007-08-10,"2007","53.8","-166.5"
"1987819618","Warnstorfia fluitans","Herbarium record",1998-06-03,"1998","50.833061","-120.44"
"1987919823","Warnstorfia fluitans","Herbarium record",1998-07-20,"1998","55.025002","-127.091698"
"1987921138","Warnstorfia fluitans","Herbarium record",1988-06-26,"1988","52.6","-118.9"
"1987895724","Warnstorfia fluitans","Herbarium record",1970-06-15,"1970","49.8","-126.2"
"1987853731","Warnstorfia fluitans","Herbarium record",1981-09-01,"1981","53.86","-121.49"
"1987928356","Warnstorfia fluitans","Herbarium record",1997-08-04,"1997","44.998","-123.759"
"1987912539","Warnstorfia fluitans","Herbarium record",1997-06-27,"1997","53.307781","-125.581902"
"1987798258","Warnstorfia fluitans","Herbarium record",2000-08-22,"2000","52.84","173.14"
"1987817476","Warnstorfia fluitans","Herbarium record",1986-08-01,"1986","49.3","-119.6"
"1987743095","Warnstorfia fluitans","Herbarium record",1998-07-28,"1998","57.2","-157.3"
"1987718426","Warnstorfia fluitans","Herbarium record",1999-05-15,"1999","48.56","-124.36"
"1987828889","Warnstorfia fluitans","Herbarium record",1998-08-10,"1998","57.1","-157.3"
"1987884276","Warnstorfia fluitans","Herbarium record",2011-06-18,"2011","58.4","-134.66"
"1987845819","Warnstorfia fluitans","Herbarium record",1988-07-27,"1988","52.91","173.14"
"1987869096","Warnstorfia fluitans","Herbarium record",2003-08-04,"2003","51.8","-176.6"
"1987766289","Warnstorfia fluitans","Herbarium record",2000-08-21,"2000","52.9","173.2"
"1987749363","Warnstorfia fluitans","Herbarium record",2000-08-25,"2000","52.8","172.8"
"1987791419","Warnstorfia fluitans","Herbarium record",2008-08-13,"2008","54.1233","-164.9711"
"1987921463","Warnstorfia fluitans","Herbarium record",1997-06-26,"1997","53.743889","-125.8797"
"1987718699","Warnstorfia fluitans","Herbarium record",1993-08-11,"1993","55.18","-162.82"
"1987883420","Warnstorfia fluitans","Herbarium record",2003-07-25,"2003","66.17","-160.25"
"1987869220","Warnstorfia fluitans","Herbarium record",2003-07-15,"2003","66.47","-157.2"
"1987879115","Warnstorfia fluitans","Herbarium record",1967-07-30,"1967","54.0","-132.8"
"1987852293","Warnstorfia fluitans","Herbarium record",1983-08-18,"1983","66.3","-152.1"
"1987753627","Warnstorfia fluitans","Herbarium record",,"2014","57.07515","-122.87985"
"1987767028","Warnstorfia fluitans","Herbarium record",1970-05-17,"1970","50.0","-120.7"
