"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1930661919","Brachythecium hultenii","Herbarium record",1997-07-10,"1997","57.12","-170.27"
"1930609575","Brachythecium hultenii","Herbarium record",1996-07-18,"1996","54.92","-159.25"
"1929790018","Brachythecium hultenii","Herbarium record",1997-07-25,"1997","60.37","-172.65"
"1928897509","Brachythecium hultenii","Herbarium record",1996-07-13,"1996","54.92","-159.25"
"1929641577","Brachythecium hultenii","Herbarium record",1996-07-19,"1996","54.92","-159.25"
"1929488970","Brachythecium hultenii","Herbarium record",2006-08-13,"2006","52.36797","175.90264"
"1929558459","Brachythecium hultenii","Herbarium record",1996-07-19,"1996","54.92","-159.25"
"1929047691","Brachythecium hultenii","Herbarium record",1983-08-25,"1983","60.28","-162.63"
"1929460652","Brachythecium hultenii","Herbarium record",2008-07-13,"2008","51.82","-176.62"
"1928962033","Brachythecium hultenii","Herbarium record",2008-07-13,"2008","51.82","-176.62"
"1928925339","Brachythecium hultenii","Herbarium record",1992-07-23,"1992","60.37","-172.65"
"2005530135","Brachythecium hultenii","Herbarium record",1967-07-23,"1967","55.851718","-160.513213"
"2005530145","Brachythecium hultenii","Herbarium record",1965-06-10,"1965","57.7775","-152.54861"
"2005530164","Brachythecium hultenii","Herbarium record",1968-06-10,"1968","57.7775","-152.54861"
"2005530154","Brachythecium hultenii","Herbarium record",1968-06-08,"1968","57.4","-153.48"
"2005530128","Brachythecium hultenii","Herbarium record",1968-06-08,"1968","57.4","-153.48"
"3713177321","Brachythecium hultenii","Herbarium record",2005-07-06,"2005","57.460194","-154.568944"
"1987775009","Brachythecium hultenii","Herbarium record",2007-08-07,"2007","53.9","-166.4"
"1987774802","Brachythecium hultenii","Herbarium record",2008-08-22,"2008","52.3833","-172.4085"
"1987834685","Brachythecium hultenii","Herbarium record",2000-08-18,"2000","52.9","173.2"
"1987783883","Brachythecium hultenii","Herbarium record",2014-07-19,"2014","56.03475","-156.73352"
"1987771388","Brachythecium hultenii","Herbarium record",2003-08-05,"2003","51.83","-176.68"
"1987808886","Brachythecium hultenii","Herbarium record",1996-07-19,"1996","54.9","-159.3"
"1987733074","Brachythecium hultenii","Herbarium record",2006-08-13,"2006","52.368","175.903"
"1987891230","Brachythecium hultenii","Herbarium record",1996-07-19,"1996","54.9","-159.3"
"1987728372","Brachythecium hultenii","Herbarium record",2003-08-20,"2003","52.18","-175.52"
"1987847655","Brachythecium hultenii","Herbarium record",2000-07-24,"2000","57.5","-156.5"
"1987758306","Brachythecium hultenii","Herbarium record",1994-08-18,"1994","51.8483","-176.721"
"1987903212","Brachythecium hultenii","Herbarium record",2002-08-17,"2002","51.9","-176.0"
"1987863957","Brachythecium hultenii","Herbarium record",2000-08-15,"2000","52.9","173.2"
"1987785322","Brachythecium hultenii","Herbarium record",1996-07-13,"1996","54.9","-159.3"
"1987904682","Brachythecium hultenii","Herbarium record",2000-07-08,"2000","56.2","-160.3"
"1987877536","Brachythecium hultenii","Herbarium record",1968-06-08,"1968","57.4","-153.48"
"1987870867","Brachythecium hultenii","Herbarium record",2003-08-05,"2003","51.83","-176.68"
"1987842781","Brachythecium hultenii","Herbarium record",2008-07-22,"2008","51.8","-176.7"
"1987774931","Brachythecium hultenii","Herbarium record",2000-08-27,"2000","52.9","173.2"
"1987766796","Brachythecium hultenii","Herbarium record",1994-08-16,"1994","51.8474","-176.6435"
"1987783234","Brachythecium hultenii","Herbarium record",2014-07-19,"2014","56.03603","-156.73715"
"1987726804","Brachythecium hultenii","Herbarium record",1997-08-16,"1997","54.9","-162.3"
"1987925963","Brachythecium hultenii","Herbarium record",2000-07-24,"2000","57.41","-156.44"
"1987896025","Brachythecium hultenii","Herbarium record",2003-08-17,"2003","52.37","175.9"
"1987778672","Brachythecium hultenii","Herbarium record",2003-08-12,"2003","51.96","178.33"
"1987811024","Brachythecium hultenii","Herbarium record",2001-08-21,"2001","51.8","-176.9"
"1987854926","Brachythecium hultenii","Herbarium record",1994-08-17,"1994","51.8192","-176.6451"
"1987832862","Brachythecium hultenii","Herbarium record",1968-06-09,"1968","57.4","-153.48"
"1987848846","Brachythecium hultenii","Herbarium record",1994-08-16,"1994","51.85","-176.64"
"1987795848","Brachythecium hultenii","Herbarium record",2001-08-15,"2001","51.96","178.33"
