"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2979429285","Bucklandiella macounii","MATERIAL_SAMPLE",2019-08-07,"2019","53.268","-132.234"
"1927804950","Bucklandiella macounii","Herbarium record",1969-08-31,"1969","47.189875","-122.112752"
"1928665879","Bucklandiella macounii","Herbarium record",2008-07-09,"2008","51.826439","-176.764608"
"1930431504","Bucklandiella macounii","Herbarium record",1999-09-18,"1999","52.88","173.15"
"1929334933","Bucklandiella macounii","Herbarium record",2002-09-15,"2002","52.83","173.15"
"2382932821","Bucklandiella macounii","Herbarium record",2017-08-15,"2017","47.324647","-121.192164"
"1927926843","Bucklandiella macounii","Herbarium record",2007-08-05,"2007","53.83","-166.47"
"2423978887","Bucklandiella macounii","Herbarium record",2000-08-19,"2000","52.88","173.17"
"1928454626","Bucklandiella macounii","Herbarium record",1960-07-19,"1960","45.75472","-122.66028"
"1929114026","Bucklandiella macounii","Herbarium record",2007-08-05,"2007","53.83","-166.47"
"1930465558","Bucklandiella macounii","Herbarium record",2007-08-05,"2007","53.83","-166.47"
"2005562739","Bucklandiella macounii","Herbarium record",1986-09-13,"1986","49.633333","-121.0"
"2005562719","Bucklandiella macounii","Herbarium record",1899-09-18,"1899","52.890278","173.156944"
"5105560348","Bucklandiella macounii","Herbarium record",2003-06-16,"2003","45.627778","-122.020556"
"5105559352","Bucklandiella macounii","Herbarium record",1995-08-25,"1995","45.75","-121.55"
"5105559357","Bucklandiella macounii","Herbarium record",1995-09-09,"1995","45.133333","-121.5"
"5105562351","Bucklandiella macounii","Herbarium record",2003-06-16,"2003","45.627778","-122.020556"
"5105560345","Bucklandiella macounii","Herbarium record",1995-09-09,"1995","45.133333","-121.5"
"5105558352","Bucklandiella macounii","Herbarium record",1995-09-09,"1995","45.133333","-121.5"
"5105561350","Bucklandiella macounii","Herbarium record",2002-09-28,"2002","47.778611","-121.565"
"5105559349","Bucklandiella macounii","Herbarium record",1995-09-09,"1995","45.133333","-121.5"
"5105562349","Bucklandiella macounii","Herbarium record",1995-09-09,"1995","45.133333","-121.5"
"5105560346","Bucklandiella macounii","Herbarium record",2011-09-28,"2011","46.779444","-121.742778"
"5105559350","Bucklandiella macounii","Herbarium record",1984-08-22,"1984","48.0","-121.0"
"4164021338","Bucklandiella macounii","Herbarium record",2017-08-15,"2017","47.324647","-121.192165"
"4955841681","Bucklandiella macounii","Herbarium record",2023-09-17,"2023","45.98373","-121.795574"
"3756247354","Bucklandiella macounii","Herbarium record",2019-08-12,"2019","46.65225","-121.430694"
"3019678303","Bucklandiella macounii","Herbarium record",2005-07-02,"2005","57.46975","-154.629417"
"3019677303","Bucklandiella macounii","Herbarium record",2006-07-28,"2006","57.583167","-153.383056"
"3019670304","Bucklandiella macounii","Herbarium record",2006-07-27,"2006","57.583917","-153.399417"
"3019673304","Bucklandiella macounii","Herbarium record",1996-08-19,"1996","44.905","-117.533333"
"3019671304","Bucklandiella macounii","Herbarium record",2006-08-02,"2006","57.437444","-153.186"
"3756240354","Bucklandiella macounii","Herbarium record",2021-07-17,"2021","44.948139","-118.235306"
"3756241355","Bucklandiella macounii","Herbarium record",2021-07-17,"2021","44.948139","-118.235306"
"1987878888","Bucklandiella macounii","Herbarium record",1998-07-18,"1998","57.6","-156.8"
"1987733179","Bucklandiella macounii","Herbarium record",1962-07-28,"1962","47.97","-123.73"
"1987768492","Bucklandiella macounii","Herbarium record",1985-08-16,"1985","53.2","-132.4"
"1987881628","Bucklandiella macounii","Herbarium record",1986-09-13,"1986","49.7","-121.1"
