"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989417598","Calypogeia integristipula","Herbarium record",1988-06-28,"1988","52.933333","-118.866667"
"1928247790","Calypogeia integristipula","Herbarium record",1953-07-22,"1953","66.88","-162.55"
"1928635141","Calypogeia integristipula","Herbarium record",1974-06-30,"1974","69.37","-152.13"
"1930426449","Calypogeia integristipula","Herbarium record",1990-04-21,"1990","57.7806","-135.2167"
"1928369974","Calypogeia integristipula","Herbarium record",1981-07-16,"1981","59.47","-151.22"
"1930987185","Calypogeia integristipula","Herbarium record",1991-06-24,"1991","52.58","-118.83"
"1927935534","Calypogeia integristipula","Herbarium record",1953-07-22,"1953","66.88","-162.55"
"1927988073","Calypogeia integristipula","Herbarium record",1973-07-25,"1973","69.77","-147.17"
"1930737742","Calypogeia integristipula","Herbarium record",,"1973","69.366944","-152.144167"
"1987792873","Calypogeia integristipula","Herbarium record",2014-08-12,"2014","65.37","-155.28"
"1987826482","Calypogeia integristipula","Herbarium record",2013-08-20,"2013","56.22","-130.072"
"1987833954","Calypogeia integristipula","Herbarium record",1979-09-05,"1979","52.3","-118.8"
"4899445005","Calypogeia integristipula","Herbarium record",1995-07-24,"1995","54.916667","-159.25"
"1987846192","Calypogeia integristipula","Herbarium record",1969-07-03,"1969","58.42","-135.43"
"1987906630","Calypogeia integristipula","Herbarium record",1975-08-10,"1975","46.6","-122.86"
"1987811147","Calypogeia integristipula","Herbarium record",1974-07-30,"1974","49.0","-121.0"
"1987869882","Calypogeia integristipula","Herbarium record",1994-08-07,"1994","51.8","-176.6"
"1987773968","Calypogeia integristipula","Herbarium record",1976-05-29,"1976","67.0","-156.1"
"1065653233","Calypogeia integristipula","Herbarium record",1998-10-20,"1998","43.92828","-122.89768"
"5196091542","Calypogeia integristipula","Herbarium record",2001-07-06,"2001","63.869435","-150.176143"
"5196091567","Calypogeia integristipula","Herbarium record",2002-07-31,"2002","63.780777","-150.218232"
"5196091568","Calypogeia integristipula","Herbarium record",2002-07-31,"2002","63.780777","-150.218232"
"5196091592","Calypogeia integristipula","Herbarium record",2002-07-26,"2002","63.677249","-150.201238"
"5196091596","Calypogeia integristipula","Herbarium record",2002-07-30,"2002","63.691113","-150.219672"
"5196178462","Calypogeia integristipula","Herbarium record",1992-07-11,"1992","65.4","-164.666667"
"5196178464","Calypogeia integristipula","Herbarium record",1992-07-13,"1992","65.55","-163.866667"
"5196178465","Calypogeia integristipula","Herbarium record",1993-07-25,"1993","64.866667","-163.7"
"5196178467","Calypogeia integristipula","Herbarium record",1993-07-14,"1993","65.6","-163.8"
"5196178468","Calypogeia integristipula","Herbarium record",1994-09-24,"1994","51.966667","-120.116667"
"5196178472","Calypogeia integristipula","Herbarium record",1990-04-21,"1990","57.780556","-135.216667"
"5196178517","Calypogeia integristipula","Herbarium record",1995-07-24,"1995","54.916667","-159.25"
"5196178521","Calypogeia integristipula","Herbarium record",1992-07-24,"1992","66.333333","-164.116667"
"5196178525","Calypogeia integristipula","Herbarium record",1992-07-24,"1992","66.333333","-164.116667"
"5196178527","Calypogeia integristipula","Herbarium record",1992-07-13,"1992","65.55","-163.866667"
"5196178531","Calypogeia integristipula","Herbarium record",1992-07-26,"1992","66.333333","-164.116667"
"2252142379","Calypogeia integristipula","Herbarium record",1954-07-26,"1954","51.25","-118.166667"
"2252144786","Calypogeia integristipula","Herbarium record",1958-07-23,"1958","69.366667","-152.116667"
"5895679404","Calypogeia integristipula","Herbarium record",1957-07-15,"1957","54.233333","-133.0"
"5895687558","Calypogeia integristipula","Herbarium record",1930-08-29,"1930","47.97639","-123.68694"
"5895687613","Calypogeia integristipula","Herbarium record",1913-07-26,"1913","55.9","-134.316667"
"1987914646","Calypogeia integristipula","Herbarium record",1966-07-03,"1966","53.2","-132.4"
"1987789201","Calypogeia integristipula","Herbarium record",1974-10-15,"1974","46.6","-122.86"
"4513888882","Calypogeia integristipula","Herbarium record",1975-07-03,"1975","54.02","-132.04"
"1987769550","Calypogeia integristipula","Herbarium record",1968-07-10,"1968","57.09","-134.83"
"1987776401","Calypogeia integristipula","Herbarium record",2014-08-13,"2014","65.37","-155.28"
"1987781396","Calypogeia integristipula","Herbarium record",1954-07-26,"1954","51.3","-118.2"
"4513892854","Calypogeia integristipula","Herbarium record",1975-06-28,"1975","52.933333","-132.1"
"4899444342","Calypogeia integristipula","Herbarium record",1995-07-20,"1995","54.916667","-159.25"
"3820673935","Calypogeia integristipula","Herbarium record",1990-04-21,"1990","57.780556","-135.216667"
"4849609445","Calypogeia integristipula","Herbarium record",2005-03-22,"2005","43.294444","-124.331389"
"4851107618","Calypogeia integristipula","Herbarium record",1954-07-26,"1954","51.25","-118.1667"
"4070498133","Calypogeia integristipula","Herbarium record",2016-08-22,"2016","45.336389","-121.493889"
"1091050195","Calypogeia integristipula","Herbarium record",1976-05-29,"1976","66.966667","-156.133333"
"4900973075","Calypogeia integristipula","iNat record",2024-06-22,"2024","57.092131","-135.365822"
"3858841333","Calypogeia integristipula","iNat record",2022-06-21,"2022","51.619507","-127.932097"
"5897477244","Calypogeia integristipula","iNat record",2024-08-21,"2024","50.778893","-127.857373"
"1091050218","Calypogeia integristipula","Herbarium record",1977-07-24,"1977","66.783333","-155.0"
"1091050233","Calypogeia integristipula","Herbarium record",1995-07-24,"1995","54.916667","-159.25"
"1091050203","Calypogeia integristipula","Herbarium record",1976-05-29,"1976","66.966667","-156.133333"
"1091050235","Calypogeia integristipula","Herbarium record",1991-06-24,"1991","52.583333","-118.833333"
"1091050191","Calypogeia integristipula","Herbarium record",1976-05-29,"1976","66.966667","-156.133333"
"1091050173","Calypogeia integristipula","Herbarium record",1977-07-24,"1977","66.783333","-155.0"
"1091050224","Calypogeia integristipula","Herbarium record",1975-09-27,"1975","66.96666","-156.1333"
"1091050274","Calypogeia integristipula","Herbarium record",1988-06-28,"1988","52.933333","-118.866667"
"1091050201","Calypogeia integristipula","Herbarium record",1977-07-29,"1977","66.666667","-156.266667"
