"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989421403","Campylium stellatum","Herbarium record",,"1951","70.65","-156.916667"
"1989538577","Campylium stellatum","Herbarium record",,"1951","69.8","-155.383333"
"1988878689","Campylium stellatum","Herbarium record",,"1951","69.8","-155.383333"
"1989245512","Campylium stellatum","Herbarium record",,"1977","68.633333","-149.583333"
"1988640311","Campylium stellatum","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"1988885656","Campylium stellatum","Herbarium record",,"1951","70.65","-156.916667"
"1988961819","Campylium stellatum","Herbarium record",1977-08-04,"1977","57.816667","-126.383333"
"1989099355","Campylium stellatum","Herbarium record",1984-06-10,"1984","50.35","-115.766667"
"2979439344","Campylium stellatum","MATERIAL_SAMPLE",2019-08-14,"2019","56.17","-130.052"
"1930205858","Campylium stellatum","Herbarium record",1956-08-02,"1956","63.53","-151.0"
"1928003154","Campylium stellatum","Herbarium record",,"1904","58.301944","-134.419722"
"1930426367","Campylium stellatum","Herbarium record",1973-07-24,"1973","69.77","-147.17"
"1928344543","Campylium stellatum","Herbarium record",1953-08-11,"1953","66.93","-151.53"
"1927970921","Campylium stellatum","Herbarium record",1973-07-12,"1973","70.47","-157.42"
"1928585507","Campylium stellatum","Herbarium record",1972-08-07,"1972","70.2","-148.83"
"1929220072","Campylium stellatum","Herbarium record",1949-06-26,"1949","61.607539","-149.079146"
"1930936176","Campylium stellatum","Herbarium record",2007-08-21,"2007","53.88","-166.45"
"1928998405","Campylium stellatum","Herbarium record",1994-08-05,"1994","51.8297","-176.631433"
"1929518309","Campylium stellatum","Herbarium record",1974-06-30,"1974","69.37","-152.13"
"1931278935","Campylium stellatum","Herbarium record",1951-07-11,"1951","70.65","-156.92"
"1931373311","Campylium stellatum","Herbarium record",1985-09-02,"1985","63.92","-157.67"
"1931183917","Campylium stellatum","Herbarium record",1948-08-25,"1948","66.5","-147.0"
"1930318384","Campylium stellatum","Herbarium record",1970-07-26,"1970","69.88","-142.3"
"1928086389","Campylium stellatum","Herbarium record",1961-07-10,"1961","68.08","-145.0"
"1929358056","Campylium stellatum","Herbarium record",1973-06-23,"1973","69.37","-152.17"
"1927825034","Campylium stellatum","Herbarium record",1996-07-13,"1996","54.92","-159.25"
"1930518976","Campylium stellatum","Herbarium record",1965-07-10,"1965","65.98","-144.18"
"1929847654","Campylium stellatum","Herbarium record",1972-08-07,"1972","70.2","-148.83"
"1930251963","Campylium stellatum","Herbarium record",1972-07-19,"1972","68.75","-160.0"
"1930357429","Campylium stellatum","Herbarium record",1985-09-02,"1985","63.92","-157.67"
"1929552429","Campylium stellatum","Herbarium record",1977-06-30,"1977","70.37","-148.53"
"1928393998","Campylium stellatum","Herbarium record",1972-07-12,"1972","70.23","-150.92"
"1928898877","Campylium stellatum","Herbarium record",1962-08-01,"1962","48.26667","-124.675"
"1927969419","Campylium stellatum","Herbarium record",1973-07-03,"1973","68.1","-165.75"
"1929481458","Campylium stellatum","Herbarium record",1977-07-29,"1977","67.08","-157.75"
"1928901329","Campylium stellatum","Herbarium record",1974-08-20,"1974","68.37","-154.58"
"1927796030","Campylium stellatum","Herbarium record",1963-07-09,"1963","68.78","-160.0"
"1930303716","Campylium stellatum","Herbarium record",1980-08-05,"1980","52.88","-118.45"
"1929997344","Campylium stellatum","Herbarium record",1952-07-25,"1952","69.37","-145.02"
"1930759617","Campylium stellatum","Herbarium record",1951-07-11,"1951","70.65","-156.92"
"1930504883","Campylium stellatum","Herbarium record",2007-08-18,"2007","53.85","-166.45"
"1930105287","Campylium stellatum","Herbarium record",1948-08-17,"1948","66.5","-147.0"
"1930445846","Campylium stellatum","Herbarium record",1948-08-25,"1948","66.5","-147.0"
"1927973784","Campylium stellatum","Herbarium record",1974-07-02,"1974","69.37","-152.13"
"1928470827","Campylium stellatum","Herbarium record",1973-07-06,"1973","68.1","-165.75"
"1928955524","Campylium stellatum","Herbarium record",1961-07-10,"1961","68.08","-145.0"
"1929071274","Campylium stellatum","Herbarium record",1966-07-02,"1966","68.1","-165.75"
"1929709960","Campylium stellatum","Herbarium record",2007-08-15,"2007","53.85","-166.45"
"1928447086","Campylium stellatum","Herbarium record",1960-07-13,"1960","68.88","-164.62"
"1930950471","Campylium stellatum","Herbarium record",2007-08-15,"2007","53.85","-166.45"
"1928775823","Campylium stellatum","Herbarium record",1951-08-09,"1951","66.88","-161.17"
