"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988732726","Ctenidium schofieldii","Herbarium record",1964-07-31,"1964","58.133333","-132.083333"
"1989196871","Ctenidium schofieldii","Herbarium record",1964-06-10,"1964","52.666667","-131.5"
"1989067040","Ctenidium schofieldii","Herbarium record",1968-08-01,"1968","52.75","-132.116667"
"1988850434","Ctenidium schofieldii","Herbarium record",1968-08-01,"1968","52.833333","-132.083333"
"1989318111","Ctenidium schofieldii","Herbarium record",1967-06-21,"1967","53.25","-132.55"
"1989488754","Ctenidium schofieldii","Herbarium record",1968-07-29,"1968","53.583333","-132.916667"
"1928758463","Ctenidium schofieldii","Herbarium record",1994-08-14,"1994","51.82","-176.62"
"1930575194","Ctenidium schofieldii","Herbarium record",1994-08-15,"1994","51.83","-176.67"
"1929532532","Ctenidium schofieldii","Herbarium record",1964-07-31,"1964","53.13","-132.08"
"1930940149","Ctenidium schofieldii","Herbarium record",1968-08-01,"1968","52.83","-132.08"
"1929551515","Ctenidium schofieldii","Herbarium record",2003-08-07,"2003","51.82","-176.6"
"1930355284","Ctenidium schofieldii","Herbarium record",1966-06-28,"1966","52.98","-132.08"
"1261590896","Ctenidium schofieldii","Herbarium record",1968-07-29,"1968","53.58","-132.92"
"1261590913","Ctenidium schofieldii","Herbarium record",1966-06-28,"1966","52.98","-132.08"
"1261590891","Ctenidium schofieldii","Herbarium record",1964-07-31,"1964","53.13","-132.08"
"1261590903","Ctenidium schofieldii","Herbarium record",1968-08-01,"1968","52.83","-132.08"
"1261590895","Ctenidium schofieldii","Herbarium record",1964-06-10,"1964","52.67","-131.5"
"2005535118","Ctenidium schofieldii","Herbarium record",1975-06-15,"1975","51.88","-176.65806"
"2005535174","Ctenidium schofieldii","Herbarium record",1964-06-10,"1964","52.666667","-131.5"
"2005535205","Ctenidium schofieldii","Herbarium record",1994-08-14,"1994","51.816667","-176.616667"
"2005535268","Ctenidium schofieldii","Herbarium record",1994-08-14,"1994","51.830278","-176.631944"
"2005535172","Ctenidium schofieldii","Herbarium record",1968-07-29,"1968","53.583333","-132.916667"
"2005535254","Ctenidium schofieldii","Herbarium record",1969-07-26,"1969","53.562778","-132.875"
"2005535198","Ctenidium schofieldii","Herbarium record",1994-08-15,"1994","51.833333","-176.666667"
"2005535203","Ctenidium schofieldii","Herbarium record",2003-08-07,"2003","51.816667","-176.6"
"2005535160","Ctenidium schofieldii","Herbarium record",1964-07-31,"1964","53.133333","-132.083333"
"2005535246","Ctenidium schofieldii","Herbarium record",1966-06-28,"1966","52.983333","-132.083333"
"2005535176","Ctenidium schofieldii","Herbarium record",1966-06-28,"1966","52.983333","-132.083333"
"2005429647","Ctenidium schofieldii","Herbarium record",2010-07-16,"2010","53.560694","-132.866444"
"1987898741","Ctenidium schofieldii","Herbarium record",1964-08-01,"1964","53.1","-132.1"
"1987768949","Ctenidium schofieldii","Herbarium record",1994-08-17,"1994","51.8192","-176.6451"
"1987757612","Ctenidium schofieldii","Herbarium record",1985-08-13,"1985","52.8","-132.0"
"1987785758","Ctenidium schofieldii","Herbarium record",1967-07-28,"1967","52.8","-132.0"
"1987795359","Ctenidium schofieldii","Herbarium record",1964-06-10,"1964","52.6","-131.8"
"1987816066","Ctenidium schofieldii","Herbarium record",1985-08-13,"1985","52.8","-132.0"
"1987819268","Ctenidium schofieldii","Herbarium record",1967-06-21,"1967","53.3","-132.6"
"1987800780","Ctenidium schofieldii","Herbarium record",1964-09-12,"1964","53.0","-132.1"
"1987788785","Ctenidium schofieldii","Herbarium record",1980-07-26,"1980","52.8","-132.1"
"1987784122","Ctenidium schofieldii","Herbarium record",1964-07-27,"1964","52.9","-132.1"
"1987800013","Ctenidium schofieldii","Herbarium record",1985-08-12,"1985","52.8","-132.1"
"1052493812","Ctenidium schofieldii","Herbarium record",1994-08-15,"1994","51.833333","-176.666667"
"5196223382","Ctenidium schofieldii","Herbarium record",1994-08-14,"1994","51.816667","-176.616667"
"5196223384","Ctenidium schofieldii","Herbarium record",1994-08-15,"1994","51.833333","-176.666667"
"5196223392","Ctenidium schofieldii","Herbarium record",2003-08-07,"2003","51.816667","-176.6"
"5196223400","Ctenidium schofieldii","Herbarium record",1994-08-04,"1994","51.833333","-176.666667"
"5196223402","Ctenidium schofieldii","Herbarium record",1994-08-09,"1994","51.839117","-176.714483"
"5196223453","Ctenidium schofieldii","Herbarium record",1994-08-17,"1994","51.819183","-176.64505"
"1987752644","Ctenidium schofieldii","Herbarium record",1994-08-09,"1994","51.8391","-176.7145"
"1987880381","Ctenidium schofieldii","Herbarium record",1985-08-21,"1985","52.6","-131.8"
"1987807086","Ctenidium schofieldii","Herbarium record",1964-07-31,"1964","53.0","-132.1"
"1987856681","Ctenidium schofieldii","Herbarium record",2010-07-16,"2010","53.561","-132.866"
"1987917456","Ctenidium schofieldii","Herbarium record",1967-07-30,"1967","53.7","-132.7"
"1987826465","Ctenidium schofieldii","Herbarium record",1994-08-04,"1994","51.8","-176.7"
"1987771331","Ctenidium schofieldii","Herbarium record",1968-08-01,"1968","52.8","-132.1"
"1987749087","Ctenidium schofieldii","Herbarium record",1966-07-06,"1966","52.3","-131.5"
"1987891426","Ctenidium schofieldii","Herbarium record",1975-06-15,"1975","51.84","-176.59"
"1987843870","Ctenidium schofieldii","Herbarium record",2003-08-07,"2003","51.8","-176.6"
