"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"4445043950","Cynodontium jenneri","MATERIAL_SAMPLE",2015-08-13,"2015","49.95","-123.333336"
"5862519446","Cynodontium jenneri","MATERIAL_SAMPLE",2024-04-23,"2024","50.13","-125.13"
"4450367792","Cynodontium jenneri","MATERIAL_SAMPLE",2010-04-17,"2010","49.314796","-121.87157"
"1929266601","Cynodontium jenneri","Herbarium record",1996-07-07,"1996","54.92","-159.25"
"1930433494","Cynodontium jenneri","Herbarium record",1962-09-12,"1962","48.26611","-122.165"
"1931029383","Cynodontium jenneri","Herbarium record",1996-07-19,"1996","54.92","-159.25"
"1930421392","Cynodontium jenneri","Herbarium record",1914-07-05,"1914","47.97639","-123.68694"
"1928294763","Cynodontium jenneri","Herbarium record",1963-03-27,"1963","48.90556","-121.8075"
"1927887931","Cynodontium jenneri","Herbarium record",1963-07-01,"1963","48.26611","-122.165"
"1931309028","Cynodontium jenneri","Herbarium record",1962-09-12,"1962","48.26611","-122.165"
"1929215319","Cynodontium jenneri","Herbarium record",1963-07-02,"1963","48.060472","-121.794767"
"4061945718","Cynodontium jenneri","Herbarium record",2017-08-16,"2017","47.401273","-121.241009"
"2005535340","Cynodontium jenneri","Herbarium record",1963-08-29,"1963","48.09056","-121.77611"
"2005535297","Cynodontium jenneri","Herbarium record",1962-07-01,"1962","49.633333","-123.183333"
"2005554838","Cynodontium jenneri","Herbarium record",1963-06-15,"1963","50.010278","-121.639167"
"2005554752","Cynodontium jenneri","Herbarium record",1963-06-11,"1963","54.366667","-128.55"
"2005554724","Cynodontium jenneri","Herbarium record",1964-10-11,"1964","48.06594","-121.509004"
"2005535307","Cynodontium jenneri","Herbarium record",1962-09-12,"1962","48.05806","-121.79556"
"1822178153","Cynodontium jenneri","Herbarium record",2005-07-07,"2005","57.47175","-154.562639"
"1822178146","Cynodontium jenneri","Herbarium record",2016-09-06,"2016","47.453944","-122.625306"
"5203407676","Cynodontium jenneri","Herbarium record",1982-08-03,"1982","69.38333","-148.61667"
"3697809341","Cynodontium jenneri","Herbarium record",2020-05-16,"2020","43.702915","-122.68585"
"3467039309","Cynodontium jenneri","Herbarium record",2005-07-02,"2005","57.473306","-154.627861"
"3467038308","Cynodontium jenneri","Herbarium record",1998-08-01,"1998","48.616667","-118.466667"
"4018742303","Cynodontium jenneri","Herbarium record",2001-07-02,"2001","60.505833","-153.880556"
"4046085352","Cynodontium jenneri","Herbarium record",1982-07-29,"1982","68.45","-149.3"
"1987890796","Cynodontium jenneri","Herbarium record",1979-06-28,"1979","54.6","-128.3"
"1987903300","Cynodontium jenneri","Herbarium record",1978-02-12,"1978","49.4","-122.5"
"1987890984","Cynodontium jenneri","Herbarium record",1969-07-24,"1969","52.8","-132.2"
"1987889094","Cynodontium jenneri","Herbarium record",1970-06-10,"1970","49.6","-126.3"
"1987798875","Cynodontium jenneri","Herbarium record",1968-04-07,"1968","49.8","-123.2"
"1987907926","Cynodontium jenneri","Herbarium record",1969-07-08,"1969","49.0","-124.5"
"1987774185","Cynodontium jenneri","Herbarium record",1967-06-21,"1967","53.3","-132.6"
"1987797054","Cynodontium jenneri","Herbarium record",1980-08-22,"1980","49.1","-121.6"
"1987772027","Cynodontium jenneri","Herbarium record",1968-06-04,"1968","56.47","-132.38"
"1987724733","Cynodontium jenneri","Herbarium record",1968-06-23,"1968","56.81","-132.96"
"1987790709","Cynodontium jenneri","Herbarium record",1963-03-27,"1963","48.91","-121.81"
"1987867357","Cynodontium jenneri","Herbarium record",1978-09-27,"1978","49.4","-123.0"
