"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988998777","Dicranum fuscescens","Herbarium record",1944-08-03,"1944","60.766667","-148.683333"
"1989416452","Dicranum fuscescens","Herbarium record",1984-09-03,"1984","58.35","-135.666667"
"1989321845","Dicranum fuscescens","Herbarium record",1943-06-17,"1943","56.916667","-122.166667"
"1989174559","Dicranum fuscescens","Herbarium record",1944-08-01,"1944","60.766667","-148.683333"
"1988643837","Dicranum fuscescens","Herbarium record",1946-08-14,"1946","63.8","-149.5"
"1988746736","Dicranum fuscescens","Herbarium record",1943-07-26,"1943","58.633333","-124.666667"
"1988860838","Dicranum fuscescens","Herbarium record",1943-07-22,"1943","58.633333","-124.666667"
"1988914637","Dicranum fuscescens","Herbarium record",1947-10-01,"1947","56.72","-134.36"
"1989291172","Dicranum fuscescens","Herbarium record",,"1966","51.333333","-117.416667"
"1989086774","Dicranum fuscescens","Herbarium record",1946-08-03,"1946","63.733333","-149.5"
"1988991821","Dicranum fuscescens","Herbarium record",1940-08-21,"1940","59.0","-135.0"
"1989105841","Dicranum fuscescens","Herbarium record",1944-04-25,"1944","60.766667","-148.683333"
"1989216096","Dicranum fuscescens","Herbarium record",1946-08-14,"1946","63.8","-149.5"
"1989117146","Dicranum fuscescens","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"1989540011","Dicranum fuscescens","Herbarium record",1944-05-21,"1944","60.766667","-148.683333"
"1988709348","Dicranum fuscescens","Herbarium record",1968-05-12,"1968","55.408333","-131.716667"
"1989015396","Dicranum fuscescens","Herbarium record",1944-08-14,"1944","60.766667","-148.683333"
"1989416936","Dicranum fuscescens","Herbarium record",1940-08-21,"1940","59.0","-135.0"
"1989350255","Dicranum fuscescens","Herbarium record",,"1946","69.370833","-152.138333"
"1989450518","Dicranum fuscescens","Herbarium record",1944-04-22,"1944","60.766667","-148.683333"
"1989173271","Dicranum fuscescens","Herbarium record",1943-06-26,"1943","57.233333","-122.666667"
"1989532206","Dicranum fuscescens","Herbarium record",1943-06-26,"1943","57.233333","-122.666667"
"1988789383","Dicranum fuscescens","Herbarium record",1983-07-25,"1983","53.366667","-129.416667"
"1988807493","Dicranum fuscescens","Herbarium record",1944-08-14,"1944","60.766667","-148.683333"
"1988803592","Dicranum fuscescens","Herbarium record",1943-07-22,"1943","58.633333","-124.666667"
"1989499720","Dicranum fuscescens","Herbarium record",1943-06-27,"1943","57.083333","-122.633333"
"1988749768","Dicranum fuscescens","Herbarium record",1943-09-30,"1943","52.966667","-122.716667"
"1989099304","Dicranum fuscescens","Herbarium record",1966-06-05,"1966","51.016667","-118.183333"
"1989280916","Dicranum fuscescens","Herbarium record",,"1951","69.466667","-151.5"
"1988871103","Dicranum fuscescens","Herbarium record",1984-09-03,"1984","58.35","-135.666667"
"1989430110","Dicranum fuscescens","Herbarium record",1943-07-26,"1943","58.633333","-124.666667"
"1989085115","Dicranum fuscescens","Herbarium record",1905-06-26,"1905","49.0","-121.0"
"1989375970","Dicranum fuscescens","Herbarium record",1944-05-25,"1944","60.766667","-148.683333"
"1989302270","Dicranum fuscescens","Herbarium record",1982-07-31,"1982","68.65","-149.583333"
"5863928669","Dicranum fuscescens","MATERIAL_SAMPLE",2024-04-23,"2024","50.13","-125.13"
"1928114018","Dicranum fuscescens","Herbarium record",,"1902","49.17","-122.97"
"1930192572","Dicranum fuscescens","Herbarium record",1985-09-01,"1985","63.55","-157.97"
"1928627179","Dicranum fuscescens","Herbarium record",,"1892","47.60621","-122.332071"
"1927827241","Dicranum fuscescens","Herbarium record",1985-09-03,"1985","63.28","-159.25"
"1927882321","Dicranum fuscescens","Herbarium record",1925-07-18,"1925","48.59806","-122.94333"
"1930913244","Dicranum fuscescens","Herbarium record",1976-06-26,"1976","67.07","-156.87"
"1928216944","Dicranum fuscescens","Herbarium record",1951-08-10,"1951","66.918889","-151.516111"
"1928281393","Dicranum fuscescens","Herbarium record",1985-09-01,"1985","63.55","-157.97"
"1929552155","Dicranum fuscescens","Herbarium record",1952-09-14,"1952","57.79","-152.407222"
"1930749006","Dicranum fuscescens","Herbarium record",1976-07-18,"1976","68.03","-149.7"
"1929117554","Dicranum fuscescens","Herbarium record",1952-08-03,"1952","58.68","-156.65"
"1929318338","Dicranum fuscescens","Herbarium record",1950-08-18,"1950","47.70939","-121.466444"
"1930411656","Dicranum fuscescens","Herbarium record",1980-08-23,"1980","67.5","-154.5"
"1931374007","Dicranum fuscescens","Herbarium record",1976-06-27,"1976","67.03","-156.9"
"1930956864","Dicranum fuscescens","Herbarium record",1904-08-09,"1904","51.357576","-116.331843"
"1931041234","Dicranum fuscescens","Herbarium record",1940-08-21,"1940","59.0","-135.0"
"1928571134","Dicranum fuscescens","Herbarium record",1985-09-05,"1985","62.78","-159.25"
"1928005558","Dicranum fuscescens","Herbarium record",1949-07-10,"1949","70.633297","-160.000677"
"1928821336","Dicranum fuscescens","Herbarium record",1991-04-27,"1991","44.62","-123.32"
"1930054561","Dicranum fuscescens","Herbarium record",1975-07-27,"1975","66.9917","-156.15"
"1930680135","Dicranum fuscescens","Herbarium record",1981-07-12,"1981","60.25","-150.57"
"1930929378","Dicranum fuscescens","Herbarium record",1957-07-13,"1957","48.12639","-124.25139"
"1928337561","Dicranum fuscescens","Herbarium record",1924-08-31,"1924","47.36139","-121.46056"
"1930977150","Dicranum fuscescens","Herbarium record",1985-09-03,"1985","63.17","-159.52"
"1931064978","Dicranum fuscescens","Herbarium record",1974-08-02,"1974","68.13","-151.75"
"1927929601","Dicranum fuscescens","Herbarium record",1972-07-26,"1972","69.32","-145.03"
"1931356608","Dicranum fuscescens","Herbarium record",1991-06-23,"1991","52.6","-118.87"
"1928325532","Dicranum fuscescens","Herbarium record",1995-07-30,"1995","44.45","-124.07"
"1929841135","Dicranum fuscescens","Herbarium record",,"1970","48.3475","-120.90056"
"1930591996","Dicranum fuscescens","Herbarium record",1944-05-17,"1944","60.77","-148.68"
"1930835754","Dicranum fuscescens","Herbarium record",1953-08-11,"1953","66.93","-151.53"
"1930292681","Dicranum fuscescens","Herbarium record",1981-07-02,"1981","60.8","-150.83"
"1930141507","Dicranum fuscescens","Herbarium record",1987-08-18,"1987","64.72","-154.38"
"1927885777","Dicranum fuscescens","Herbarium record",1905-08-04,"1905","47.41222","-120.71417"
"1927967285","Dicranum fuscescens","Herbarium record",1985-09-05,"1985","62.78","-159.25"
"1930077602","Dicranum fuscescens","Herbarium record",1894-09-29,"1894","57.053056","-135.33"
"1930833558","Dicranum fuscescens","Herbarium record",1937-07-01,"1937","51.42","-116.5"
"1931090844","Dicranum fuscescens","Herbarium record",1977-07-29,"1977","66.67","-156.27"
"1931273940","Dicranum fuscescens","Herbarium record",1944-05-17,"1944","60.77","-148.68"
"1930950510","Dicranum fuscescens","Herbarium record",,"1869","57.053056","-135.33"
"1930041746","Dicranum fuscescens","Herbarium record",1960-06-30,"1960","58.301944","-134.419722"
"1931160225","Dicranum fuscescens","Herbarium record",,"1900","57.053056","-135.33"
"1931165746","Dicranum fuscescens","Herbarium record",,"1897","59.458333","-135.313889"
"1929254044","Dicranum fuscescens","Herbarium record",1948-08-25,"1948","66.5","-147.0"
"1929450404","Dicranum fuscescens","Herbarium record",1948-06-22,"1948","66.5","-147.0"
"1929400391","Dicranum fuscescens","Herbarium record",1976-07-20,"1976","68.25","-149.4"
"1929606120","Dicranum fuscescens","Herbarium record",1984-05-30,"1984","45.83","-123.83"
"1930611362","Dicranum fuscescens","Herbarium record",1891-07-21,"1891","55.6025","-131.636111"
"1931056404","Dicranum fuscescens","Herbarium record",1983-09-01,"1983","62.17","-162.5"
"1928246898","Dicranum fuscescens","Herbarium record",1981-07-09,"1981","60.45","-150.97"
"1928047963","Dicranum fuscescens","Herbarium record",,"1984","64.37","-154.45"
"1930981430","Dicranum fuscescens","Herbarium record",1958-07-04,"1958","63.417","-150.75"
"1928347986","Dicranum fuscescens","Herbarium record",1983-09-01,"1983","62.17","-162.5"
"1929272823","Dicranum fuscescens","Herbarium record",,"1936","64.501111","-165.406389"
"1930238839","Dicranum fuscescens","Herbarium record",1973-02-19,"1973","44.0","-122.0"
"1930091353","Dicranum fuscescens","Herbarium record",1976-07-12,"1976","67.28","-156.98"
