"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1927781383","Diphyscium foliosum","Herbarium record",1972-08-18,"1972","65.48","-145.42"
"1928744212","Diphyscium foliosum","Herbarium record",1996-07-25,"1996","54.92","-159.25"
"1929844468","Diphyscium foliosum","Herbarium record",1996-07-19,"1996","54.92","-159.25"
"1929080575","Diphyscium foliosum","Herbarium record",1997-08-13,"1997","54.92","-162.33"
"1931291025","Diphyscium foliosum","Herbarium record",1996-07-20,"1996","54.92","-159.25"
"1929350042","Diphyscium foliosum","Herbarium record",1996-07-08,"1996","54.92","-159.25"
"1261712043","Diphyscium foliosum","Herbarium record",1962-07-01,"1962","49.29972","-123.03305"
"1261691628","Diphyscium foliosum","Herbarium record",1996-07-25,"1996","54.916667","-159.25"
"1261691635","Diphyscium foliosum","Herbarium record",1996-07-20,"1996","54.916667","-159.25"
"1261691669","Diphyscium foliosum","Herbarium record",1972-08-18,"1972","65.48333","-145.41666"
"1261691659","Diphyscium foliosum","Herbarium record",1996-07-19,"1996","54.916667","-159.25"
"1261711568","Diphyscium foliosum","Herbarium record",1967-08-07,"1967","57.04694","-135.31361"
"2005538500","Diphyscium foliosum","Herbarium record",1990-08-03,"1990","51.87278","-176.19556"
"1987786424","Diphyscium foliosum","Herbarium record",1985-08-08,"1985","53.6","-132.8"
"1987728257","Diphyscium foliosum","Herbarium record",1996-07-19,"1996","54.9","-159.3"
"1987787225","Diphyscium foliosum","Herbarium record",1998-07-23,"1998","57.2","-157.3"
"1987751415","Diphyscium foliosum","Herbarium record",2005-08-11,"2005","51.559","-178.82"
"1987832035","Diphyscium foliosum","Herbarium record",1985-08-10,"1985","53.1","-132.0"
"1987874417","Diphyscium foliosum","Herbarium record",1997-08-13,"1997","54.9","-162.3"
"1987811018","Diphyscium foliosum","Herbarium record",2008-06-25,"2008","51.8234","-176.6801"
"1987888141","Diphyscium foliosum","Herbarium record",2008-08-23,"2008","51.8857","-176.0199"
"1987895678","Diphyscium foliosum","Herbarium record",1967-08-12,"1967","56.6","-134.9"
"1987827172","Diphyscium foliosum","Herbarium record",1998-08-27,"1998","56.0","-159.8"
"1987804206","Diphyscium foliosum","Herbarium record",1996-07-20,"1996","54.9","-159.3"
"5196026161","Diphyscium foliosum","Herbarium record",2012-08-30,"2012","59.88228","-149.61687"
"5196167600","Diphyscium foliosum","Herbarium record",2000-08-06,"2000","52.833333","173.15"
"5196167900","Diphyscium foliosum","Herbarium record",1972-08-18,"1972","65.483333","-145.416667"
"5196167902","Diphyscium foliosum","Herbarium record",1992-07-13,"1992","65.55","-163.866667"
"5196167903","Diphyscium foliosum","Herbarium record",1999-07-16,"1999","56.35","-157.833333"
"5895578736","Diphyscium foliosum","Herbarium record",1962-07-01,"1962","49.366166","-123.030224"
"1987903390","Diphyscium foliosum","Herbarium record",1996-07-22,"1996","54.9","-159.3"
"1987738695","Diphyscium foliosum","Herbarium record",1964-08-01,"1964","53.1","-132.2"
"1987840637","Diphyscium foliosum","Herbarium record",1996-07-25,"1996","54.9","-159.3"
"1987732299","Diphyscium foliosum","Herbarium record",1996-07-18,"1996","54.9","-159.3"
"1987771600","Diphyscium foliosum","Herbarium record",1966-06-24,"1966","53.23","-132.33"
"1987882400","Diphyscium foliosum","Herbarium record",1986-08-08,"1986","52.6","-128.3"
"1987861163","Diphyscium foliosum","Herbarium record",2008-07-22,"2008","51.8","-176.7"
"1987737710","Diphyscium foliosum","Herbarium record",2008-08-21,"2008","52.9955","-169.68"
"1987933833","Diphyscium foliosum","Herbarium record",1986-08-11,"1986","53.5","-129.8"
"2028183149","Diphyscium foliosum","Herbarium record",1986-08-11,"1986","53.45","-129.783333"
"2028313703","Diphyscium foliosum","Herbarium record",1996-07-20,"1996","54.916667","-159.25"
"1261624493","Diphyscium foliosum","Herbarium record",1986-08-11,"1986","53.666667","-129.833056"
"2028305177","Diphyscium foliosum","Herbarium record",2000-08-06,"2000","52.833333","173.15"
"2028182316","Diphyscium foliosum","Herbarium record",1999-07-16,"1999","56.35","-157.833333"
"2028193549","Diphyscium foliosum","Herbarium record",1996-07-25,"1996","54.916667","-159.25"
"2028303578","Diphyscium foliosum","Herbarium record",1966-06-24,"1966","53.0","-132.0"
"2028291520","Diphyscium foliosum","Herbarium record",2007-08-14,"2007","53.85","-166.45"
"2028171869","Diphyscium foliosum","Herbarium record",2002-09-15,"2002","52.833333","173.15"
